{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '周边环境很好很方便，位于市中心，酒店卫生很好，房间很大，居然还有饮用水设施，客房服务大姐很友善，不错，以后就是这家啦', '短评打分': 5}
{'短评内容': '干淨，地点方便！', '短评打分': 4}
{'短评内容': '酒店周围环境很好，商务出差，价格实惠，没有早餐，其它都还可以，比较简单一点。不知道有没有停车场。其它还可以！', '短评打分': 4}
{'短评内容': '正规如家，全国连锁的，基本都差不多，服务态度很好，一般出差的人来说足够了', '短评打分': 4}
{'短评内容': '不错不错的。。。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '房间干净，。，住了好多次了都。。。。。。。。', '短评打分': 5}
{'短评内容': '其它都好，就是自来水管坏了，一直有很大的声音', '短评打分': 4}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '离珠海机场大巴车站非常近，方便航展的参观（直接送到家航展入口），旁边有快餐，对面有肯德基，比住在珠海便宜多了。', '短评打分': 5}
{'短评内容': '房间干净卫生 隔应效果很好 难得的一次机会去我人生的第一个城市', '短评打分': 5}
{'短评内容': '挺不错的，连锁酒店有保障，以后出行都选择如家了，给老爸老妈定的，他们也觉得还可以，性价比挺高的，没有让人失望！', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '没什么感觉', '短评打分': 3}
{'短评内容': '一如既往的支持这个酒店，方便快捷', '短评打分': 3}
{'短评内容': '服务好，方便', '短评打分': 5}
{'短评内容': '交通方便！', '短评打分': 4}
{'短评内容': '住了四天，房间还挺大，我住的那间挺安静的，', '短评打分': 4}
{'短评内容': '隔音非常差，不会再住了', '短评打分': 3}
{'短评内容': '酒店位置比较好，环境差了小小，房间也显得有点久，整体可以接受', '短评打分': 5}
{'短评内容': '酒店整体还可以,就是临街有点吵.周边也有吃的,还算方便.', '短评打分': 5}
{'短评内容': '地點方便 公車到門口 房間空間大 清潔 下次再來', '短评打分': 5}
{'短评内容': '酒店不错，就是房间相对较小，还好啦！', '短评打分': 3}
{'短评内容': '房间卫生的不错，只是宽带配套不是很完善，无法正常上传资料。服务员少，需要时无法及时处理客户的问题。', '短评打分': 5}
{'短评内容': '位置很好，也很有家的感觉，只是入住时发现天花板有声音，不确定是什么。周围吃的逛的挺多，挺实惠，总体很好。下次去中山还会考虑入住。', '短评打分': 5}
{'短评内容': '干净，舒适 交通很方便。推荐大家去哦哦。赞赞', '短评打分': 5}
{'短评内容': '离汽车总站和富华酒店汽车站近，整体不错，如果能wifi上网就好了', '短评打分': 5}
{'短评内容': '隔音效果非常差，根本没有办法可以入睡，以后都不会住了。', '短评打分': 1}
