{'短评内容': '特别的方便，很舒服', '短评打分': 5}
{'短评内容': '早餐非常好，干净，虽然是老店，但是，细节都到位。', '短评打分': 5}
{'短评内容': '设施不错，服务员略冷淡。前面有个客人12:03分退房，只晚了3分钟还是加收半天房费。', '短评打分': 5}
{'短评内容': '早餐好，时间有点短，房间很大，采光好', '短评打分': 5}
{'短评内容': '早餐种类丰富而且可口。位置也很好，下了高速就是。房间比较干净整洁。有配套的游泳馆，适合全家来玩。就是WiFi信号有点差，前台可以给加路由器。', '短评打分': 5}
{'短评内容': '感觉还可以，出行方便', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 4}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': 'ok', '短评打分': 4}
{'短评内容': '位置不错，离高速很近', '短评打分': 5}
{'短评内容': '好 在金州高速路口附近 据说是这里最好的宾馆', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '商务接待，不错', '短评打分': 5}
{'短评内容': '不得不住而已，太老了，不过在金州好像还是最好的吧', '短评打分': 3}
{'短评内容': '还不错的酒店，价格有点偏高，辛亏携程在手', '短评打分': 5}
{'短评内容': '帮朋友订的、朋友觉得不错、下次还叫我再订、', '短评打分': 5}
{'短评内容': '出差住，方便，干净就行。出差住，方便，干净就行。出差住，方便，干净就行。出差住，方便，干净就行。', '短评打分': 5}
{'短评内容': '希望马桶能有所改进，下水不是很好。\n总体还可以', '短评打分': 5}
{'短评内容': '酒店很干净.但是去水上乐园玩还的买票，不像别人说的可以无限次玩', '短评打分': 3}
{'短评内容': ' 感觉很好，除了一些用不着的服务上不如五星级外，其它的条件都可以和五星级同级，房间挺大，干净，明亮。设施都很新，酒店内还有个挺大的室内游泳池和水上乐园。赞！', '短评打分': 3}
{'短评内容': '下次去还订这家~~~~~~~~~~~~~~~·', '短评打分': 5}
{'短评内容': '挺干净的，不错，附近餐饮店也比较多，交通比较便利', '短评打分': 5}
{'短评内容': '酒店设施齐全，房间面积也够宽敞，只是早餐只提供一人的觉得不够人性化。', '短评打分': 5}
{'短评内容': '感觉不错，只是椅子有点脏。', '短评打分': 3}
{'短评内容': '环境不错，挺安静。如果标间赠双份早餐就更好了。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '挺好的 .........................................', '短评打分': 5}
{'短评内容': '在金州当地算不错了。但设施较旧，跟同等价位的酒店比，还是有不少差距', '短评打分': 5}
{'短评内容': '酒店还不错', '短评打分': 3}
{'短评内容': '酒店位置不错，周围出行较为方便，值得商务人士入住！', '短评打分': 5}
{'短评内容': '住在16楼，就是卫生间淋浴水似乎没有什么压力，洗头比较费事。早餐不错', '短评打分': 5}
{'短评内容': '这个宾馆各方面还是不错的，性价比比较高，以后会推荐其他朋友去入住的。', '短评打分': 5}
{'短评内容': '算金州最好的了吧？还可以，餐厅价格便宜量又足。', '短评打分': 5}
{'短评内容': '位置好 安静 很干净 服务员态度也很好 外加送菜 不错', '短评打分': 5}
{'短评内容': '在金洲，就是有点远，没有办法是工作需要，二楼的鲍鱼捞饭还是很不错的，建议去品尝一下，就是有点贵', '短评打分': 5}
{'短评内容': '地理位置有点偏，硬件稍显旧，与酒店宣称的星级不符。', '短评打分': 1}
{'短评内容': '还不错 出差嘛 干净就好 能睡觉就好 我的要求较低 所以感觉挺好的 主要是地理位置离我客户处也比较近 这是最重要的', '短评打分': 5}
{'短评内容': '其他都还好，洗澡的水质很差，', '短评打分': 5}
{'短评内容': '还可以了！！性价比高！！！！！推荐推荐！！！！！', '短评打分': 3}
{'短评内容': '相对于这个级别的酒店来说，房间有点小。但是服务和其他方面还是不错的，很人性化。', '短评打分': 3}
{'短评内容': '相对于4星的标准房间有点小，但服务很周到，细节做的很好。', '短评打分': 5}
{'短评内容': '个大酒店都不收 上网费，但这家酒店要加收20元的上网费，房间可以 ，只是窗户是死的，没有 ，不方便 ', '短评打分': 1}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还算不错', '短评打分': 5}
{'短评内容': '酒店的里面感觉都还可以,人员服务也挺周到的,住着挺舒服的,比较满意的.', '短评打分': 3}
{'短评内容': '好地方', '短评打分': 5}
{'短评内容': '感觉达不到4星级,不过还好,位置比较方便.价格也能接受.', '短评打分': 5}
{'短评内容': '酒点的服务卫生还是不错的，位置不错交通挺方便的,就是入住时没有暖气,住着不太舒服了.', '短评打分': 5}
