{'短评内容': '早餐很好，位置很好，离独克宗古城很近，停车场很大。', '短评打分': 5}
{'短评内容': '干净没问题，就是服务太差，设施也差，但估计香格里拉的宾馆都是这样吧，冷的要死，连空调都没有，问点事，还给我推到别的地方！', '短评打分': 3}
{'短评内容': '早餐丰富多样', '短评打分': 5}
{'短评内容': '早餐丰富多样，可以单独点些面食和简单的早点，房间舒适卫生，装修分格蕴含浓烈的藏文化气息，有大型停车场非常便利。', '短评打分': 5}
{'短评内容': '蛮不错的', '短评打分': 4}
{'短评内容': '很满意，干净，舒适。', '短评打分': 5}
{'短评内容': '酒店卫生非常干净，非常满意，周边环境非常好', '短评打分': 5}
{'短评内容': '前台接待员态度非常差，还说香格里拉的酒店服务就这样。在网上预订的非常不愿意接待，里面没有电水壶，电吹风还是坏的，这服务和配套真是无语', '短评打分': 3}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '价格适中，酒店的设施相对还行，对于舟车劳顿一天的我们是极大的安慰，洗澡也很舒服，感觉早餐质量有待提高', '短评打分': 4}
{'短评内容': '酒店位置不错  离古城近   听说班禅大师也住过这个酒店  强烈推荐', '短评打分': 5}
{'短评内容': '酒店很有特色，以藏式风格为主，房间卫生干净 热水很大 香格里拉天气很冷 洗个澡热乎乎的 很舒服，听说用早餐的地方是张杰谢娜婚礼晚宴场地，早餐品种多样 很丰富 值得推荐 下次过来还会选择 这个酒店', '短评打分': 4}
{'短评内容': '酒店开的时间长了吧，设施稍显老旧，不过酒店挺有特色', '短评打分': 4}
{'短评内容': '藏族特色的酒店，房间很小，价格可以接受范围内。', '短评打分': 5}
{'短评内容': '房间太冷了一晚上没睡好', '短评打分': 3}
{'短评内容': '酒店么，自己满意就好。坏境还不错，住的也挺舒服', '短评打分': 5}
{'短评内容': '客房确实挺大的，装修也挺新的，但是空调好像不能用。', '短评打分': 5}
{'短评内容': '除了早餐比较可以，别的都很一般，性价比不高。很多服务写着有其实都没有', '短评打分': 3}
{'短评内容': '酒店位置不错，靠近王府井商业广场，吃东西很方便。', '短评打分': 5}
{'短评内容': '酒店位子不错，离转经筒，古城都比较近，好像是谢娜张杰办晚宴的酒店，门口还有他们的画报。', '短评打分': 5}
{'短评内容': '很糟糕的一家店,半夜停电,早餐7点停水.设施不到2星级', '短评打分': 1}
