{'短评内容': '交通方便，环境很好，服务很好！', '短评打分': 5}
{'短评内容': '比较有特色的酒店！我们入住的普通标间房间很小，位置不错，附近有很多可口小吃，价格也合适！如果可以尝试他家风情房间会别具风味吧！', '短评打分': 3}
{'短评内容': '服务不错，中式风格，挺好', '短评打分': 3}
{'短评内容': '环境不错，服务也很好', '短评打分': 3}
{'短评内容': '真心一般，装修很一般，前台服务不错', '短评打分': 3}
{'短评内容': '不错的酒店 续住了好几晚', '短评打分': 3}
{'短评内容': '一般般，周边环境还可以，住宿条件一般', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还算不错，也就这个价格。', '短评打分': 5}
{'短评内容': '很舒服', '短评打分': 5}
{'短评内容': '嗯，很不错 每天都换一间风情放，服务员的态度很好，只是建议有地毯的房间都翻新一下地毯，特别是太空房，有股味，因为这些原因不能住太可惜了。', '短评打分': 5}
{'短评内容': '酒店希望有特色。。。但是又搞得太有特色了。。。有点不方便。', '短评打分': 5}
{'短评内容': '房间设施陈旧，有些地板甚至是凹陷的，有老人和小孩的要特别小心，象样的房间装修味很浓，半夜被呛醒；地理位置不好，周围没什么吃的；早餐很差；床单、毛巾什么的很旧，看起来不干净；有一晚洗澡时水一直忽冷忽热；隔音特别差；服务也不好。总之，下次是不会再入住了。', '短评打分': 1}
{'短评内容': '优点：风情房房间大，设施较新，也干净；床垫偏软，比较舒服；牙刷、拖鞋质量还不错；水不算大但也够用了\n缺点：房间之间的隔音很差；早餐没什么变化，喝的只有奶粉冲泡的牛奶；吃了两餐中餐，口味偏咸不好吃；服务不行，变通性太差，本来对房间的好印象全因最后一天服务员硬梆梆的态度而冲淡，反正下次我不会再选择这家了。', '短评打分': 5}
{'短评内容': '这家酒店装修太老了，定的风情房，结果木地板有几块都有坍陷，卫生间看起来很脏，被子比较差，更为可恨的是被子上竟然还有一个洞，这还没完，后来还发现房间里有蟑螂，踩死两只，几乎崩溃。', '短评打分': 1}
{'短评内容': '服务还算得上好的，带我看了好多家房间，就是之前的很多客人太没有素质 有地毯的房间都被烟头弄得好脏，希望酒店可以考虑换一下了。我住了日式，泰式，芬兰三个房间 都还挺好的。', '短评打分': 5}
{'短评内容': '酒店的装修风格与别家不同，我住的藏式标间，家人都很喜欢。只是清洁不是最好，感觉灰尘不少。如果想在榻榻米上休息就要自己重新打理干净。早餐也有小插曲，因为带了孩子，年龄小长得高，前台登记时只拿了两张早餐票，但在用餐时服务生来了两次要求补钱28元，弄得没有胃口，不愉快。如果把这些调节好，住起来还不错的。', '短评打分': 5}
{'短评内容': '入住 地中海风情间，感觉不错，就是半夜才发现灭蚊器是坏的，于是半夜起来打蚊子，惊奇的发现，墙壁上留下了不少蚊子的尸体，估计不只有我干过这事', '短评打分': 5}
{'短评内容': '房间有点特色，价钱再低一点更好！', '短评打分': 3}
{'短评内容': '很舒服的酒店，房间装修很有特色，就是稍微有点陈旧了，不过还是挺适合入住的。', '短评打分': 5}
{'短评内容': '交通很方便，房间大也通透，住着很舒服，值得推荐\n', '短评打分': 5}
{'短评内容': '酒店很有特色，装修的很有藏式风格，就是酒店大堂看上去不太整洁，入住后房间还不错。还是可以推荐的。', '短评打分': 5}
{'短评内容': '很好，很有特色', '短评打分': 3}
{'短评内容': '很有风格、价钱超值.\n是旅游、商务可以选择的酒店.\n服务也很好.\n就是地址在家具城左侧的辅道走到头、在右转300m才能看到酒店.\n需要和司机说明、否则不太好找', '短评打分': 5}
{'短评内容': '很有特色的房间布置，也很干净，只是淋浴的水温不大好调，太烫了，估计冬天适合。还有就是窗帘拉不严实，阳光射进来刺眼', '短评打分': 5}
{'短评内容': '房间很有特色，我喜欢的风格，只是地理位置有点不够理想\n晚上周围没什么小吃', '短评打分': 5}
{'短评内容': '特色风情房不错，乳胶床垫很舒服，请告诉下选用的哪个品牌？', '短评打分': 5}
{'短评内容': '经常停电,没办法换酒店了,设计风格很好,房间比较大,', '短评打分': 5}
{'短评内容': '具有民族风情的宾馆，但卫生间不大只有淋浴，不方便', '短评打分': 5}
{'短评内容': '酒店不错哈 六楼还有攀岩 桌球房 非常嗲哈哈 不错不错 好地方哈', '短评打分': 5}
{'短评内容': '酒店不错，就是早餐差点，还有就是结算的时候发现我结算的最贵！', '短评打分': 3}
{'短评内容': '不错的酒店 不错的酒店 不错的酒店 不错的酒店 不错的酒店 不错的酒店 不错的酒店 ', '短评打分': 5}
