{'短评内容': '只有    热水    比较    好吧', '短评打分': 3}
{'短评内容': '很好，非常好，特别的好，总之挺好的，', '短评打分': 3}
{'短评内容': '房间很大，位置也方便。只是房间设施稍显简陋。', '短评打分': 3}
{'短评内容': '房间卫生还行吧，就是住的房间里窗户没有锁，有点担心，一晚上没怎么睡好，其他的还凑合吧', '短评打分': 3}
{'短评内容': '整体还可以，挺干净的，服务态度很好。', '短评打分': 4}
{'短评内容': '什么酒店，就个垃圾房', '短评打分': 1}
{'短评内容': '不推荐', '短评打分': 2}
{'短评内容': '比较实惠的', '短评打分': 5}
{'短评内容': '我本来不愿意点评，从来没有点评过，可以住了同享这个破宾馆太生气，简直**不是人住的宾馆，是一帮旅行社挂着同享的牌子开了几间房，太**差，住进去就想退，还不如去 如家价格差不多', '短评打分': 1}
{'短评内容': '在火车站旁对于这个价位来说还可以了。', '短评打分': 3}
{'短评内容': '我今日凌晨到达同享酒店服务员说我来晚了没有我预订的房,我很生气就换别的酒店住下啦', '短评打分': 3}
{'短评内容': ' 不错 对老百姓经济适用', '短评打分': 3}
{'短评内容': '赶早上的飞机，住这个酒店还是不错的，至少比民航大酒店便宜一半了。', '短评打分': 5}
{'短评内容': '为了凌晨三点的火车，地理位置方便才选择这家店，环境实在让人睡不着觉，光线和装修什么的让人不舒服，那床的弹簧坑坑洼洼的，睡得不舒服，只好看了几个小时的电视就去赶火车了。。。', '短评打分': 1}
{'短评内容': '住宿环境还算对得起这个地段旅店的价值', '短评打分': 3}
{'短评内容': '订了个特价间，却以超过入住时间为由，安排了个双人间．可我已经和他们联系过，会迟些到达．\n\n没有洗漱用品，很不方便．\n\n早上赶飞机，要结帐，却半天找不到人．\n\n位置比较方便，也不算太贵．\n\n也许该预订同一栋楼的莫泰．', '短评打分': 1}
{'短评内容': '灯也太暗了  就价格吗也就这样了。建议从新装修涨价也可以…', '短评打分': 3}
{'短评内容': '该酒店的最大好处就是交通方便，特别是对于那些要乘坐火车出行的朋友 \n', '短评打分': 5}
{'短评内容': '还是比较不错的，离火车站基本步行。房间很大，设施不是很现代。', '短评打分': 5}
{'短评内容': '满意', '短评打分': 3}
{'短评内容': '要搭乘早班飞机或者降落较晚的朋友住比较合适，就是房间和设备都旧了些。', '短评打分': 5}
{'短评内容': '价格很便宜 离机场大巴停车点近 方便较早或较晚出行或到达的人员入住 只是酒店设施比较陈旧', '短评打分': 5}
{'短评内容': '离火车站非常之近是最大的优势。大厅很好，房间也不错。价格的性价比来说也不错。', '短评打分': 5}
{'短评内容': '床单很脏,包括枕套也都没有洗,传单上还有一些印子!以后再也不会住这里!', '短评打分': 1}
{'短评内容': '酒店的位置较好,离火车站很近,不足的是房间隔音较差,总台的电话声音、客人来往的动静都比较大，睡眠不好会很痛苦', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '我已入住', '短评打分': 3}
{'短评内容': '房间很大，但是床太小了，老板说单人房和双人间的床都是一样的，就是觉得小，1200宽。', '短评打分': 5}
{'短评内容': '同样的一线城市和价格 我不推荐 总体还行卫生环境都不错', '短评打分': 1}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '硬件设施极差，性价比不高，房间浴室漏水一晚，网页上显示可以刷卡，但是到店却告知不能刷卡。不值得推荐。', '短评打分': 1}
{'短评内容': '这个酒店很不错，就在长沙的机场市区巴士站民航大酒店旁边！', '短评打分': 5}
{'短评内容': '总的来说价钱实惠,但隔音效果不好,有很晚都吵的麻将声,也没有刷卡机,通风也不好.空凋还行,热水也热,卫生条件还好', '短评打分': 3}
{'短评内容': '酒店没有洗澡洗头等日用品，什么都没有。唯一的就只有热水还是蛮好的，空调效果也不好', '短评打分': 1}
{'短评内容': '房间很漂亮，刚一进入就很喜欢,服务态度也很好呢！', '短评打分': 3}
{'短评内容': '不错的酒店,性价比很高,房间内还有专门办公区.房间里虽然有网线,可不知道为什么居然可以搜到免费的无线网络,好象是移动的,难道长沙的移动网络是免费的吗?很爽', '短评打分': 5}
{'短评内容': '卫生条件一般,交通比较方便,价位还算合理,基本上可以接受.', '短评打分': 5}
