{'短评内容': '周边环境较差，门口停了许多快递车', '短评打分': 3}
{'短评内容': '早餐比较简单，但味道还不错，在这个地段，价格是非常实惠的，离地铁口也很近，而且特别安静，离开会的地方很近，下次会考虑再来！', '短评打分': 4}
{'短评内容': '当出行在外面的时候我们都会为了寻找入住而花时间，尽量提前预订那样更好更有保障，这样就不用为了住而忧愁了。', '短评打分': 5}
{'短评内容': '房间比较干净，温度也很适宜，热水比较舒服', '短评打分': 5}
{'短评内容': '酒店总体不错的，房间内整洁干净，房间装修简约但又不陈旧，网络全覆盖，信息较好，卫生间里面的卫生打扫干净，酒店服务人员的服务态度很好。', '短评打分': 4}
{'短评内容': '还不错哦。住了很多次了，而且交通也很方便', '短评打分': 5}
{'短评内容': '就是方便，离公司近，就是上网不太方便。没有十全十美，将就吧', '短评打分': 3}
{'短评内容': '酒店网络太烂', '短评打分': 3}
{'短评内容': '较好', '短评打分': 4}
{'短评内容': '快捷酒店，位置需要别无选择', '短评打分': 3}
{'短评内容': '快捷酒店，位置需要别无选择', '短评打分': 3}
{'短评内容': '酒店环境安静，安全较好（刷卡上电梯），早餐朴素，但品种较多，能满足要求，服务态度较好，但还有改进空间。网速太慢。', '短评打分': 4}
{'短评内容': '环境和服务很好、没在路边第一次不好找', '短评打分': 5}
{'短评内容': '干净简洁，早餐挺喜欢', '短评打分': 5}
{'短评内容': '没有窗户，环境还一般。', '短评打分': 4}
{'短评内容': '各方面都不错，位置也好，价格也便宜', '短评打分': 5}
{'短评内容': '位置不错，卫生状况可以接受，交通便利。下次会再去', '短评打分': 5}
{'短评内容': '房间没有窗户，不是特别好。其它的觉得还好。', '短评打分': 5}
{'短评内容': '房间有点小。但位置还好。卫生一般。性价比一般。', '短评打分': 5}
{'短评内容': '酒店的服务还好条件也可以价格合适 人生何须万般愁，千里烟云一笑收！贵金属投资，朝阳行业兴富豪，你还犹豫什么呢？', '短评打分': 3}
{'短评内容': '服务很好，卫生也不错，满意，下次还会再过来！', '短评打分': 5}
{'短评内容': '位置靠近地铁，很方便，环境很好，服务很好。 ', '短评打分': 5}
{'短评内容': '酒店服务好，早餐有点单一但比没有强，总体还算不错', '短评打分': 5}
{'短评内容': '酒店位置离地铁较近，出行方便。做为快捷酒店，设施还可以。', '短评打分': 3}
{'短评内容': '不错，挺卫生的，早饭也挺好，就是地方不大好找，总之还是不错的', '短评打分': 5}
{'短评内容': '感觉不错，服务态度很好！房间很干净！早餐也可以，小菜，包子，馒头，粥，鸡蛋！地理位置也不错。不足之处就是门面有点小，不是特别好找！总体来说，我推荐~~~~~~', '短评打分': 5}
{'短评内容': '地点很好，距离办事的地方很近，呵呵~~~~~~~~', '短评打分': 5}
{'短评内容': '酒店太脏，不好！', '短评打分': 3}
{'短评内容': '酒店在一个居民区的胡同拐角，外观一看就是经济型酒店，大堂不大但很干净，服务人员态度很好。电梯如其他人描述的有点破但很快。到房间后打开门没有什么异味，屋子不大（大床房）床也不太大，屋里设施有点旧了，但是从床单到洗手间的各个角落都很干净。晚上睡觉关窗也不热，位于居民区因此很安静。早餐我很喜欢，有豆角肉馅包子，中式早餐粥菜很新鲜。位置离使馆区也不远，打车10多分钟，交通方便。值得推荐入住的小酒店！', '短评打分': 5}
{'短评内容': '卫生条件还是很不错的，也很安静，距离工体很近，步行过去就可以', '短评打分': 5}
{'短评内容': '关键是房间卫生还不错，服务态度也不错，但被子较薄还有蚊子，早餐也很简单主要是馒头、稀饭,电梯的声音很响。主要是交通方便。总体还比较满意。', '短评打分': 5}
{'短评内容': '还可以，条件还可以。', '短评打分': 3}
