{'短评内容': '这并不便宜，发霉的气味，还是建议加几十块钱住好点的酒店', '短评打分': 2}
{'短评内容': '非常的正洁', '短评打分': 5}
{'短评内容': '比较垃圾！照片不真实！那窗户对的是过道，对面又是一排房间。设备破旧，空调杂声，电视遥控器没电。总之呢，便宜货不好。', '短评打分': 3}
{'短评内容': '还不错的，地段好，相对优惠', '短评打分': 5}
{'短评内容': '房间特脏有霉味，设施超破旧，没早餐，不可加床，没看见停车厂，我是在携程网上订的，携程网在房间门市价基础上多收了我30元，被骗的好惨', '短评打分': 2}
{'短评内容': '住过最差的酒店  破破烂烂  设施起码十年以上了 相当陈旧 房间卫生也差 被子不敢碰 还没有WIFI  比一般连锁酒店没法比  ', '短评打分': 1}
{'短评内容': '使用wifi另外要收费的，这是好几年里都没听到过的重大伤害。好吧，你赢了，第二天就换地方，辛好当时只订一天。', '短评打分': 3}
{'短评内容': '好～', '短评打分': 5}
{'短评内容': '很差，设施不好，没有暖气，服务态度也不好，价格赶上快捷酒店，不好', '短评打分': 1}
{'短评内容': '一般般，不适合出游住宿', '短评打分': 3}
{'短评内容': '呵呵。', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '环境一般，酒店设施老化，淋浴四处漏水，电脑一会儿就死机。', '短评打分': 3}
{'短评内容': '在上海能有这个价位，服务，设施都不错。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '楼下是菜市场，有些吵杂', '短评打分': 4}
