{'短评内容': '家人们都十分满意～', '短评打分': 5}
{'短评内容': ' 面积还是比较大的，位置也还不错，性价比还可以', '短评打分': 5}
{'短评内容': '交通方便，安静', '短评打分': 4}
{'短评内容': '人气有点不足。还可以吧。', '短评打分': 5}
{'短评内容': '好，很满意。有机会再来', '短评打分': 3}
{'短评内容': '服务周到热情，舒适干净优雅，下次还住', '短评打分': 5}
{'短评内容': '价格合理，可能是预定早的緣故，比周围的酒店便宜很多！设备有些旧了，面盆出水量很小！服务和酒店老板可以点赞，很客气！位置很好，出门就是排挡和滩，很不错！', '短评打分': 4}
{'短评内容': '房间不错，就是电视机老掉牙了。', '短评打分': 3}
{'短评内容': '还好吧', '短评打分': 5}
{'短评内容': '酒店服務人員態度不錯..只是早餐品種不多但是環境蠻乾淨滴....', '短评打分': 5}
{'短评内容': '不错干净,在当地算是比较好的旅馆了。经济实惠，开车很方便。', '短评打分': 5}
{'短评内容': '已经住过几次了，每次去奉贤都喜欢这家酒店，房间很舒适，服务很好', '短评打分': 5}
{'短评内容': '离海还有一大段距离，根本也看不到海，外面的排档到晚上特别吵闹。', '短评打分': 1}
{'短评内容': '服务上很好，态度挺热情的，房间里挺干净挺舒适的，感觉还不错。', '短评打分': 5}
{'短评内容': '很好，非常感谢', '短评打分': 5}
{'短评内容': '酒店内部环境还不错，服务上挺热情的，房间打扫的很干净，整体感觉很舒适。', '短评打分': 5}
{'短评内容': '我觉得还不错，除了出行得打车之外，其他方面还是不错的，值得推荐。', '短评打分': 5}
{'短评内容': '酒店打扫还是很干净的，这点还是很不错的。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店对卫生比较重视，所以清洁的很到位，这样的酒店住着放心，挺不错的。', '短评打分': 5}
{'短评内容': '工作人员很有礼貌，微笑服务，很热情。', '短评打分': 5}
{'短评内容': '在奉贤区海湾路，是个不错的地方，卫生啦环境啦都满意。', '短评打分': 5}
{'短评内容': '房间虽然不是很大，但足够用，打扫的很干净，值得肯定。', '短评打分': 5}
{'短评内容': '冬季入住人少，早餐品种少', '短评打分': 5}
