{'descr': '还不错呢。。房间干净暖和，，网速有点慢。临街挺吵的。。', 'star': 5}
{'descr': '此用户未填写评价内容', 'star': 5}
{'descr': '真的很不错，床很舒服，很干净，Wi-Fi也OK，值得推荐', 'star': 5}
{'descr': '还可以，比较清净，可惜没有停车场', 'star': 5}
{'descr': '位置在市中心，交通方便。', 'star': 5}
{'descr': '环境好 干净卫生 ', 'star': 5}
{'descr': '酒店位置很不错！', 'star': 5}
{'descr': '很不错！', 'star': 5}
{'descr': '不错？', 'star': 5}
{'descr': '服务周到，首选如家', 'star': 5}
{'descr': '非常好，位置也好', 'star': 5}
{'descr': '一定五个字', 'star': 5}
{'descr': '酒店内部环境不错，比较干净。', 'star': 4}
{'descr': '酒店所处位置交通便利，环境很好，周围商圈很繁华，和颐商务房很满意。入住的时候忘记开发票，美女前台“洋”非常热心地帮忙补开并邮寄快递，很愉快的入住，下次还会再来，谢谢美女“洋”的热心服务！', 'star': 5}
{'descr': '一如既往', 'star': 5}
{'descr': '周围都是各种市场，人员比较杂，但地址位置比较好，周边有大商场、超市、娱乐活动中心，没事出去逛逛，那是相对方便。', 'star': 5}
{'descr': '环境不错…服务也不错…', 'star': 5}
{'descr': '还可以吧，快捷酒店，不能要求太多，干净最重要，不过别的店有的茶包没有了', 'star': 4}
{'descr': '设施，环境都很不错，适合情侣哦！', 'star': 5}
{'descr': '环境一般，这价位值吧', 'star': 5}
{'descr': '卫生条件不错，早餐也还好，服务态度一好，值得推荐！', 'star': 5}
{'descr': '服务好。价位合理，名不虚传下次我还要定如家的', 'star': 5}
{'descr': '环境不错，逛街比较方便，服务态度挺好，就是外面的饭馆早晨有点吵', 'star': 5}
{'descr': '服务周到，舒适方便，出行的首选。', 'star': 3}
{'descr': '繁华之所，闹中取静。', 'star': 3}
{'descr': '房间太垃圾了，特别小，并且窗户完全被堵住了，我提出换房，被拒绝了，我让前台给我想想办法换一间，结果她却说你退房吧，气死我了', 'star': 3}
{'descr': '非常舒服，早上06：00就能提前入店，真好、１谢谢你们', 'star': 5}
{'descr': '环境不错，安静。周边购物很方便，交通也方便。', 'star': 5}
{'descr': '环境不错，干净整洁。以后有机会还会入住。。。。。。。。', 'star': 5}
{'descr': '儒家酒店那都一样，还好吧，干净整洁，订了两间房，有一间靠近门口，比较吵', 'star': 5}
{'descr': '比会员贵，其他的还行', 'star': 3}
{'descr': '不错 一行3人都入住了 位置好 房间挺小的 不过住一晚还是可以的', 'star': 5}
{'descr': '挺好的位置 方便 粉色的床单很舒心~不错~', 'star': 5}
{'descr': '环境好 服务周到，房价还可以，打扫的干净，以后还会来的', 'star': 5}
{'descr': '房间小，十二点被离店，太垃圾！', 'star': 3}
{'descr': '环境好 服务周到，房价还可以，打扫的干净，以后还会来的', 'star': 5}
{'descr': '\u3000入住石家庄如家酒店感受很是洁净，晚上洗澡时水温要是能在热点就好了，酒店的服务工作人员也是很有礼貌。\u3000\r', 'star': 3}
{'descr': '很不错，我很喜欢！  哈哈，环境挺不错，第二次住了，下次去还会住！', 'star': 5}
{'descr': '不错，干净整洁。', 'star': 3}
{'descr': '环境安静，就是有点冷，得开空调。不过一切都很好', 'star': 5}
{'descr': '地理位置靠近南二环，出行很方便，周围大小饭店也很多，很适合入住！', 'star': 5}
{'descr': '房间很舒服，经常住，周围交通，吃饭都很方便！', 'star': 5}
{'descr': '服务不错，硬件有点差，周围太吵了，凌晨的汽笛声真NB。', 'star': 1}
{'descr': '很好SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS', 'star': 5}
{'descr': '很好SSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSSS', 'star': 5}
{'descr': '位置，条件一般，价格还可以，房间卫生还可以', 'star': 5}
{'descr': '大床房环境还不错,价格贵了一些', 'star': 3}
{'descr': '床睡的很舒服 被子很软 一躺下就不想起来了 不错 就是  房间小了点', 'star': 5}
{'descr': ' 酒店比较干净，服务不错', 'star': 3}
{'descr': '打车不方便，要么右拐走到育才街上要么左拐走到体育大街上，否侧基本打不到车。周围有菜市场和大型超市，房间还可以吧', 'star': 5}
{'descr': '环境很好，就是交通不太方便，里面的自助餐还是蛮好的！\n下次还是要来这里入住!\n如果价格可以打折便宜一点就更好了哦！', 'star': 5}
{'descr': 'haohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaohaoha', 'star': 5}
{'descr': '挺好的,服务也不错,干净~下次会在选择如家的.', 'star': 5}
{'descr': '酒店不错，可惜没有中餐与晚餐，不过上外面吃也比较方便。酒店不错，可惜没有中餐与晚餐，不过上外面吃也比较方便。', 'star': 5}
{'descr': '服务非常满意，我出门都是选择如家，最主要的是特别干净舒适！', 'star': 5}
{'descr': '干净卫生，价格适中。', 'star': 3}
{'descr': '服务好，房间干净', 'star': 3}
{'descr': '经常住这家，干净整齐，周围购物出行很方便，还会再来', 'star': 5}
{'descr': '干净，周边环境吵', 'star': 3}
{'descr': '酒店服务态度很好，周边购物便利，挺喜欢如家这种类型的酒店。', 'star': 5}
{'descr': '挺舒适温馨，但是一楼有点潮，屋里味道不太好，洗手间还有潮虫', 'star': 5}
{'descr': '满意', 'star': 3}
{'descr': '价格适中，位置还可以，不过稍微有些偏，不是很好找', 'star': 5}
{'descr': '很安静，交通方便，很好很强大·为什么点评要超过20个字啊~够字了', 'star': 5}
{'descr': '服务态度好。附近有世纪公园，怀特商场等。', 'star': 5}
{'descr': '还不错.近来后像到家的感觉一样!我下次还会来的!', 'star': 5}
{'descr': '好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '酒店不错，干净卫生，性价比高，下次还会入住', 'star': 5}
{'descr': '价位合适 位置好 下次还会住 很好！！！！', 'star': 5}
{'descr': '总体还可以，就是房间没有饮水机不太方便。', 'star': 3}
{'descr': '环境优雅，不错。服务周到，靠近电视台、怀特商城。', 'star': 5}
{'descr': '环境不错 服务态度好 很不错', 'star': 3}
{'descr': '该酒店的设施还行，就是脱鞋的甲醛味道太浓，味道刺鼻。建议找个好的造鞋工厂，不要糊弄我们客户，咱不差钱', 'star': 5}
{'descr': '卫生差床头柜上竞然有前住客留下的烟灰和辣椒油', 'star': 3}
{'descr': '温馨舒适，价格公道，尤其是宾馆附近的小吃店回味无穷', 'star': 5}
{'descr': '新店   干净卫生    性价比高   服务员态度一般', 'star': 5}
{'descr': '不错', 'star': 3}
{'descr': '房间略小些，不过附近商场超市都有，很方便', 'star': 5}
{'descr': '一切都好 房间大点就更好了 连张椅子都放不下 床头柜也是一个 不太方便', 'star': 5}
{'descr': '硬件设施不错 就是有点小 不过感觉很温馨  唯一不满意的地方就是洗手间出来的时候很容易滑倒。。希望酒店能注意到并进行改进 总体还是很满意的', 'star': 5}
{'descr': '房间就是小了点   服务还差一点  换个已经坏的烧水壶  换了4次都弄好', 'star': 5}
{'descr': '很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好很好', 'star': 5}
{'descr': '酒店位置的话还算可以，房间装修和其他如家都差不多，价格还可以。', 'star': 3}
{'descr': '地理位置还可以，硬件条件还行，就是停车不太方便，希望有待改进! \n', 'star': 5}
{'descr': '地理位置还可以，硬件条件还行，就是停车不太方便，希望有待改进!', 'star': 5}
{'descr': '房间有点小,其他都不错。', 'star': 3}
{'descr': '地理位置还不错，就是没有餐厅，吃饭就去附近的商场解决了', 'star': 5}
{'descr': '如家的环境还是不错的 服务很热情及时 感觉很舒服 早餐相当丰盛啊 床很大粉粉的很温馨 浴室水很热的 空调和暖气双管齐下 真的很暖和 ', 'star': 3}
{'descr': '房间设施很不错 感觉很温馨 的确挺好的 以后朋友过来还会选择如家的', 'star': 5}
{'descr': '虽然有点小，但是东西很齐全，挺干净的。而且附近交通相当便利，附近也很繁华，我觉得从火车站到南焦客运站，在这里住宿将是一个很好的选择。房间隔音效果一般，毕竟都是改造的房间。酒店也很好找。前台很好，让人感觉亲近。', 'star': 5}
{'descr': '服务态度很好， 入住很快 房间一如如家风格， 早餐也不错 \n下次还会住\n', 'star': 5}
{'descr': '一般，房间隔音较差', 'star': 3}
{'descr': '很干净很温暖,早餐很好', 'star': 3}
{'descr': '如家的大牌子是不错的 这家确实不知道都在忙啥  效率不敢恭维i  总的来说住宿条件很不错', 'star': 5}
{'descr': '我到了，价格也算便宜，但是没有停车场，太不方便！', 'star': 1}
{'descr': '服务不错,只是有锅炉声响!', 'star': 3}
{'descr': '酒店很不错 \n服务态度很好，  入住很快   房间一如如家风格，  早餐也不错 \n下次还会住', 'star': 5}
{'descr': '酒店环境很安静，卫生条件挺好，主要是附近购物交通方便。\n冷，热水管道可能有问题， 洗澡时， 水温变化剧烈。', 'star': 5}
{'descr': '房间还不错，价格是挺合适，服务也不是太差。挺好的酒店。', 'star': 5}
{'descr': '非常温馨，早餐很丰盛。只是房间面积有些小。\n', 'star': 5}
{'descr': '很好', 'star': 3}
{'descr': '  酒店环境很安静，卫生条件挺好，主要是附近购物交通方便。', 'star': 3}
{'descr': '\n很安静。服务也很好。只是感觉房间偏小了些。\n热水还要客人自己弄，这点不好。记得在其他的店，都有饮水机的。', 'star': 3}
{'descr': '酒店很干净，赠送的早餐也很好，吃了很多。', 'star': 5}
{'descr': '房间很小，但温馨~喜欢那里的被子~', 'star': 5}
