{'短评内容': '还好吧，睡一觉起来脖子疼，哎', '短评打分': 4}
{'短评内容': '方便，还是不错的', '短评打分': 3}
{'短评内容': '早餐可以，有得停车', '短评打分': 5}
{'短评内容': '酒店位置挺好，前台服务挺好，吃饭也很方便，有自助，早餐也还可以，就是停车稍微有点麻烦，停车位不是很够！', '短评打分': 5}
{'短评内容': '酒店位置很好，就是停车不太方便，车太多，车位有点少，酒店卫生挺好，服务也还可以，有免费停车券可以拿，这个挺好！', '短评打分': 5}
{'短评内容': '感觉不怎么样，真心说不值得。', '短评打分': 2}
{'短评内容': '一般 性价比不高', '短评打分': 5}
{'短评内容': '京东服务还是可以，酒店一般般', '短评打分': 5}
{'短评内容': '不错不错很漂亮，环境很好。。。', '短评打分': 5}
{'短评内容': '每次回老家都住这里', '短评打分': 5}
{'短评内容': '速递超快！多次购买！！支持京东！！！', '短评打分': 5}
{'短评内容': '巴巴爸爸吧', '短评打分': 4}
{'短评内容': '临时决定去住的酒店 虽然重新装修了 但感觉一般 灯光比较暗 换了几间房间才没有味道 厕所蛮大的 楼下的酒店喝茶比较适合 附近有家二楼的发廊 洗头蛮不错的特别姜疗 推荐', '短评打分': 4}
{'短评内容': '房间比较宽敞，设备设施也很完善。二楼早茶不错，一边喝早茶一边谈事非常舒服，但要早点去，晚了可能会没有座位。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '给家里人预定的，老人觉得很方便，住起来很舒服。价格也还合理，整体感觉很好。', '短评打分': 5}
{'短评内容': '没那么新不过还可以', '短评打分': 5}
{'短评内容': '房间味道不对哦', '短评打分': 4}
{'短评内容': '好好', '短评打分': 5}
{'短评内容': '房间够大，床也够大！Wifi信号也不错，二楼就有餐厅吃饭，方便，停车也方便。总体感觉不错。', '短评打分': 4}
{'短评内容': '酒店十分旧，90年代的感觉。。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '感觉还是挺不错的呢，有机会还可以再去', '短评打分': 5}
{'短评内容': '地段ok，就是设施比较旧，维护工作有待改进', '短评打分': 4}
{'短评内容': '总体感觉尚好，适合商务旅居，价位合适，服务水平有待进一步提升。', '短评打分': 5}
{'短评内容': '各方面都不错，价位也合适，就是早餐上的有点慢。赶时间的就很着急。', '短评打分': 5}
{'短评内容': '环境很好，交通也比较便利，适合商务出行。但是房间的地面打扫不是很干净。', '短评打分': 5}
{'短评内容': '酒店环境优雅!服务稍慢可工作人员很认真!房间缺少电脑电视节目少!', '短评打分': 3}
{'短评内容': '酒店还是不错的.服务还可以,但饭菜一般般.', '短评打分': 5}
{'短评内容': '相对于这个价格，感觉一般。房间设施陈旧，差！浴室沐浴水特别小，水温低大失所望，感觉对不起这个价格。', '短评打分': 3}
{'短评内容': '酒店环境一般，跟四星标准不同', '短评打分': 3}
{'短评内容': '我住的房间很满意\n', '短评打分': 3}
{'短评内容': '韶关没什么好酒店，要不就太贵，这家还可以吧，说不出什么好的，二楼餐厅出品非常一般。', '短评打分': 5}
{'短评内容': '酒店整体还是不错，就是装修旧了点，二楼的早茶和正餐味道都非常不错服务也好！', '短评打分': 5}
{'短评内容': '网络很快，但是要通过酒店管理系统的网页拨号才能上，所以上不了公司的VPN。', '短评打分': 5}
{'短评内容': '总的来说是非常不错的~房间比较干净，豪华单人房很大！', '短评打分': 5}
{'短评内容': '总的来说是非常不错的~二楼还有早茶~普通单人房比较小，其他的都不错！', '短评打分': 5}
{'短评内容': '环境优雅，娱乐设施好，早餐实惠,要是房门隔音好些就更好了。。', '短评打分': 5}
{'短评内容': '酒店舒适，周边环境不错，娱乐设施好，早餐实惠，要是房门隔音好些就更好了。', '短评打分': 5}
{'短评内容': '环境很好。', '短评打分': 3}
{'短评内容': '不错，交通方便，就是吃的地方少，附近有市场，买水果挺方便的', '短评打分': 5}
{'短评内容': ',整体还算过得去吧，标间的面积够大   就是餐厅的服务真的不敢恭维', '短评打分': 3}
{'短评内容': '服务态度较好，卫生方面也不错，二楼餐饮很方便。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '装修过得去，我觉得很满意，但卫生间有点异味，卫生纸质量有点差。其他都很好，服务人员比较不错，像你要是让他们拿些什么东西，他们的办事效率都比较快，而且态度也非常好。', '短评打分': 5}
{'短评内容': 'It is very convenience.  Everything is ok.  I will live in it if I come back to Shaoguan again.', '短评打分': 5}
{'短评内容': '酒店位置方便，各种设施完善，干净卫生，我们都很喜欢，整体很满意，下次出差还会再光临的。', '短评打分': 5}
{'短评内容': '不错的酒店，性价比很高，房间宽敞干净，设施齐全，还有室内停车场，非常适合自驾游入住。', '短评打分': 3}
{'短评内容': '条件只能算是一般了，200多的价格在韶关也不算便宜了，感觉装修有点老，不知是风格的问题还是保养的问题，空间算是可以的了，网速还可以；附近就有一家大超市，卖点东西也方便；总体来讲中等吧，如装修让人感觉新点、干净点就好了', '短评打分': 5}
{'短评内容': '房间很大,但是一点也不精致.\n说是只有2年时间,但是已经陈旧的很.', '短评打分': 1}
{'短评内容': '挺不错，房间大视野好，两张150的床很舒服。就是浴室的喷淋要改进一下了，水有点小。性价比不错，值得推荐。', '短评打分': 5}
{'短评内容': '酒店的环境不错，二楼有茶餐厅，吃饭比较方便，KTV、桑拿一应俱全', '短评打分': 5}
{'短评内容': '网络没有原来那么快了，改成了电信的三网合一，网速不行了', '短评打分': 5}
{'短评内容': '酒店很一般，位置基本方便，楼下的夜总会和洗浴中心很发达，但是有点闹。房间里居然有樟根雕的茶桌，有意思。', '短评打分': 5}
