{'短评内容': '离火车站近，环境也还可以，周围吃饭一般！酒店里面马桶是智能的，酒店人员服务态度很好，出差住宿还是不错的', '短评打分': 5}
{'短评内容': '酒店卫生设施极好，智能马桶！离火车站近，步行十分钟左右！广济路马路对面的饭店品种丰富，价格实惠！人均16元即饱餐！评分95分', '短评打分': 5}
{'短评内容': '有停车场，就是WIFI不好用', '短评打分': 4}
{'短评内容': '好不错加油便宜', '短评打分': 5}
{'短评内容': '很好很干净，还很大', '短评打分': 5}
{'短评内容': '不错...就是窗户有点小...房间整体还是不错的', '短评打分': 5}
{'短评内容': '性价比超高，房间干净，条件很好', '短评打分': 5}
{'短评内容': '酒店不错，预定到确认过程有点忙，', '短评打分': 4}
{'短评内容': '还不错还不错还不错', '短评打分': 5}
{'短评内容': '感觉一般，这样价钱住这样房有点偏高。窗户太高了，洗浴地方太小，房间摆设家具没啥，晾衣橱没有啊。整个房间洒香水，不错。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '很好特别是大堂服务很周到', '短评打分': 4}
{'短评内容': '到火车站方便', '短评打分': 4}
{'短评内容': '不错，安静，离火车站近，热水大，就是吃饭不能开到发票里面', '短评打分': 5}
{'短评内容': '中规中矩，还行！。zzzzzzzzzzzzzzzzzzzzzzzzzz', '短评打分': 5}
{'短评内容': '还可以。。。', '短评打分': 5}
{'短评内容': '跟朋友出去玩的，离火车站不是很远，酒店门口就有公交站，去市区，苏州园林，寒山寺都很便利。。就是下雨天很讨厌', '短评打分': 5}
{'短评内容': '各方面都非常满意。尤其卫生马桶带加热、自动冲洗功能，感觉很高级，尽管自己并没有使用，主要是不太习惯这种方式，以后慢慢适应。如果来苏州，继续在这里住', '短评打分': 5}
{'短评内容': '不错，环境现在越来越好了。', '短评打分': 5}
{'短评内容': '不错环境蛮好的，现在还有糖吃么么哒。', '短评打分': 5}
{'短评内容': '不错，特别是马桶！', '短评打分': 5}
{'短评内容': '地理位置不错，火车站站北广场就能看到银行上面汉庭的大字，离苏州火车站站近，交通很方便。  就是周边餐馆少，吃饭不方便。    ', '短评打分': 4}
{'短评内容': '还不错，交通便捷，就是房间有点小', '短评打分': 4}
