{'短评内容': '还不错，简直是宿舍了', '短评打分': 5}
{'短评内容': '房间还不错，挺大间一个人住，透光性很好，房内很明亮，位置很好，外面都是吃的地方和小便利店，很热闹的一个地方，附近都是大学，可以去大学走走', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '房間還不錯，蠻大的', '短评打分': 5}
{'短评内容': '挺好的，周围挺安静的', '短评打分': 4}
{'短评内容': '打车真心难，网路也实在太差了，慢也就罢了，还时段时好', '短评打分': 4}
{'短评内容': '好。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '不错！！！！！！', '短评打分': 5}
{'短评内容': '昨晚入住，感觉非常舒适，很整洁，舒服，值得点赞?。', '短评打分': 5}
{'短评内容': '应该说京东的预订还是到位的，去到后，马上就可以住了。', '短评打分': 3}
{'短评内容': '每次在京东订的房都是安排在一楼的角落里面的，该和酒店方面沟通下了。', '短评打分': 3}
{'短评内容': '路程短 环境安静', '短评打分': 5}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '虽然藏巷子里，但很安静，装修也比较新', '短评打分': 5}
{'短评内容': '整体还觉得可以，就是给点房间位置不是很好', '短评打分': 4}
{'短评内容': '房间比较安静，还过得去吧', '短评打分': 5}
{'短评内容': '挺好舒适', '短评打分': 5}
{'短评内容': '在网上订的酒店 现场都是给些最不好的房间，很不好', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '五楼没有热水，马桶没有水冲，换一楼房间蟑螂蚊子太多', '短评打分': 4}
{'短评内容': '还过得去吧。', '短评打分': 4}
{'短评内容': '超级差 千万不要住 大半夜退了房 刚刚装修完的房间甲醛严重超标 睡了一个小时活生生呛得鼻炎咽炎犯了 第一次住酒店', '短评打分': 1}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '1、酒店位置：酒店在石牌东路女人街后面，很好找。也可以导航，我是跟着导航走过来的，搭地铁是到3号线岗顶站下车，d出口出来向右手边走，看到中山三院继续往右走，会看到女人街，女人街后面就是了。2、周边游玩的地方很多。不在大马路上，没有那么多车流声音，也是不错，前台小美女还是很热心的。 3、酒店服务：办理入住的时候都有问好，有主动告诉我WiFi密码，前台两个小妹妹挺精神的，我走的时候还跟我说下次再来，服', '短评打分': 5}
{'短评内容': '厕所冲不了水，其他还可以，周围还可以', '短评打分': 4}
{'短评内容': '房间很干净，可是早餐很单调，非常单调。', '短评打分': 4}
{'短评内容': '还不错，值得入住', '短评打分': 4}
{'短评内容': '由于位置在巷子里，感觉有点小偏，但里面环境还算干净，有电视，有电脑，浴室的热水很给力，格局很精巧，是我住过最好的7天酒店，主街全是吃的，逛街很方便，街口是中山三医院，离地铁很近，街尾是黄埔大道，穿过红绿灯就是珠江新城区域，非常推荐。', '短评打分': 5}
{'短评内容': '很干净，很舒服，住的很便利', '短评打分': 5}
