{'短评内容': '感觉一般吧，不过枕头那些没有发现发霉之类的，清洁阿姨也很好，打扫的很干净，不过早上听到有很施工的声音，这点不是很好', '短评打分': 3}
{'短评内容': '很好，很好，一如既往地好！很好，很好，一如既往地好！很好，很好，一如既往地好！很好，很好，一如既往地好！', '短评打分': 5}
{'短评内容': '提前一天就订好了，结果，空调是坏的，入住的时候不说明，发现后打了电话前台才告知。换了一间巨吵无比，被告知没有其他空房，只好又换回来，用电风扇。更糟的在后面，四楼超级超级吵，KTV的声音一直到凌晨四点，毫不夸张。耳朵塞住都不行，因为声音会通过墙和床传过来。真不知道老板怎么想的，客房和KTV开在一起，连基本的隔音都做不到。另外，房间气味很大。绝对差评。', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '觉得还可以吧', '短评打分': 4}
{'短评内容': '还不错！', '短评打分': 5}
{'短评内容': '酒店服务好，环境卫生都不错', '短评打分': 5}
{'短评内容': '卫生一般，隔音很差。门口出租車賊貴。', '短评打分': 2}
{'短评内容': '环境各方面都很不错', '短评打分': 5}
{'短评内容': '帮厂家预订，就在公司附近挺方便的', '短评打分': 4}
{'短评内容': '比较近南站，价格比较实惠', '短评打分': 4}
{'短评内容': '酒店一般般，但是有早餐', '短评打分': 4}
{'短评内容': '没有太大的缺点！就是网络不给力！', '短评打分': 4}
{'短评内容': '性价比高', '短评打分': 5}
{'短评内容': '特价房。设施旧', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '总体来说还可以', '短评打分': 4}
{'短评内容': '订的是豪双，房间有电视电脑电吹风。算是挺大的。然后洗手间也宽敞干净。唯一不足的地方是两个房间的灯都有坏的。光线昏暗了点。地毯有点旧，所以看起来比较脏。酒店的地理位置不错。公交站旁边。出行方便。附近也有很多食肆。超市也在旁边。还有旗下的KTV。', '短评打分': 5}
{'短评内容': '距离长隆近，房间比较卫生，但晚上洗澡就没有热水', '短评打分': 5}
{'短评内容': ' 房间有些小  隔音也不好  卫生还不错  周边有小店铺  吃饭和购物还算方便', '短评打分': 3}
{'短评内容': '第一次入住这个酒店，刚进去就被里面的设施跟水平惊呆了——这要是放在其他地方，怎么着也得300来块钱的水平吧。房间干净，卫生间干净，很是NB。以后来朋友了还要安排他们入住！', '短评打分': 5}
{'短评内容': '很棒的酒店，离长隆很近，而且很新很干净。电脑房很不错。', '短评打分': 5}
{'短评内容': '酒店很好 离长隆很近  酒店下面就是市场 侧边有超市很方便 酒店也很干净  就是酒店的三楼是KTV 住四楼的话会比较吵  最好早点去定5楼或者6楼', '短评打分': 5}
{'短评内容': '带电脑 房很好 推荐 房新 还可以免费电话 和早餐 我喜欢 我推荐', '短评打分': 5}
{'短评内容': '很好！很好！很好！很好！很好！很好！很好！', '短评打分': 5}
{'短评内容': '还可以，房间还是干净的', '短评打分': 3}
