{'短评内容': ' 不行啊,给了个小单间,非说是高级大床房,差评,烂透了。', '短评打分': 3}
{'短评内容': '态度很好，赠送免费的酸梅汤，老板人不错，热情。', '短评打分': 5}
{'短评内容': '房间太小卫生条件不好服务太差', '短评打分': 3}
{'短评内容': '房间很小性价比不好', '短评打分': 3}
{'短评内容': '虽然我选择的是经济房间，但是太不符实了，房间明明很少，图片上却是空间比较大的，而且并没有窗户；感觉被欺骗了。。。。', '短评打分': 1}
{'短评内容': '缺点：房间比较靠近马路，噪声比较大\n优点：比较便宜，还有免费自助早餐', '短评打分': 5}
{'短评内容': '酒店与宣传照片不符合，床上垫子很不舒服 ，室内很小', '短评打分': 1}
{'短评内容': '我们要的是经济房，挺好的。地理位置不错。包早餐，早餐自助，花样很多，中西结合，很人性化。\n唯一的缺点的是内部没有厕所，厕所在走廊。\n房内有镜子，床也干净。内部空气不错，虽没有窗户，有通风开关。\n我们只住了一晚，心情也不错。价廉物美，以后会常关顾的。', '短评打分': 5}
{'短评内容': '不错，离我们要去的地很近,附近小吃很多，唯一就是浴室不是太好', '短评打分': 5}
{'短评内容': '很方便，卫生还行，就是卫浴有点小，不是隔离的那种不是太习惯，早餐还不错，服务也较好。对面是动物园，批发市场也不是太远。', '短评打分': 5}
{'短评内容': '还算干净', '短评打分': 3}
{'短评内容': '一点也不舒服', '短评打分': 3}
{'短评内容': '，原来75的是没有独立卫生间的。', '短评打分': 3}
{'短评内容': '酒店位置不错，赶车挺方便', '短评打分': 3}
{'短评内容': '安全卫生 ', '短评打分': 3}
{'短评内容': '一般，没有选择的选择，我们住的套间倒是还讲究、、、、', '短评打分': 1}
{'短评内容': '这个地方不咋地，存在价格问题，网上报价145元/天，入住后酒店不认账。', '短评打分': 1}
{'短评内容': '浴室喷头太小，床上居然有三只小强。', '短评打分': 3}
{'短评内容': '＋房间没有网上说的那么大', '短评打分': 3}
{'短评内容': '蛮好的、、、交通方便、、、设施干净、、、价格便宜、、、再来济南一定还住这、、、、', '短评打分': 5}
{'短评内容': '位置不错，离火车站不远，打车也算方便，服务也是可以的，下次还会去的！', '短评打分': 5}
{'短评内容': '挺好，还满意。早餐不错，10元吃得挺好。', '短评打分': 5}
{'短评内容': '感觉不错，价格合理距离鞋城和服装批发市场不远', '短评打分': 5}
{'短评内容': 'good 还不错就是火车站打的15.环境一般吧，价格还算可以', '短评打分': 5}
{'短评内容': '已入住，条件环境都不错', '短评打分': 3}
{'短评内容': '还不错，位置还可以，附近购物很方便，服务也还凑活吧！', '短评打分': 5}
