{'短评内容': '酒店位置还可以，周围购物吃饭都很方便，门口有停车位，房间干净卫生，性价比不错。潮汕路边基本都能停车，很适合自驾游。', '短评打分': 5}
{'短评内容': '价格实惠，，', '短评打分': 5}
{'短评内容': '交通挺便利的', '短评打分': 4}
{'短评内容': '宾馆位置不错，好找', '短评打分': 4}
{'短评内容': '很潮湿阴暗', '短评打分': 3}
{'短评内容': '好几次都在这个地方住的可以…^_^', '短评打分': 5}
{'短评内容': '房间有味道', '短评打分': 3}
{'短评内容': '酒店比较卫生，交通出入方便', '短评打分': 5}
{'短评内容': '干净卫生方便……', '短评打分': 5}
{'短评内容': '还不错，值得入住，性价比很高！', '短评打分': 3}
{'短评内容': '干净，舒服', '短评打分': 5}
{'短评内容': '总的都很不错，不过商务单人只有靠马路的，比较吵', '短评打分': 5}
{'短评内容': '还不错的，520做得挺好的。', '短评打分': 3}
{'短评内容': '环境和服务很好', '短评打分': 4}
