{'短评内容': '房间感觉是很好的，前台服务也很好，出酒店就有很多公交车，交通方便，外面也有早餐可以吃，另外，酒店更名为贝壳酒店了！', '短评打分': 5}
{'短评内容': '无早，快捷酒店那样', '短评打分': 4}
{'短评内容': '有诸多小虫', '短评打分': 4}
{'短评内容': '刚住进来 还行吧', '短评打分': 4}
{'短评内容': '一般般吧', '短评打分': 4}
{'短评内容': '好！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '环境很好就是网速有点慢。', '短评打分': 3}
{'短评内容': '价格便宜，环境卫生，总体来说还好。', '短评打分': 3}
{'短评内容': '我飞机8点多到海口，请保留房间', '短评打分': 3}
{'短评内容': '还没体验...:??', '短评打分': 3}
{'短评内容': '临街房间噪音大，设施老旧，不推荐。', '短评打分': 3}
{'短评内容': '停电电梯不能用。', '短评打分': 3}
{'短评内容': '实惠，不错！', '短评打分': 5}
{'短评内容': '还好', '短评打分': 3}
{'短评内容': '酒店环境一般，设备很旧，就在马路边，晚上睡觉非常吵，白天旁边工地还在施工，最意外的是在携程网订的价格居然比直接酒店的价格还高，感觉网上订也不靠谱', '短评打分': 1}
{'短评内容': '房间不太干净，床上有黄色的积渍，晚上旁边有人跳舞，吵', '短评打分': 1}
{'短评内容': '有发票，楼比较旧。周围没什么人，安静', '短评打分': 3}
{'短评内容': '已经入住第二天了，感觉很不错，值得。很干净，很值的，离市区也不远，门口就是公交站，边上还有邮局。', '短评打分': 5}
{'短评内容': '交通方便，卫生清洁，服务态度好，空调很不错，安静舒适！就是附近早上起来很难买早餐的。', '短评打分': 5}
{'短评内容': '.已经入住，感觉很不错[微笑]，值得。', '短评打分': 3}
{'短评内容': '非常安静，楼下就有公交车站，卫生还行，价格适中。', '短评打分': 5}
{'短评内容': '很干净，很值的，离市区也不远，门口就是公交站，边上还有邮局。', '短评打分': 5}
{'短评内容': '环境一般，交通还是很便利的，有公交直达海口东站', '短评打分': 5}
{'短评内容': '帮亲戚订的，据说条件很不错,虽然地段偏僻有些不方便', '短评打分': 5}
{'短评内容': '不能刷卡消费，也不提前告知。不能提供发票！', '短评打分': 1}
{'短评内容': '酒店还可以服务不好要床被子也没有', '短评打分': 3}
{'短评内容': '酒店环境很好，出门逛街也方便！', '短评打分': 3}
{'短评内容': '酒店环境很整洁，离机场近，门口坐公交到海口东站也很方便，好评！', '短评打分': 3}
{'短评内容': '我也顺利入住南都商务酒店', '短评打分': 3}
{'短评内容': '上一次住挺好的，这次住的房间热水忽大忽小，忽冷忽冷~~', '短评打分': 5}
{'短评内容': '很好方便的，在外地直接打个电话就能定房，给处于急忙中人很大的方便。。。', '短评打分': 5}
{'短评内容': '很好 在那里丢了手机 服务员一直保管的很好  而且 干净 环境好', '短评打分': 5}
{'短评内容': '位置有点偏。条件还好。推荐。。。。。。。。。。', '短评打分': 5}
{'短评内容': '房间明明没有网线还说可以上网。。。附近也没什么吃的玩的。。。', '短评打分': 1}
{'短评内容': '优点是离机场还算近，走一段路就有机场大巴的站点，可前台服务员却向我推荐预订出租车，之前问过司机说大概40月，而酒店工作人员却说要70，太不实在了。缺点是周边环境不咋样，建议女生慎重选择。', '短评打分': 1}
