{'descr': '凑合', 'star': 4}
{'descr': '干净整洁！', 'star': 5}
{'descr': '出差去的 一共有6层，1-5层有电梯，6楼要到5楼再爬上去，提前一周订的房，结果被安排到6楼，说是有窗，开窗就是广告栅栏，等于没有，室内设施比较老旧，烧水壶电源灯不亮，配送的免费用品只有梳子，牙刷，洗发水，其他都要收费，有大中小农夫山泉，两碗6元的泡面，一包10元的抽纸！水都不送一瓶，要知道那附近去最近的便利店需要10分钟！然后说说早餐 有虾皮白面，包子 馒头，小米粥，水果，随时被喝光的豆浆。 午', 'star': 4}
{'descr': '商务出差到此，符合快捷酒店的预期。周边的商业配套缺乏，吃饭的地方选择性不大，可能开发不到位，离地铁口有一段距离，需要打车或公交才能过去，白天打车去北京西站30多块的样子', 'star': 3}
{'descr': '不能加床', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '房间太小了，其他都还行', 'star': 5}
{'descr': '交通便利，房间干净，性价比高，公私咸宜，房间物品虽收费但也还算实惠，去总部基地办事或附近景点旅游，应当可以作为首选', 'star': 5}
{'descr': '房间还可以', 'star': 4}
{'descr': '干净，卫生，服务也可以，主要是有早餐能省下不少麻烦。位置有点不是很好找，离公司总部还是比较近，附近没有大型超市，总之还不错，下次还会考虑的！', 'star': 5}
{'descr': '很方便，不错', 'star': 5}
{'descr': '经济实惠，环境优雅。', 'star': 4}
{'descr': '总体还不错！', 'star': 5}
{'descr': '很好', 'star': 5}
{'descr': '干净卫生', 'star': 5}
{'descr': '还行', 'star': 5}
{'descr': '带人预订，很不错的酒店', 'star': 5}
{'descr': '订这里就是因为离公司近，其他的，和别的速八没什么区别', 'star': 5}
{'descr': '酒店内置还不错，就是位置稍微偏了点，打车不太方便', 'star': 5}
{'descr': '环境不错，服务很热情，房间也很干净，价位也很具吸引力', 'star': 5}
{'descr': '环境不错，服务很热情，房间也很干净，价位也很具吸引力', 'star': 5}
{'descr': '酒店房间环境不错，位置稍微有点点偏，但总体性价比较高', 'star': 5}
{'descr': '酒店房间环境不错，位置稍微有点点偏，但总体性价比较高', 'star': 5}
{'descr': '实在是不值得这个价钱，我定的198特价房没有房间了，临时换成了258的标间，地下一层住了整整2天', 'star': 4}
{'descr': '酒店不错~房间还可以~洗澡水也比较大~所以还是赞一个', 'star': 5}
{'descr': '酒店不错~房间还可以~洗澡水也比较大~所以还是赞一个', 'star': 5}
{'descr': '都挺好 隔音差。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '都挺好 隔音差。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '房间条件不错，就是卫生间设计的不合理，全是透明玻璃窗，很不方便！', 'star': 3}
{'descr': '房间条件不错，就是卫生间设计的不合理，全是透明玻璃窗，很不方便！', 'star': 3}
{'descr': '位置在总部基地很不错，就是早餐差些，房间比较舒适，电视不好。', 'star': 5}
{'descr': '位置在总部基地很不错，就是早餐差些，房间比较舒适，电视不好。', 'star': 5}
{'descr': '一楼的房间很冷,热水不给力.别的还能接受,早餐还行.\n希望能把一楼冷和热水的问题解决.', 'star': 5}
{'descr': '一楼的房间很冷,热水不给力.别的还能接受,早餐还行.\n希望能把一楼冷和热水的问题解决.', 'star': 5}
{'descr': ' 酒店性价比很高,不错', 'star': 3}
{'descr': ' 酒店性价比很高,不错', 'star': 3}
{'descr': '经济大床房条件还行，就是小了点，挺压抑的，最不爽得是移动信号很差，几乎无法打电话', 'star': 5}
{'descr': '经济大床房条件还行，就是小了点，挺压抑的，最不爽得是移动信号很差，几乎无法打电话', 'star': 5}
{'descr': '去的那经济房，是非常经济，装修简陋，没有暖气，地板脏，空气质量差，设备有噪音，网速慢，说说好的方面， 有餐饮服务，有送&ldquo;名片&rdquo;，入住及退房速度快，店员亲切。', 'star': 3}
