{'短评内容': '整体还不错哦', '短评打分': 3}
{'短评内容': '還好', '短评打分': 4}
{'短评内容': '在携程上订的，总体感觉一般。周边环境不吵，停车也不方便。酒店设施和装修都旧了。', '短评打分': 4}
{'短评内容': '商务出差，酒店位子比较方便，但是价格便宜，房间卫生干净整洁，房间设施一般，携程上预定的，性价比非常好。', '短评打分': 4}
{'短评内容': '还可以哦', '短评打分': 5}
{'短评内容': '房间不错，环境优美，安静，舒适', '短评打分': 5}
{'短评内容': 'OK，还不错就是枪墙壁的墙纸有点掉下来了。还好还好还好还好，凑合凑合凑合凑合，这个价钱差不多差不多差不多啦', '短评打分': 4}
{'短评内容': '环境好价格略高，设施还不错，好好好', '短评打分': 5}
{'短评内容': '因为预订的上个酒店到店无房，携程给建议改订了这家，差价由携程承担，我简单浏览了网上的图片，觉得还不错，结果入住时吓坏了，房间很大，但是明显老旧且大而无用（2007年开业），这样的房间居然卖510元。后投诉携程，到店无房应该给我两种方案选择：要么按赔付标准，要么清晰告诉我换的酒店硬件设施情况，不能只强调承担了差价。从到店无房到协调处理，再到更换酒店，中间花了快一小时，核心是为了解决用户体验，但是最后', '短评打分': 3}
{'短评内容': '环境一般，交通方便，卫生也不错，前台态度很好。价格有点点高，但也算合适。最好的是房间没有一点烟味道，不错！', '短评打分': 5}
{'短评内容': '很舒服很好', '短评打分': 5}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '酒店房间墙纸大面积脱落，破败不堪。房间卫生很一般，垃圾桶还有前面客人扔的纸巾。绝对差评，不会再有下次选择！', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还可以，比较安静，价格再降一点就好了。。。。。。', '短评打分': 5}
{'短评内容': '环境很好，服务态度也不错，好评！下次还来。', '短评打分': 5}
{'短评内容': '环境很好哦~~住的很干净舒适，而且酒店服务态度很好哟~如果需要，下次还是会选择这家酒店~~', '短评打分': 5}
{'短评内容': '前台服务不专业，晚上居然还有个保安在电梯口查岗，来个客人盘问一个，不过也只说了个房间号就让上楼了，看来也起不到什么安全作用，这可是在所有入住酒店中从未遇到的。在房间里，服务员敲下门还未等我反应就直冲进来。。。性价比非常差，368的价格，房间是不小，但是设施非常一般，卧具也不舒适，拖鞋什么都比较劣质，真心不推荐', '短评打分': 1}
{'短评内容': '环境可以，就是有点贵。', '短评打分': 3}
{'短评内容': '优点：房间大\n缺点：由于潮湿天气，楼道霉味严重，网速较慢\n      房间没有电话无法和前台沟通\n      早餐较差，整体管理感觉有点奇怪\n总结：如果按300元以上的酒店来讲，除了房间面积大之外，其他应该都不达标\n', '短评打分': 1}
{'短评内容': '交通便利，环境OK啦，早餐过得去，大概就是这些。', '短评打分': 5}
{'短评内容': '环境不错，价格优惠，性价比较高，值得推荐', '短评打分': 5}
{'短评内容': '这家酒店设立在比较杂的面南新路，价位还算是平。                                      \n', '短评打分': 1}
{'短评内容': '不错，性价比很高，提点建议，就是把酒店的地毯和沙发好好清洗一下，有点对不过去。', '短评打分': 5}
{'短评内容': '酒店本身的早餐太差，周边吃饭的地方还蛮多', '短评打分': 1}
{'短评内容': '挺好的，干净卫生，性价比挺高的，服务业不错，在高新区附近算是个不错的选择', '短评打分': 5}
{'短评内容': '干净，卫生，服务好！房间也很大，已经入住两次了！以后会向同事推荐，早餐如果更丰盛一些就更好了！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '几间枫叶酒店都住过，不错，地点好，房间也比较大                                                       ', '短评打分': 5}
{'短评内容': '大运会期间没办法，之前入住的酒店都涨价了。超过出差标准，没法住了。所以找到了这家，住下来感觉还可以，性价比还是比较高的，推荐入住。', '短评打分': 5}
{'短评内容': '出差到深圳， 是在南山区性价比较高的一家商务酒店', '短评打分': 5}
{'短评内容': '酒店不错，而且房间和卫生间好大，喂一的不足是早餐结束的时间太早了，只到九点，希望改进！', '短评打分': 5}
{'短评内容': '饭店不错，周边还算方便，房间枫叶派的装饰，不过让人感觉不是太干净的样子，设施一般，勉强推荐吧', '短评打分': 5}
{'短评内容': '好，不错，佳', '短评打分': 3}
{'短评内容': ' 枫叶时尚酒店环境不错，服务也比较好', '短评打分': 3}
{'短评内容': '深圳枫叶时尚酒店地理位置在南山区，酒店比较安静、干净，感觉非常不错。', '短评打分': 5}
{'短评内容': '真的很不错，我住的是318元的大床房，房间干净宽敞温馨，每天送早餐票，地理位置也能行，唯一的缺点是毛巾有点旧。', '短评打分': 5}
{'短评内容': '干净,卫生,价格稍微偏高,但周边环境有点乱', '短评打分': 5}
{'短评内容': '非常好，房間大，新，也非常乾淨，價格也算合理，地理位置方便。可以選擇', '短评打分': 5}
{'短评内容': '酒店房间很大，以前住过觉得不错，所以再定这家酒店，唯一美中不足的是酒店空调维修，恰好遇到深圳很冷，还好客房服务不错，加了一床毛毯', '短评打分': 3}
{'短评内容': '酒店位置不错，服务不错，早餐一般，晚上睡觉很吵，性价比很一般', '短评打分': 5}
{'短评内容': '环境还不错，价格有点高，不过有停车场适合自驾游', '短评打分': 5}
{'短评内容': '该酒店服务很好离景点也比较近！交通也很方便！如果来深圳游玩是优选！', '短评打分': 3}
