{'短评内容': '在北郊中心位置、交通方便、十分繁忙的商業區、酒店工作人員服務態度認真、熱情週到、房間清潔卫生做的很好', '短评打分': 4}
{'短评内容': '很不错，推荐', '短评打分': 5}
{'短评内容': '餐饮住宿环境都很好', '短评打分': 5}
{'短评内容': '酒店环境不错，里面非常干净！', '短评打分': 5}
{'短评内容': '房间的设施很好，价格也合适', '短评打分': 5}
{'短评内容': '酒店服务很用心，附近有商场及万达影院，背后有集市。总体来说挺不错，北边这比较好的酒店了，就是离地铁口有点距离。', '短评打分': 5}
{'短评内容': '酒店不错，值得入住。', '短评打分': 5}
{'短评内容': '效率！效率！效率！不足室这个酒店服务人员态度极其恶劣！', '短评打分': 5}
{'短评内容': '效率！效率！效率！不足室这个酒店服务人员态度极其恶劣！', '短评打分': 5}
{'短评内容': '在国庆黄金周能订到这样的房价真的很不错，小伙伴们很喜欢。', '短评打分': 5}
{'短评内容': '一般。。。。。', '短评打分': 3}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '环境设施都比较不错，适合商务出差及旅行', '短评打分': 5}
{'短评内容': '还好。。。。。。。。。', '短评打分': 4}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '尚可！', '短评打分': 4}
{'短评内容': '房间非常好，设施很新，被子特别舒服，就是价格稍微高了一些。位置在西边，离西部商业中心走路5分钟，门口没有地铁，出行稍微差点。', '短评打分': 3}
{'短评内容': '设施还不错，基本舒适。', '短评打分': 4}
