{'descr': '中国好酒店，很好', 'star': 5}
{'descr': '有停车场了', 'star': 5}
{'descr': '还行。。。。。。。。', 'star': 5}
{'descr': '酒店环境和卫生尚可，设施比较旧，服务员态度很好', 'star': 4}
{'descr': '感觉很不错，干净，环境也好', 'star': 5}
{'descr': '早餐一般。酒店位置挺好，有停车场', 'star': 5}
{'descr': '马桶坏了的', 'star': 5}
{'descr': '不错很好的', 'star': 5}
{'descr': '不错，环境优美，房间干净，但需要进一步改进。', 'star': 3}
{'descr': '总体上还行，卫生安全之类还过得去，就是小卡片塞个不停。', 'star': 4}
{'descr': '房间不错，里面的空间很大', 'star': 5}
{'descr': '不错服务态度很好', 'star': 5}
{'descr': '用白条订酒店，方便快捷！', 'star': 5}
{'descr': '预订快捷方便。酒店住宿条件也不错。很好！', 'star': 5}
{'descr': '很好，很好，很好', 'star': 5}
{'descr': '没有住，不知道', 'star': 3}
{'descr': '很好很好很好很好很好很好', 'star': 5}
{'descr': '环境不错。', 'star': 5}
{'descr': '很好很好', 'star': 5}
{'descr': '位置还不错，比较方便 酒店住宿环境整体不错，停车也挺方便，周边超市买东西也挺方便，对面就是公园，空气挺好的，去跑步，散步，早上起来还晨练了一下！', 'star': 4}
{'descr': '经济实惠', 'star': 5}
{'descr': '除了周围太吵 其他的都挺好 ', 'star': 4}
{'descr': '非常的满意', 'star': 5}
{'descr': '方便出行', 'star': 4}
{'descr': '比较干净', 'star': 5}
{'descr': '酒店服务一般', 'star': 5}
{'descr': '酒店比较干净', 'star': 5}
{'descr': '服务好，环境干净', 'star': 5}
{'descr': '前台态度很好，房间大小合适，装修简单，用品干净，值回价格，总体感觉还不错，位置刚刚好，这次办事很近，旁边有家超市，路对面有商业街，吃饭什么的挺方便的。唯一不足，就是楼下卡拉ok有点影响。', 'star': 4}
{'descr': '还可以  顶楼水性还是空调机共振了 噪音', 'star': 4}
{'descr': '环境不错，服务不错，有些小问题总体还能接受，下次还会入住', 'star': 5}
{'descr': '住得比较舒适,员工服务态度也很好,大堂提供的饮料不错', 'star': 5}
{'descr': '房间和服务都不错~大堂提供的饮料也很好喝', 'star': 5}
{'descr': '很好，很值。。。。有停车。。。。。。。。。。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '总体感觉还不错，位置也还好，旁边有家超市，买东西挺方便的，路对面有商业街，吃饭什么的也挺不错的。就是离地铁站稍微的有点距离，出去一次不是很方便。总体来说还是不错的', 'star': 5}
{'descr': '不错就是离工作地点好远，附近设施可以啦，总体OK', 'star': 5}
{'descr': '\n\n干净整洁溫曖\n', 'star': 3}
{'descr': '很棒 下地铁高碑店 做蹦蹦迪 6快钱直接到', 'star': 5}
{'descr': '该酒店服务态度不错，环境也还行，特别安静，且室内有衣橱和两个床头桌，感觉比较人性化，就是电视台有点少，希望能够改进', 'star': 5}
{'descr': '环境比较好，房间干净。就是前台服务生的态度不咋地。交通很方便', 'star': 5}
{'descr': '环境较好,适宜居住,家庭房尤其适合居住。', 'star': 3}
{'descr': '非常不错的酒店，卫生舒适，交通便利，是旅游出差最佳选择，以后出差，方便的话我就选这家了', 'star': 3}
{'descr': '房间很大，有免费wifi，不错的', 'star': 3}
{'descr': '性价比不错，干净卫生，就是宽带速度有些不给力', 'star': 5}
{'descr': '房间干净整洁 就是太简陋了 经济酒店也就这样了 \n', 'star': 5}
{'descr': '手续便捷', 'star': 3}
{'descr': '比较干净，安全，下次再来.服务比较好。周边交通购物方便/。。', 'star': 5}
