{'短评内容': '一般般的酒店，只算勉強入住而已。', '短评打分': 4}
{'短评内容': '还算干净吧', '短评打分': 5}
{'短评内容': '没有早餐', '短评打分': 4}
{'短评内容': '位置離北京西站及地鐵站不遠出行方便，其餘一般般。', '短评打分': 4}
{'短评内容': '挺干净，挺好的', '短评打分': 5}
{'短评内容': '很不错的酒店，住好几次了', '短评打分': 5}
{'短评内容': '日式大床房有一个带窗户的还是不错的，可以抢购这个的。。。。', '短评打分': 5}
{'短评内容': '小区底商的一家酒店，环境一般，屋子真的好小，管理倒是很到位，进入酒店一定要出示身份证，交通一般，离地铁站需要十分钟', '短评打分': 3}
{'短评内容': '环境不错，住着挺舒服的，周边有超市，饭馆，挺方便的', '短评打分': 5}
{'短评内容': '没有拖鞋 淋浴下水不好 水床水太少 睡的有点晕 地下室味道不是很好 很一般', '短评打分': 4}
{'短评内容': '环境不是一般差，12点前退房', '短评打分': 1}
{'短评内容': '房间干净整洁！', '短评打分': 5}
{'短评内容': '总体来说还可以', '短评打分': 3}
{'短评内容': '房间倒是挺大，但电话是坏的，没有线。卫生间环境一般，入住最好是自带洗漱用品，包括拖鞋，酒店没有一次性拖鞋。', '短评打分': 4}
{'短评内容': '酒店电话是坏的， 房间掉墙皮了。 房间周边噪音严重', '短评打分': 3}
{'短评内容': '房间好小，挺干净，离北京西站不远', '短评打分': 3}
{'短评内容': '朋友出差入住，价格合理，环境还不错 周边方便', '短评打分': 3}
{'短评内容': '酒店位置很方便，出门到达官营过天桥有一条小吃街，很舒服', '短评打分': 3}
{'短评内容': '离西站真的很近，很方便。酒店很干净，住着也很舒服，要是有窗户就更好了。', '短评打分': 5}
{'短评内容': '不错，不过挺适合恋爱中的小青年住！适合恋爱中的小青年住！', '短评打分': 5}
{'短评内容': '房间还算整洁，就是没有衣服撑子，没法挂衣服，空间再大一些就更好了', '短评打分': 5}
{'短评内容': '感觉挺干净的，就是去的那天正好赶上热水器跳闸， 说是到晚上8.30后才有热水，只好洗了个冷水澡', '短评打分': 5}
{'短评内容': '总体还不错，就是房间没窗，不太透气，还好有空调和排气扇，其他还不错，比较整洁干净，这个价位在北京这个地段，算是比较实惠了......', '短评打分': 5}
{'短评内容': '房间总体来说还行吧！没有什么问题服务态度挺好的！！！', '短评打分': 5}
{'短评内容': '首先说我不是网络水军，也不是职业写手，就是觉得这么好的酒店不给好评，简直就是暴殄天物！！！这里太梦幻了，太有爱了！！！！绝对的好评啊，本来看到别人没有给好评，还不太敢去住，怕地方太偏僻、住宿条件太恶劣，结果跟老公去了之后，才发现，不给好评的人才真的是太挑剔太苛刻了~首先别说酒店的门厅、走廊、格局有多么梦幻美丽，单说经济大床房这一点，就已经是十颗星满星！！！本来看到经济大床房没有窗户，还觉得会不会条', '短评打分': 5}
{'短评内容': '一切都挺好的,为了过度住的,还可以,推荐', '短评打分': 3}
{'短评内容': '房间还可以，布局有点不舒服。房间内有电脑但不能用。也不能上网。隔音不是很好。因为入住的比较晚，整体还可以。', '短评打分': 1}
