{'短评内容': '房间很干净，下次还去。目前餐厅在装修中。', '短评打分': 3}
{'短评内容': '不讲究的话 还行 酒店大堂灯光好暗啊 服务员根本不主动 在哪里看报纸呢 我主动问才回答 房间算是整洁 分人品 有的屋子味道还行 有的有烟味 还有一股潮味 地理位置不错 旅游协会3星 设施一般', '短评打分': 5}
{'短评内容': '交通便利，家庭房干净，不错！', '短评打分': 3}
{'短评内容': '地理位置还是不错的，搭乘地铁很方便，环境也还算不错，床铺比较干净。这个价格来说整体还不错，唯一不好的就是前台接待有个女孩，服务特别不好，10元的零钱都不给换，和人说话也是爱搭不理。哎~~~~无语啊！', '短评打分': 5}
{'短评内容': '管理的比较差，服务也很一般。同等价位不如对面的如家酒店，后悔亲自尝试了一把！', '短评打分': 1}
{'短评内容': '我所住过最差、最脏、味道最难闻的酒店。\n楼梯的地毯上油腻腻的，房间里门口因隔壁卫生间的原因渗水；\n没有一次性的拖鞋；\n卫生间一股难闻的臭味；\n电视不是液晶的；\n距离地铁四号线约800米。\n以后不会再住。', '短评打分': 1}
{'短评内容': '服务实在不能恭维，房间也好小，临街还很吵。。。不过跟价钱说算交通方便的了。。。', '短评打分': 1}
{'短评内容': '帮老公订的，老公说去北京分公司出差住那边很方便的呢，下次还定这里', '短评打分': 5}
{'短评内容': '淋浴喷洒不出热水 \n房间小，有味道，位置还不错。', '短评打分': 5}
{'短评内容': '房间比较小，但是交通出行挺方便的，离轨道交通比较近', '短评打分': 5}
{'短评内容': '地理位置不错，出行方便，就是房间比较小，性价比比较高。离地铁挺近的，步行15分钟即可到达。自己去北京玩的话，可以选择，商务出行就不推荐了', '短评打分': 5}
{'短评内容': '一般,卫生还待改善,房间里竞然有一根大柱子,很别扭。', '短评打分': 3}
{'短评内容': '环境不错，就是离前门还是有点点远，不过交通还可以，要是离此近还可以', '短评打分': 5}
{'短评内容': '酒店除了离地铁站和南站比较近，其他很少可取之处了。提前订了房但到了酒店发现房间竟然还没空出来，在外面坐了半小时才有了房。屋内很旧，又脏，空间很挤。如果不是必须，以后不会再去这家酒店了。', '短评打分': 1}
{'短评内容': '交通方便，周边环境稍微差点！服务还不错。房间隔音效果差，宽带太慢了!', '短评打分': 5}
{'短评内容': '交通很方便环境还不错', '短评打分': 3}
{'短评内容': '已经是多次入住了，环境设施均不错，门口不好打车，', '短评打分': 1}
{'短评内容': '位置不错，紧邻菜市口地铁，很方便。但是设施陈旧，卫生较差。相对于费用来讲，房间空间太小。', '短评打分': 5}
{'短评内容': '住宿条件吃饭一般，服务较差，洗澡无热水，建议今后别再选为目的宾馆', '短评打分': 3}
{'短评内容': '破，冷，早餐差。', '短评打分': 3}
{'短评内容': '不错 不错  交通很方便。就是周边稍微了些', '短评打分': 5}
{'短评内容': '酒店位置很好找 紧邻地铁站 但是设施比较陈旧 卫生条件也不是很好 总体来说性价比不是很高', '短评打分': 1}
{'短评内容': '酒店服务员非常客气，楼下的餐厅也不错，非常热情，而且饭菜比较好吃，还送酸梅汤。', '短评打分': 3}
{'短评内容': '酒店服务员非常客气，楼下的餐厅也不错，非常热情，而且饭菜比较好吃，还送酸梅汤。', '短评打分': 3}
{'短评内容': '酒店服务很不错', '短评打分': 5}
{'短评内容': '装修有点老，卫生间设计不好，水龙头等有锈迹，地砖没有防滑处理，人很容易滑倒，差点摔伤，卫生间管道堵塞，臭味很重，说了几次酒店也没什么反应。下次基本上不会再考虑', '短评打分': 1}
{'短评内容': '房间很潮，马桶漏水，没有衣柜，没法挂衣服，说是才装修不久，但看起来很旧，像客栈，288元不值。', '短评打分': 5}
{'短评内容': '不错，交通非常方便，公交地铁四通八达，卫生条件也不错，只是隔音差了点', '短评打分': 3}
{'短评内容': '比如家好一点吧', '短评打分': 5}
{'短评内容': '住了几次了，还不错，交通便利，卫生也还不错，就是隔音差点，这个价位值了', '短评打分': 5}
{'短评内容': '我觉得还可以', '短评打分': 5}
{'短评内容': '设施，服务太还可以，最大的优势是位置不错，外出方便，最大的缺点是卫生有点不太好，毛巾特别脏，卫生间异味重', '短评打分': 3}
{'短评内容': '第一次住这酒店. 好处是酒店位置不错,免费上网,服务人员比较nice, 打折后的价钱还不错, 一楼的餐厅(好象和酒店没关系)也不错. 但我住的房间地毯较脏,毛巾浴巾经常是旧的甚至是破的. 楼梯过道里有时气味不对劲. ', '短评打分': 5}
{'短评内容': '环境比较乱，进入房间后到卫生间一看没有热水，跟前台联系后，前台说把水多放放就会有的，结果放了尽一个小时也没把热水放出来。最后只能又麻烦服务台，等了没有多长时间来了一个小伙子看了看，也没看明白。最后又派来一个喝的醉熏熏、满嘴酒气的一个人，结果到是把热水调出来了，不过对我来说实在是不安全。非常反感，上班时间为什么还允许喝酒？', '短评打分': 1}
{'短评内容': '酒店人员的服务很不错，也挺干净的，而且整体的硬件设施和环境位置也不错，比较方便。', '短评打分': 5}
{'短评内容': '内部需要装修了!', '短评打分': 5}
{'短评内容': '服务很热情.卫生有待提高,经常清洗地毯.', '短评打分': 5}
{'短评内容': '房间很小，还有一股霉味，走廊里的味更大。', '短评打分': 3}
