{'短评内容': '没有早饭，', '短评打分': 3}
{'短评内容': '很好，有很大改进', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错吧', '短评打分': 5}
{'短评内容': '环境都还不错，房间价格也不是很贵但是唯一让我吐槽的就是房间地毯，烧的全是黑洞，看着脏兮兮的，酒店应该更换地毯了，其他感觉还不错', '短评打分': 4}
{'短评内容': '还是很不错的哦。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '之前一直住这里的，挺不错', '短评打分': 4}
{'短评内容': '吹风机跑哪去了？', '短评打分': 4}
{'短评内容': '比较坑爹，一去就告诉我只有一楼的。房间通风换气差，一进去就打喷漆不停，下水道居然也堵了……388价格也不便宜吧，这么差？吃饭早点打的士买的……', '短评打分': 3}
{'短评内容': '还不错。就是酒店偏了点。交通不方便', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '路太远 其他中规中矩', '短评打分': 4}
{'短评内容': '还不错。', '短评打分': 5}
{'短评内容': '位置比较偏，周围比较荒，餐饮不方便。', '短评打分': 4}
{'短评内容': '老婆很满意，就是店里有些收费的项目没有明确写明“收费”，或者“免费”，结果后来结账时莫名其妙地多付了十元收费项目。总体来讲还是可以滴。', '短评打分': 5}
{'短评内容': '经济型酒店，还算干净，就是价格有点小贵。', '短评打分': 4}
{'短评内容': '和老公去崇明，入住这个酒店一个晚上。还是比较好找的地方，很多停车位，非常宽敞。楼里还是很安静的，我们入住的是商务B套房，空调很足，地方也宽敞，虽然有免费上网，但我们都没用，所以，不知道上网的速度如何。整个房间还是很干净的，床稍微有点软了。淋浴房很大，洗起来还是很舒服的。最喜欢他们家的小香皂，很可爱，很有点手工香皂的感觉，连老公都觉得喜欢。唯一不足的是，房间家具的味道大，还是需要多放些炭包去味道。', '短评打分': 5}
{'短评内容': '装修比较新，设施也比较齐全，比较细心，什么都有，包括沐浴后护理的东西都有', '短评打分': 5}
{'短评内容': '免费升的豪华商务房，还不错，比一般商务酒店好。', '短评打分': 3}
{'短评内容': '走进酒店就能体会到他们周到热心的服务，酒店很干净 ，也安静。很满意', '短评打分': 5}
{'短评内容': '酒店设施比较新，位置也不错，位于崇明东门附近。热水空调都给力。房间不大，但算干净。', '短评打分': 3}
{'短评内容': '酒店2011年开业，不挂星的，房间，卫生间设施还算蛮新的，挺干净整洁的，床也很软\n缺点：就是房间太小，地方太偏，走了老半天一条嘿嘿的小路才到。', '短评打分': 5}
{'短评内容': '酒店房间略小，隔音效果不是很好，但是服务态度还可以，还有酒店内缺少一些必备的用品的贩卖，让人很头疼', '短评打分': 1}
{'短评内容': '不错，价位也比较实在。。干净。。空调热水都不错。。', '短评打分': 5}
{'短评内容': '干净整洁，服务态度很好，是个不错的旅游居住酒店。', '短评打分': 5}
{'短评内容': '热水还是很给力的，就是床垫太软有点不习惯还有就是没有窗户开着中央空调人不舒服但是总的来说还是很干净舒服的', '短评打分': 5}
{'短评内容': '十热水供给，中央空调很给力，服务热情，很舒适温馨。', '短评打分': 3}
{'短评内容': '空调依然不给力洗澡要看时间不然水不够热', '短评打分': 3}
{'短评内容': '床很软空调很不给力', '短评打分': 3}
{'短评内容': '比我想像中好太多了，装修和设施都很新，东西很全，还有浴袍，真的太棒了，以后还要去。', '短评打分': 3}
{'短评内容': '有点偏僻，住宿环境还不错，就是价格不太公道，旅游旺季和平常价格悬殊太大了！', '短评打分': 1}
{'短评内容': '设施太新，有股气味，房间不大。地址很偏。没有吃的地方。隔壁是夜生活的地方，看是为无法回家的人准备住的地方。不适合办事和休闲的人入住。', '短评打分': 1}
{'短评内容': '优点：酒店设施较新，干净卫生，酒店经理挺热情。\n缺点：位置较偏僻，酒店服务档次较低，属经济型酒店。旁边就是当地有名的娱乐会所，晚上较嘈杂，如果是那种爱夜生活的朋友，可以考虑这里。', '短评打分': 1}
