{'短评内容': '手工的植物，比较用心，值得表扬', '短评打分': 5}
{'短评内容': '66666666666666666666', '短评打分': 5}
{'短评内容': '不错的啦啦啦啦', '短评打分': 5}
{'短评内容': '不错的啦啦啦啦', '短评打分': 5}
{'短评内容': '还可以 就是房间味道大', '短评打分': 5}
{'短评内容': '。。。。。。。。。。', '短评打分': 5}
{'短评内容': '这是我第一次遇到说给前台人员说需要添加一床被子，被告知工作人员除了前台人员都下班了，拿不到了。因为十点以后了。因为工作开会，我十点以后才能回到酒店房间。况且酒店本身配备的被子真的很薄。我不知道以后是不能定这家酒店，还是不能定这家酒店的特价房间了。', '短评打分': 3}
{'短评内容': '宾馆有些东西不免费，卫生间如照片所示。其他条件还好。', '短评打分': 4}
{'短评内容': '有些东西不免费，卫生间墙壁有掉皮长毛。其他条件还可以。', '短评打分': 4}
{'短评内容': '还行吧嗯嗯', '短评打分': 3}
{'短评内容': '还行吧嗯嗯', '短评打分': 3}
{'短评内容': '不错的选择', '短评打分': 5}
{'短评内容': '酒店位置环境不错，离市区很近。', '短评打分': 5}
{'短评内容': '一般般，环境，地势比较便捷', '短评打分': 3}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
