{'短评内容': '性价比太低，浴室洗澡间堵塞，洗澡都没好心情', '短评打分': 3}
{'短评内容': '很好，满意！', '短评打分': 5}
{'短评内容': '很好，服务好，卫生好，满意！', '短评打分': 5}
{'短评内容': '设施比较旧，隔音不好。', '短评打分': 4}
{'短评内容': '不错，168的价。', '短评打分': 5}
{'短评内容': '我的人生是不是很多，我们都市全国人大代表和谐社会主义改造', '短评打分': 5}
{'短评内容': '还可以，花洒谁很小，其他的话还行吧', '短评打分': 3}
{'短评内容': '干净卫生，交通方便，下次还要去住！真的很棒！', '短评打分': 3}
{'短评内容': '房间还好，就是一次性用品太差，连厕纸都要另外花钱去买，哎', '短评打分': 3}
{'短评内容': '很不错的酒店，冰箱都有，房间也宽敞，老板态度很好', '短评打分': 3}
{'短评内容': '挺好  。。挺干净。。。', '短评打分': 3}
{'短评内容': '不错不错，离我要去的地方很近！性价比不错！', '短评打分': 5}
{'短评内容': '酒店还是干净的，安全的，物有所值，就是前台接待说话太冷冰冰的,希望改进。', '短评打分': 5}
{'短评内容': '还好。就是旧了些。态度也还可以，交通方便但有点吵。', '短评打分': 5}
