{'短评内容': '服务人员态度不错，房间也比较大，光线比较好，比较满意。', '短评打分': 5}
{'短评内容': '挺干净的，在市区内方便，边上就是白鹿餐厅', '短评打分': 5}
{'短评内容': '卫生状况好，交通方便，门口就是白鹿餐厅。', '短评打分': 5}
{'短评内容': '优点：位置好，较清静，交通条件好，出入方便。\n缺点：房间稍小，晾晒衣物不甚方便，周围饮食店少，用餐稍有不便。', '短评打分': 5}
{'短评内容': '条件还可以，交通算比较方便，价格也不算贵，本来住的挺好，走的时候发生点矛盾，房间里有盒安全套拆开了，估计是原来其他人拆开的，服务人员没发现，非得说我拆开的，虽然最后经理出来说算了，但是心里挺不痛快的', '短评打分': 5}
{'短评内容': '还不错，设施齐全，价格有点贵，服务一般，总体来说不错', '短评打分': 5}
{'短评内容': '还是一如既往的好，不过现在旁边没以前热闹了，而且酒店感觉是要装修了，有点老旧了！', '短评打分': 5}
{'短评内容': '房间比较简陋，像招待所，地理位置还不错，出行都比较方便', '短评打分': 1}
{'短评内容': '条件一般，不过还算实恵，退房比较麻烦~', '短评打分': 3}
{'短评内容': '床有点小，其他酒店设施良好，酒店服务人员态度很好，而且交通比较方便。', '短评打分': 3}
{'短评内容': '很不错的哦 环境蛮好的、很多细节很贴心、比如浴帽、还有纸巾、电吹风等等、', '短评打分': 5}
{'短评内容': '酒店环境很好~而且处于市中心~交通很方便', '短评打分': 3}
{'短评内容': '房间很干净，交通便利，不错。', '短评打分': 3}
{'短评内容': '相比前一晚的人和之星他们家真的是明显对比了。。首先房间相对比较干净，基本设施都齐全。。。唯一不好的就是当天晚上洗澡没有热水，虽然有个阿叔很热情的来帮忙了，还建议到底楼洗，但还是等到早上起来才洗的。。。还有就是前台小姑娘态度稍微有点冷漠。。再热情点就好了', '短评打分': 5}
{'短评内容': '交通方便 性价比高 就是毛巾看上去有点不干净', '短评打分': 5}
{'短评内容': '杭州广纳假日酒店在杭州游泳馆隔壁，临近武林广场及杭州大厦，房间布置很温馨，住的大床房可以睡两个人，有电视书桌，很舒适，服务员', '短评打分': 3}
{'短评内容': '酒店挺好的，即卫生又舒适，交通也很方便，门口不远的白鹿饭店很实惠，菜做的也很不错', '短评打分': 5}
{'短评内容': '靠近马路噪音大，吃饭很方便，旁边就是白鹿餐厅', '短评打分': 5}
{'短评内容': '房间靠近马路，噪音较大。旁边有家白鹿餐厅是最大的卖点。', '短评打分': 5}
{'短评内容': '位置在武林广场附近,交通还算方便.房间与快捷酒店差不多,但价格稍高.总体来看一般吧.', '短评打分': 1}
{'短评内容': '价格很实惠，从09年开始每年我来杭州都是住这家店。房间够大，卫生不错，位置也好，就在武林广场附近。性价比很好。唯一的缺点是酒店的一次性拖鞋不好，不过我基本每次都自带拖鞋的。', '短评打分': 5}
{'短评内容': '我住的是单人间，房间面积是稍微小了一点，除了电视、大床、书桌、大方布椅之外就放不开别的东西了。不过住的很舒服，房间设施、卫浴装修很新、很干净，可以跟如家等快捷酒店的设施相媲美，每天打扫的阿姨也很勤快，态度也很好。\n酒店的位置很不错，大约走不到半站的路就是购物中心、机场大巴，交通极其便利。更难得的是，酒店出门就是杭州的白鹿饭店，吃饭相当实惠，味道也不错，就是饭点的那段时间人比较多，叫号麻烦，可以摸个', '短评打分': 5}
{'短评内容': ' 酒店很干净！空调也很好！离机场大巴下车的位置很近，步行即可。离西湖，河坊街，都不远。整体很满意！推荐！', '短评打分': 3}
{'短评内容': '离杭州大厦不远，要逛街也方便，但周围吃饭的地方有点少，门口有个小卖部品种稍少但还算是方便。要是坐快速公交需要走一站到武陵小广场去坐。我住的是5楼的单间，卫生间很新很干净，洗手的时候热水水量有点小。喜欢大窗的朋友可能得谨慎点，窗户小了点，但采光是足的。', '短评打分': 5}
{'短评内容': '位置不错，环境卫生不错，服务也很好，值得住宿', '短评打分': 5}
{'短评内容': '酒店环境可以,交通便利,价格还可以.去西溪.火车站,汽车西站,还有坐机场大巴都很方便,下次来杭州还住!', '短评打分': 3}
{'短评内容': '位置很好，近市中心却不吵闹。价格实惠。性价比高', '短评打分': 5}
{'短评内容': '里面设施不怎么样，环境也比较差，一直有车子经过的声音，以后不会再去了', '短评打分': 1}
{'短评内容': '房间很干净 虽然比较小 但是也不会觉得挤  房间配用吹风机  蛮方便的', '短评打分': 5}
{'短评内容': '房间插头少其他都还不错', '短评打分': 3}
{'短评内容': '房间插头太少其他还好', '短评打分': 3}
{'短评内容': '第三次入住，交通很方便，外面就是市中心，出行便利', '短评打分': 5}
{'短评内容': '地段不错，价格相对便宜\n地段不错，价格相对便宜', '短评打分': 5}
{'短评内容': '房间干净，是新装修的。有蚊子。门口有家白鹿吃饭方便，就是到风景区交通不太方便要走10分钟到公交车站。但总的来说性价比好。', '短评打分': 5}
{'短评内容': '房间蛮干净的，厕所也很干净，就是电视机有点破，在高架桥下，关好窗户后比较安静', '短评打分': 5}
{'短评内容': '已成功入，地点不错！', '短评打分': 3}
{'短评内容': '环境幽静 房间很卫生干净 数字电视很不错 交通吃饭都很方便 门口还有保安 很安全', '短评打分': 5}
{'短评内容': '酒店位置比较好，离西湖也很近，房间也很不错，细节做的比较好，顶楼可以晾衣服，总之还比较方便。外面有一家白鹿餐厅，生意爆好，每天都很多人排队。总之还比较方便。', '短评打分': 5}
