{'短评内容': '房间大而且价格合适。在火车站附近，交通方便，旁边就是小吃街，选择这里没得说，总体酒店没什么问题，就是电梯不是很好用', '短评打分': 5}
{'短评内容': '很好，好，好', '短评打分': 5}
{'短评内容': '还可以，重新装修过', '短评打分': 4}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错、离工作地方近，吃饭方便', '短评打分': 5}
{'短评内容': '第二次去了还好吧，很好找交通方便', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 5}
{'短评内容': '虽然宾馆有年头了，但整体还不错', '短评打分': 4}
{'短评内容': '地理位置优越，服务不错！', '短评打分': 5}
{'短评内容': '城区中心位置这个价位很不错，也有停车场。房间才装修的，不错。', '短评打分': 5}
{'短评内容': '很好，可以去', '短评打分': 5}
{'短评内容': '房间比较干净整洁，也很安静！出差住是不错的选择！', '短评打分': 4}
{'短评内容': '可以不错', '短评打分': 5}
{'短评内容': '性价比很高的一个酒店', '短评打分': 5}
{'短评内容': '环境不错  ，经济实恵  无线网好', '短评打分': 3}
{'短评内容': '不错，就是无线信号不好', '短评打分': 3}
{'短评内容': '挺好的，住的房间干净还实惠', '短评打分': 3}
