{'短评内容': '晚上有夜宵', '短评打分': 5}
{'短评内容': '有停车场。位置可以。设施建设跟不上形式', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '早餐符合他这个星级标准。有停车场。酒店处于闹市区。很不错，加床不加床就不晓得了，但是床睡的很不错哟。', '短评打分': 5}
{'短评内容': '蒋长英服务态度很好，房间业干净，每次都住这里，很舒适', '短评打分': 5}
{'短评内容': '地段不错，服务不错', '短评打分': 4}
{'短评内容': '环境还好，主要去几个景点都很方便。', '短评打分': 5}
{'短评内容': '价额好', '短评打分': 5}
{'短评内容': '这个还没入住的 预定的啊 怎么评价啊', '短评打分': 5}
{'短评内容': '大堂还可以，房间稍微窄了点，不过设施很齐全', '短评打分': 5}
{'短评内容': '啊啊啊啊啊啊啊吧', '短评打分': 5}
{'短评内容': '酒店交通方便，条件也还可以，是市中心。', '短评打分': 5}
{'短评内容': '那就是思考什么是女生', '短评打分': 5}
{'短评内容': '老顾客了，酒店服务很好，希望沃特越来越好！', '短评打分': 5}
{'短评内容': '一般般的酒店', '短评打分': 3}
{'短评内容': '酒点周边有很多商圈 但是酒店有点旧', '短评打分': 4}
{'短评内容': '环境卫生都很好会再来光顾', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '酒店很好', '短评打分': 5}
{'短评内容': '还不错，干净，还是很温馨的，下次还选它', '短评打分': 5}
{'短评内容': '酒店还不错，位置也可以，就是入住信息折腾好久', '短评打分': 4}
{'短评内容': '住的蛮舒服的，但是酒店跟携程衔接有点问题，说我提前离店少了一天的返现 还好后面补了', '短评打分': 5}
{'短评内容': '酒店不错，也安静', '短评打分': 5}
{'短评内容': '酒店不错，下次还来，交通方便', '短评打分': 5}
{'短评内容': '酒店位置很好，周边很繁华，吃逛都很方便。房间大小适中，很干净。想在城里玩，住这里不错。', '短评打分': 5}
{'短评内容': ' 边上找大超市不方便。背后的当地宵夜不错。还有浴缸，只是小了点。', '短评打分': 3}
{'短评内容': '性价比很好。物有所值。', '短评打分': 3}
{'短评内容': '酒店位置很好，周边很繁华，吃逛都很方便。房间大小适中，很干净。想在城里玩，住这里不错。', '短评打分': 5}
{'短评内容': '酒店在太升南路，距离春熙路较近，整体感觉较好，算不错的酒店。', '短评打分': 5}
{'短评内容': '酒店房间不错早餐也好吃', '短评打分': 3}
{'短评内容': '交通方便，酒店舒适', '短评打分': 3}
{'短评内容': '给LG订的，去晚了房间免费升级了一下。LG很满意，房间和服务都很不错！还会选择入住。', '短评打分': 5}
{'短评内容': '成都沃特酒店迷你间,真够小的.太紧凑了.但是安全,卫生.昨晚房间楼上漏水,沃特给我换了房间,另一个迷你.', '短评打分': 3}
{'短评内容': '发表对<沈阳雅仕商务酒店>的评论(*发表对<沈阳雅仕商务酒店>的评论(*发表对<沈阳雅仕商务酒店>的评论(*', '短评打分': 5}
{'短评内容': '服务员培训有待加强！老夫房卡消磁了，让服务员开个门，等了40分钟！简直是过分，然后说好下午2点退房，1:30服务员就去敲门要收毛巾！！\n', '短评打分': 5}
{'短评内容': '下次还会再来\n定的是MINI房，但房间安静，位置也很好。尤其要说的是感觉这家酒店的服务很周到，服务员也很亲切。\n去哪儿也都很方便，离成都最出名的春熙路也就10分钟左右就走到了，基本都很乐意住这里。', '短评打分': 5}
{'短评内容': '在太升南路上，白天很热闹，没想到晚上更是热闹，施工工地通宵达旦，无法入睡,酒店也没有办法', '短评打分': 1}
{'短评内容': '迷你小单间还行，就是烧水壶、淋浴神马的不怎么好使呀。', '短评打分': 3}
{'短评内容': '4月30日到5月3日，去成都旅游，在这个酒店住了三个晚上，说一下具体感受吧。\n1.酒店位置还算比较便利，距离春熙路走个10分钟左右就到了，走个几分钟，就有很多成都著名的小吃，吃饭购物都比较方便，但是这条路所在的街是条电信街，有很多卖手机的店，住的靠路边可能会觉得比较吵。\n2.酒店设施方面，我住的是他的大床房，一进门感觉房间实在太小了，还不如如家的大，家具也都比较旧了，但是电视还比较好，床也比较干净', '短评打分': 1}
{'短评内容': '房间连个窗户都没有，进房间都是难闻的味道，四星不知怎么评上的。住一天后就不想再住了。', '短评打分': 1}
{'短评内容': '酒店条件还行，就是隔音效果不好，周围太吵。', '短评打分': 1}
{'短评内容': '房间稍微有点小，结账等了较长时间，酒店整体水平有待提高。', '短评打分': 1}
{'短评内容': '去的时候周围正在建楼，晚上也没有停工，比较吵。', '短评打分': 1}
{'短评内容': '酒店条件还行，就是靠近路边，玻璃隔音效果较差，有点吵。', '短评打分': 5}
{'短评内容': '总体来说还行，就是玻璃隔音效果有待提高。', '短评打分': 5}
{'短评内容': '刚装修, 还不错', '短评打分': 3}
{'短评内容': '干净卫生服务好，房间很大，床很舒服，床上用品是品质比较高端的产品，保证了睡眠质量', '短评打分': 5}
{'短评内容': '房间太小，性价比不高，不过糖酒会也无法多挑剔了', '短评打分': 5}
