{'短评内容': '设施太过简陋，相对于这个价格就不合适了。', '短评打分': 1}
{'短评内容': '酒店还行。就是预订时要先付保证金，有点不合理吧？', '短评打分': 5}
{'短评内容': '上网条件不佳。要另收费。', '短评打分': 3}
{'短评内容': '还行，被子有点脏', '短评打分': 3}
{'短评内容': '位置还好，坐车逛街什什么的倒方方便，环境一般般般，对得起这价，要求高不怕花钱就免了。', '短评打分': 3}
{'短评内容': '重在便宜，条件一般', '短评打分': 3}
{'短评内容': '酒店卫生环境可以，餐厅不错，毛巾有点旧了，总体感觉可以', '短评打分': 3}
{'短评内容': '房间设施一般，毛巾陈旧。卫生还可以。不过位置还可以，购物较方便。', '短评打分': 1}
{'短评内容': '替两个老人订的，听老人说还可以，开始订的是312，因为有蟑螂，换的310，服务还可以，卫生不错，双早。。。连续住了6天', '短评打分': 5}
{'短评内容': '给老人预定的，听老人说服务还可以，开始住的312房间，有蟑螂，客服又给换的310房间。性价比不错。提供双早', '短评打分': 5}
{'短评内容': '酒店规模不大，卫生做得挺到位的，价格也挺实惠的。', '短评打分': 5}
{'短评内容': '酒店位于繁华地带，周边交通购物还是挺方便的。', '短评打分': 5}
{'短评内容': '服务卫生方面挺好，设施方面有待于提供，没有电梯，感觉不太方便。', '短评打分': 3}
{'短评内容': '服务态度还好，房间小了点，但卫生打扫挺好。', '短评打分': 3}
