{'descr': '酒店前台接待人数少！', 'star': 3}
{'descr': '交通可以，价钱也可以，就是房间小点，也许自己住的是便宜的，但水不好！周围可以去大学城，那有很多吃的地方，美女也多', 'star': 5}
{'descr': '晚上有专门去打麻将的，影响住宿客人的休息。', 'star': 1}
{'descr': '很安静的一个酒店，环境还可以。不错，给个好评吧', 'star': 5}
{'descr': '环境卫生条件还可以…不过电热壶坏了…早点一般般…', 'star': 3}
{'descr': '地图标错一个路口比较害人，走着好热啊，不过还是比较安静，走廊地毯很软。', 'star': 5}
{'descr': '酒店很干净，周围很安静，性价比很高，早晨有待提高。。', 'star': 5}
{'descr': '酒店位置好 服务周到 早餐也不错  值得推荐！', 'star': 5}
{'descr': '酒店各方面还算不错，就是早餐太素了！东西向的房间采光不是很好', 'star': 5}
{'descr': '环境挺好的，房间也挺干净，在廊坊算不错的快捷酒店：）', 'star': 5}
{'descr': '房间里采光通风都很好，打扫也很干净，设施也不错，整体感觉挺舒适。', 'star': 5}
{'descr': '酒店挺不错，干净整洁，设施齐全，服务周到，值得推荐。', 'star': 5}
{'descr': '房间很干净，很好，装修不错，很有档次，下次还会入住，停车也很方便', 'star': 5}
{'descr': '酒店住的很舒适，卫生很到位，服务也周到，设施也完善，值得推荐。', 'star': 5}
{'descr': '很新..很干净..周边吃饭多............................', 'star': 5}
{'descr': '前台服务人员态度挺好，房间挺干净，隔音也不错，早餐口味也很好。', 'star': 5}
{'descr': '酒店的卫生很好，房间每天及时打扫，让人感觉很干净很舒适。', 'star': 5}
{'descr': '房间很干净，设施也齐全，网速也不错，隔音也很好，住的很舒适。', 'star': 5}
{'descr': '就在鲈乡南路上，从清华奥林公交枢纽站打车过去起步价，也有不少公交线路经过。酒店到吴江的步行街也就两站路。酒店房间比较大，有液晶电视，卫生条件也相当不错，虽然靠在主干道上，但是晚上还是非常安静的。', 'star': 5}
{'descr': '酒店开业没有多久 环境很不错 设施都很新 房间里还是液晶电视 床也很舒服 早饭的品种也很多 总之非常不错 下次还会入住。', 'star': 5}
{'descr': '环境还行，就是房间有点小；只有早餐，服务不错，比如家要好，至少有吹风机', 'star': 5}
{'descr': '对面有大型的购物广场，家乐福超市、还有美食城，购物和饮食比较方便，但是出租车太少了，基本上很少能看见，交通不方便', 'star': 1}
