{'短评内容': '房间又潮又吵，洗手间又脏又臭。没服务意识', '短评打分': 1}
{'短评内容': '非常一般，是私人旅馆不是酒店，设施非常陈旧，服务一般，房间狭小。套用别人的一句话：有电视，五个台，还黑白的。关键是还388/天。', '短评打分': 1}
{'短评内容': '＋挺好的，离十里画廊很近。离西街步行10分钟。国庆价格的确高。', '短评打分': 3}
{'短评内容': 'B楼不靠街，比较安静。卫生条件尚算可以。可以向服务员要求加被子。', '短评打分': 5}
{'短评内容': '客房比较小，隔音也不怎么好，晚上有客人回来比较晚在房间里面都能听到。', '短评打分': 5}
{'短评内容': '酒店一般，设施有些陈旧了，卫生还好，价格有些偏高。', '短评打分': 3}
{'短评内容': '位置还不错，离江边挺近的，游玩挺方便。', '短评打分': 3}
{'短评内容': '私人开的酒店，位置还好，其他一般。', '短评打分': 3}
{'短评内容': '房间很干净，卫生间简洁宽敞。李老板会提醒每位客人逛街时应注意的事项，比如钱包、预订线路，购物等等，非常周到。坐上回桂林的大巴后才发现有件小物品落在了房间里，电话联系李老板说明情况后，他托人将物品带到了桂林，非常感谢！拿到一看，物品上不止一处用不干胶写着我的电话号码，真是非常仔细！赞！', '短评打分': 5}
{'短评内容': '总体感觉还不错，老板很热情，让人有宾至如家的感觉，离西街也不远。', '短评打分': 5}
{'短评内容': '房间很简单，不值这个价', '短评打分': 5}
{'短评内容': '总体感觉一般。下次会考虑再次入住。供大家参考', '短评打分': 1}
{'短评内容': '已入住酒店', '短评打分': 5}
{'短评内容': '虽然离西街远了一点，但骑自行车到大榕树很方便，阳朔真的很美。', '短评打分': 5}
