{'短评内容': '酒店位置不错，容易找！我订的是没早餐的，所以不太清楚早餐怎么样！住酒店重要的是干净卫生，这点还是不错的', '短评打分': 4}
{'短评内容': '环境不错啊', '短评打分': 5}
{'短评内容': '价廉物美，不错。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还可以！服务态度好', '短评打分': 5}
{'短评内容': '设施比较旧', '短评打分': 3}
{'短评内容': '还真是可以的店有吃有住', '短评打分': 5}
{'短评内容': '环境不错，设备齐全，不过矿泉水和茶叶不知道是不是免费', '短评打分': 5}
{'短评内容': '干净舒适，适合出差！', '短评打分': 4}
{'短评内容': '整体还不错！干净整洁，周边配套齐全！', '短评打分': 4}
{'短评内容': '酒店虽然不算很新但是房间整体还算整洁舒适，相对周边性价比还是不错，商务出差还行，出酒店周边5分钟就可以到华润超市。', '短评打分': 4}
{'短评内容': '市中心，酒店环境好，卫生', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错，价格优惠，空间比较大，比较喜欢！', '短评打分': 3}
{'短评内容': '酒店干净舒适，房间够大，床垫软又大，卫生做得细致，非常干净，空气流通，窗户可以常开，房间配套生活用品齐全', '短评打分': 3}
{'短评内容': '环境不错，就在龙母大街上，吃喝比较方便', '短评打分': 3}
