{'短评内容': '一般一般 便宜是硬道理！', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间不大，一个人可以住，交通方便，离机场大巴和火车站都近，就是桌子有些小，毕竟非常便宜！', '短评打分': 5}
{'短评内容': '挺好的，位置好，', '短评打分': 3}
{'短评内容': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', '短评打分': 5}
{'短评内容': '不错，出入方便，交通方便，内饰也不错，就是太吵了，隔音不好', '短评打分': 5}
{'短评内容': '离地铁口不远，房间挺多，性价比高', '短评打分': 4}
{'短评内容': '不错，很方便，周围吃的也很多', '短评打分': 5}
{'短评内容': '不错，手续简单，入住挺方便的', '短评打分': 5}
{'短评内容': '嗯', '短评打分': 5}
{'短评内容': '不错挺好的，方便，服务好，离火车站也近。', '短评打分': 5}
{'短评内容': '隔音一般吧', '短评打分': 5}
{'短评内容': '缺点是酒店比较破，房间不隔音，空调不暖，洗澡水不热，被子枕头有点脏，服务员态度也一般，打扫卫生的大妈服务还挺好。优点是靠近钟楼，价格便宜。', '短评打分': 3}
{'短评内容': '第一次体验布丁酒店，整体还算不错。对于出差工作的过客毕竟价格是比较关心的问题，所有还是非常合适的。如果房间布局能再大一点就更好了。位置相当不错，靠近火车站，机场大巴，地铁。出行很方便，附近就有公交卡办理点。附近的购物场所也比较多。', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '酒店挺好的，周边环境安静。挺好', '短评打分': 5}
{'短评内容': '床太小了，房间太小', '短评打分': 3}
{'短评内容': '服务态度很好', '短评打分': 4}
{'短评内容': '不错啊   就是有油漆味', '短评打分': 5}
{'短评内容': '小是小点，也挺好的，住着干净方便，挺温馨的，交通相当便利', '短评打分': 5}
{'短评内容': '周围环境还可以，宾馆内卫生不怎么好，洗澡的下水好慢容易溢出来到外面', '短评打分': 4}
{'短评内容': '整体很好', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '独自去西安住的布丁酒店，第一次住这么有趣的酒店。墙面上，房间墙壁上都有卡通画画，顿时觉得自己小了好多，心情随之愉悦，以后有机会再选择布丁。', '短评打分': 5}
