{'短评内容': '酒店还不错，旅游城市嘛，价位不高，位置好，吃住行都方便。WiFi信号好。是自费且低调人士居住！', '短评打分': 4}
{'短评内容': '交通方便，服务很好，', '短评打分': 4}
{'短评内容': '还可以吧', '短评打分': 4}
{'短评内容': '大东海旅游区附近，干净卫生', '短评打分': 5}
{'短评内容': '干净卫生、下次再来', '短评打分': 5}
{'短评内容': '干净卫生、交通方便，离大东海景区很近，每年来三亚都住这里', '短评打分': 5}
{'短评内容': '住的很开心，信赖京东，价格实惠！发货快，价格好，包装好，年年参加618，信赖京东！！以后会经常购买', '短评打分': 5}
{'短评内容': '房间面积有些小', '短评打分': 3}
{'短评内容': '品牌的东西就是不一样 价格合理 送货快', '短评打分': 5}
{'短评内容': '方便找寻，价位合理，方便找寻，价位合理，方便找寻，价位合理，方便找寻，价位合理，方便找寻，价位合理，方便找寻，价位合理，方便找寻，价位合理，方便找寻，价位合理，', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '交通很方便，靠路侧有些吵', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '环境不错，而且价格也便宜，住起来很舒心', '短评打分': 5}
{'短评内容': '周边有家张猫猫的清补凉比较好吃。交通方便。', '短评打分': 4}
{'短评内容': '设施在好一些就好了。', '短评打分': 4}
{'短评内容': '在大东海附近。周围有夏日百货。交通很方便。', '短评打分': 4}
{'短评内容': '交通非常方便，门口就有去各个旅游点的公交车，吃的也方便，门口的百姓园东北饺子馆很好。', '短评打分': 5}
{'短评内容': '不错的，位置好，环境不错，服务也挺好的', '短评打分': 5}
