{'短评内容': '酒店整体不错，只是晚上门缝仍然有塞小广告的', '短评打分': 5}
{'短评内容': '酒店卫生好，服务员态度和蔼，有歺厅用歺方便，酒店设施齐全，周边购物、吃饭、交通都方便，选择这家店是对的。', '短评打分': 5}
{'短评内容': '交通方便，卫生。', '短评打分': 4}
{'短评内容': '服务态度好、房间卫生好、满意', '短评打分': 5}
{'短评内容': '一如既往的好，会继续关注。', '短评打分': 5}
{'短评内容': '老住户了，一切都好。', '短评打分': 5}
{'短评内容': '锦江之星还是不错的，因为是会员，退房可延至下午2点，最方便是有免费停车位，要求住高层又得到了满足，为今次自驾游增添了不少好心情！', '短评打分': 5}
{'短评内容': '没有住，也退不了款', '短评打分': 1}
{'短评内容': '很好，非常迅速', '短评打分': 5}
{'短评内容': '房间不错，锦江之星名符其实与家的感觉一样，位置很好有免费停车位，自驾游首选!', '短评打分': 5}
{'短评内容': '交通方便，设施齐全，房间空间大，只是窗子只开一丁点，空气不太好！', '短评打分': 5}
{'短评内容': '商务c靠近马路，房间很吵。', '短评打分': 5}
{'短评内容': '挺好的，下次出差还住这里。', '短评打分': 4}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '房间不错', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '除了周边环境一般，其余都好', '短评打分': 4}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '已经是第二次入住了，酒店环境比较好，地理位置也很有优势，感觉不错，下次还会关顾的。', '短评打分': 5}
{'短评内容': '环境不错，很好', '短评打分': 5}
{'短评内容': '不错的服务！前台很nice的，环境也还安静吧', '短评打分': 3}
{'短评内容': '总的来说不错。但对前台服务员的培训有待提高，服务员态度很好，但是服务方法不正确。', '短评打分': 4}
{'短评内容': '马马虎虎.就是近........', '短评打分': 3}
{'短评内容': '环境不错，价格公道，就是位置稍微远了点儿，', '短评打分': 5}
{'短评内容': '房间很大，酒店不错', '短评打分': 5}
{'短评内容': '锦江之星（桂林七星路店）环境干净整洁，交通比较便利，停车方便', '短评打分': 5}
{'短评内容': '酒店房间干净，前台接待员态度好，我的钱包不小心落在前台，他们主动打电话交回，很让人感动！ 以后选酒店还会选锦江之星连锁酒店', '短评打分': 5}
{'短评内容': '很舒服，很干净，确实很方便。', '短评打分': 5}
{'短评内容': '去桂林住在这里,从阳朔回来后还是住在这里，很好，性价比高。', '短评打分': 5}
{'短评内容': '连锁酒店的品质,很不错.价格也实惠.桂林火车站要个车11元钱就到了,交通也是方便的.', '短评打分': 5}
{'短评内容': '地理位置差了点，不过桂林本来就不到，十几块打车到处都可以去了。第一次入住锦江，映像不错，反正感觉比其他那些连锁的好， 当然价格也稍微贵一些', '短评打分': 5}
{'短评内容': '4月28日入住，酒店客房宽敞、环境整洁，用具齐全卫生，服务好，管理到位，公务旅行和家庭出游是较为理想的选择。', '短评打分': 5}
{'短评内容': '酒店大堂虽小，也不够豪华，但客房宽敞、环境整洁，用具齐全卫生，服务好，管理到位，公务旅行和家庭出游是较为理想的选择。', '短评打分': 5}
{'短评内容': '很满意啦，干净整洁！', '短评打分': 3}
{'短评内容': '酒店很好，隔音有待改进，离中山路比我想的远。', '短评打分': 5}
{'短评内容': '住起来很温馨', '短评打分': 3}
{'短评内容': '感觉不错，有免费的接机服务，服务人员热情。', '短评打分': 5}
{'短评内容': '位置略偏，比较安静，服务上佳，硬件和其他锦江之星没什么区别，总体看还算不错。', '短评打分': 5}
{'短评内容': '比较干净，整洁，服务规范，比较适合外出的旅行者，', '短评打分': 5}
{'短评内容': '酒店没有无线网络但是有线网速度不错。有空调。整体条件很好。屋内家具状况良好。', '短评打分': 5}
{'短评内容': '环境卫生都不错，就是隔音不好，有点吵。', '短评打分': 3}
{'短评内容': '卧具才干净整洁，枕头非常舒适，是我选锦江的主要原因。\n七星路前台接待热情，简便。早餐很可口。', '短评打分': 5}
{'短评内容': '其实觉得是很实惠的酒店，干净整洁，不错，就是离市中心有段距离。', '短评打分': 5}
{'短评内容': '洒店干淨', '短评打分': 3}
{'短评内容': '，房间很干净很好', '短评打分': 3}
{'短评内容': '这个店离市区有点远，不过桂林不怎么大我们来的第一天就学会了做公交到那里几十分钟就到了，很方便，标间很大很安静，酒店的会员价是161', '短评打分': 5}
{'短评内容': '位于石油六公司附近，离漓江有段距离，但对于生长在北京的我已经很近了，相对安静，周边交通方便，走一站地有椿记烧鹅，味道不错。是桂林唯一一家锦江卫生条件佳', '短评打分': 5}
{'短评内容': '位置不错，挺安静的，房间也还可以，下次还继续住，值得推荐。', '短评打分': 5}
{'短评内容': '预定到店后很快查到订单 豪华商务大床房房间卫生、整洁，服务人员热情周到 \n就是停车位太少', '短评打分': 5}
{'短评内容': '房间挺大的 简洁舒服 离市中心稍有点远  但我比较喜欢因为很宁静 旁边油价金月亮米粉 超好吃又便宜', '短评打分': 5}
{'短评内容': '其实嘛很不错的啦~~\n服务生都很用心的说~', '短评打分': 5}
{'短评内容': '刚才点评错了，以为是阳朔的酒店。锦江之星还是我最喜欢的选择。干净清爽，下次还是会去住的。', '短评打分': 5}
{'短评内容': '位置很好，离西街很近。非常方便出行，周围有有很多店铺', '短评打分': 5}
{'短评内容': '环境还行，主要是比较清静，服务也还可以。', '短评打分': 3}
{'短评内容': '服务比较好，房间也很干净，餐厅可提供的种类比较少，有免费机场接，下次还选择住。。。', '短评打分': 5}
{'短评内容': '环境不错，就是离开市中心远了点，出行还算方便', '短评打分': 5}
{'短评内容': '交通便利，环境很棒，旁边就有超市和吃饭的地方，值得推荐', '短评打分': 5}
{'短评内容': '简约 干净', '短评打分': 3}
{'短评内容': '很好的酒店，设备齐全，干净利落。要是电视能换成液晶的就好了。此外，整个酒店房间提供的东西太少，可适当增加些实用的东西，哪怕是收费的也可以', '短评打分': 5}
{'短评内容': '像全国所有的锦江之星一样干净，整洁，休息的很好！', '短评打分': 5}
{'短评内容': '多次入住了，总体来说不错。前台人员显然是个新手，把房卡做重了，还好，没出大事。餐厅人手不够，服务显得慢，可能是过节的原因吧！', '短评打分': 5}
{'短评内容': '除了停车位比较紧张外, 其它性价比高, 房间很大, 舒服.', '短评打分': 5}
{'短评内容': '来桂林选酒店的第一选择！\n干净、安静、舒适！', '短评打分': 5}
{'短评内容': '很好\n比七天要安静很多\n如果价格再降一点就更好了', '短评打分': 5}
{'短评内容': '又一次来到桂林锦江，酒店做了一些装饰，挺漂亮的。加上大堂的圣诞音乐，很温馨。不知道下次来到这里又会有些什么样的变化呢？', '短评打分': 5}
{'短评内容': '_OVER', '短评打分': 3}
{'短评内容': '服务员都很热情，房间很干净，看起来很舒服，前台的圣诞娃娃也很可爱，好想抱抱，不过不好意思。在餐厅吃的排骨饭也挺好吃的，经济实惠。就是房间里洗手的香皂没有，需要问前台要，好像是在申购中吧！总的来说是挺不错的一家酒店。', '短评打分': 5}
{'短评内容': '地板太滑，拖鞋太薄，一不小心很容易滑到，拖鞋可以改进一下啊。', '短评打分': 5}
{'短评内容': '前台服务人员少，结账时有时要等好长时间，但态度挺好。', '短评打分': 5}
{'短评内容': '配一次性纸杯挺好，不配小肥皂或洗手液那是相当不好。', '短评打分': 5}
{'短评内容': '比火车站的如家要好些，房间的隔音不太好，经常给吵醒。', '短评打分': 5}
{'短评内容': '电话费能不能便宜点？许多酒店的长话及市话都免费打，但该酒店要7毛多，太贵了，要为民生着想，省一点是一点。', '短评打分': 5}
{'短评内容': '近期住宿得比较多，总体很好，说实在，在这个价位除了锦江之星，没有很多的选择，但电梯坏得很频繁。', '短评打分': 5}
{'短评内容': '管理精细，规范，但过头了，居然不配小香皂，也不配洗手液，得用洗发精。', '短评打分': 5}
{'短评内容': '还不错。。。房间也很宽敞。。。就是酒店的房间少了点，我们退了房再去入住时就满咯。。。。', '短评打分': 5}
{'短评内容': '酒店不错，很温馨，房间干净舒适，特别喜欢酒店的餐厅，清新雅致，桌上的小菊花散发淡淡的清香，长长的吊灯发出柔和的灯光，最喜欢的是那临街的落地玻璃窗，外面的街景一览无遗，在那听着轻音乐等朋友的到来，真是一种享受，下次与朋友相约一定再来这家酒店。', '短评打分': 5}
{'短评内容': '管理规范，卫生也好，但早餐品种偏少，价格也不便宜，拖鞋能不能配厚一点的。', '短评打分': 5}
