{'短评内容': '整体不怎么样，好处就是交通便利', '短评打分': 2}
{'短评内容': '有老鼠', '短评打分': 1}
{'短评内容': '有老鼠', '短评打分': 1}
{'短评内容': '不错，挺好的', '短评打分': 4}
{'短评内容': '价格便宜，有停车场停车安全！', '短评打分': 4}
{'短评内容': '环境不错安静，卫生。离火车站不算远走路15分钟左右就到。', '短评打分': 5}
{'短评内容': '总体还可以！就是房间装修有点旧，实惠，便宜。离火车站近！', '短评打分': 5}
{'短评内容': '酒店条件还算可以，这个价位算是不错了，但最让人忍受不了的是结帐后索要发票，工作人员竟然让客人等了两个小时，最终还是没有开出发票来，说什么联不上网，这种托词有人会相信吗？早上九点多就下去结了帐，并告知工作人员说要发票，出去吃了个早点，十点多回来取发票，工作人员不理不睬的说发票还没打出来，让等一下，过了一会说网络坏了，正在修，还让继续等，许久后又说网联不上，发票最终还是没有开，工作人员承诺让留下地址将', '短评打分': 1}
{'短评内容': '住的倒是不错，就是前台男服务员态度太差了！！我刚去的时候，上午到的，他跟我说没房了，我是我是在网上预订的，他说没看到有这个订单！然后我给京东打电话，京东客服叫我把电话给那个服务员接，但他态度很嚣张的说了句，你让他们客服找销售部去，找我没用！！后来京东客服联系过后，前台又跟我说等会才会有房', '短评打分': 2}
{'短评内容': '  跟我上次住的那个房间不一样  这次的一般  毛巾有点儿旧   床上还不是跟干净', '短评打分': 3}
{'短评内容': '住的特价房，没有热水洗澡，洗手间还有堵水情况，隔音不好', '短评打分': 5}
{'短评内容': '舒适安静、干净，服务也不错！', '短评打分': 3}
{'短评内容': '房间内环境可以、选的位置靠里、面积较小、之前看是商务房、结果面积那么小、不过环境、服务、位置各方面都对得起房价、以后还会入住', '短评打分': 5}
{'短评内容': '不错  挺好的  离钟楼 鼓楼不远  在火车站前边一点点', '短评打分': 5}
{'短评内容': '到西安后入住约客感觉很方便.', '短评打分': 3}
{'短评内容': '什么都不错，就是没有热水，不能洗澡。卫生间没有门', '短评打分': 1}
{'短评内容': '可以就是服务员素质太低了，硬件还可以！晚上声音也小，适合出行的人！', '短评打分': 5}
{'短评内容': '床宽，干净，价格合理，满意。', '短评打分': 3}
{'短评内容': '房间很好～', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '卫生间里的洗浴设施感觉不是很清洁。暖气制热效果差。打电话到前台，要不没人接。要不接了连最基本的卫生纸 烟 方便面都没有。。一大家酒店没有餐巾纸出售。。窗户上全是灰尘。即便价格算便宜，但最基本的也该做到才能称得上是家酒店吧。，', '短评打分': 1}
{'短评内容': '感觉不错，以前就住过~~~~~~~~~~~~~~~~~~~~~~~~~~~~·', '短评打分': 5}
{'短评内容': '适合出差 房间比较大 网路有点慢 含单早 不怎么科学', '短评打分': 5}
{'短评内容': '很不错的酒店 交通还可以 就是周围修路 卫生间酒店小', '短评打分': 5}
{'短评内容': '卫生间有点跑水 离回民街挺近的 总体来说还不错', '短评打分': 5}
{'短评内容': '挺好的 在西安这个价格住的最好的酒店。。。。', '短评打分': 5}
{'短评内容': '价格一般，周围在修路，所以环境稍微差一点。', '短评打分': 5}
{'短评内容': '一般吧，大厅有电脑，没用上优惠券，价格相对较高，性价比不好', '短评打分': 5}
{'短评内容': '地理位置不错，交通便利，大差市站西150米，房间环境很好，前台服务很好，还能免费寄存行李。', '短评打分': 3}
{'短评内容': '订房间快捷，而且保证有房，前台服务态度很好，房间干净整洁，特别是长条桌很好，很舒服，还可以免费保存行李。', '短评打分': 3}
{'短评内容': '+客房里环境不错，前台服务很好，位置也不错。', '短评打分': 5}
{'短评内容': '+酒店很安静去钟楼附近很方便', '短评打分': 5}
{'短评内容': '卫生条件不太好，位置还可以，价格有点偏贵', '短评打分': 1}
{'短评内容': '性价比非常高的酒店   不错', '短评打分': 5}
{'短评内容': '价格上来说，貌似有点小贵。不过节假日去不涨价的情况下还好。\r\n卫生，环境和地理位置来说都是不错。\r\n但房间很不隔音，可以说非常不隔音。', '短评打分': 1}
{'短评内容': '还成，价格比较便宜~', '短评打分': 5}
{'短评内容': '房间有怪味。', '短评打分': 1}
{'短评内容': '羊屎蛋蛋外面光，内部设施简陋，墙皮掉渣！！！不隔音，房间系老式办公用房改造，差！建议投资人重新装修该酒店！！！', '短评打分': 1}
{'短评内容': '小而实用', '短评打分': 5}
{'短评内容': '酒店人员的服务非常不错，硬件条件，环境也都不错，而且他这个位置交通也比较便利的，价格也适中，我觉得挺不错的。', '短评打分': 5}
{'短评内容': '酒店的环境和地理位置都很好，价格合理，设施条件也比较整洁', '短评打分': 5}
{'短评内容': '酒店的位置还是不错的，步行十几分钟酒就到商业街了，周边交通也还可以了，房间里的卫生弄的也挺干净的，设施方面还可以了，价格也比较合适的。', '短评打分': 5}
{'短评内容': '酒店因为是新开业的，所以硬件设施和软件设施方面都还是蛮不错的，价格当时也不贵，还是挺满意的。', '短评打分': 5}
{'短评内容': '酒店的房间设计很适合情侣居住的,整体的环境卫生都是不错的,酒店的位置非常好', '短评打分': 5}
