{'短评内容': '整体来说还可以', '短评打分': 5}
{'短评内容': '早餐能吃饱，房间设施太差，服务员态度不好', '短评打分': 2}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '条件一般', '短评打分': 3}
{'短评内容': '各种条件一般', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '正好在周边喝酒住在那里，说实话，价格比如家，莫泰高，但是酒店实在太一般了。', '短评打分': 3}
{'短评内容': '经济，卫生，总体来说还不错的！', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 4}
{'短评内容': '越来越贵，用携程还不包含早餐，宾馆不太正规，规矩他们说的算。管理太差，原来办会员卡说积分可以兑换东西，谁知道我们入住很久，积分很多，居然无耻说积分不行之类的，说积分只能会员卡本人入住才算积分，别人不行，积分无效，我的天啊，不管谁入主，是不是我花的钱。所以说，信誉度极差，管理真的有待改善。', '短评打分': 4}
