{'descr': '房间还行，隔音太差，半夜有其他客人入住，吵醒了。', 'star': 3}
{'descr': '位置不错，环境也挺好，网速很快，房间很暖和。', 'star': 5}
{'descr': '一般吧。直接到店入住比较合适，有98元特价房。卫生还可以。不过照如家神马的连锁就差点了。', 'star': 1}
{'descr': '房间有点小，', 'star': 3}
{'descr': '感觉超级好，就是去晚了，走的太早了，有些遗憾，以后有机会还去。', 'star': 5}
{'descr': '房间有些味道，晚上会有人发放一些不雅宣传单', 'star': 1}
{'descr': '很不错 住的特价大床房 以为没有窗 很幸运住到了有窗的房间 这个价格在上海真的真的很便宜 而且交通挺方便的 门口就是公交车站 到地铁也就5分钟走路左右 不错', 'star': 5}
{'descr': '酒店环境还可以！卫生一般！墙壁的隔音不是很好！', 'star': 5}
{'descr': '房间有股烟味，墙外就有一个在建工地，噼噼啪啪的响个不停关着窗户都能听到外面的声音，很难入眠', 'star': 1}
{'descr': '其他都还好吧，就两点问题：1、窗外就是施工工地，真的太吵了；2、网络每十分钟就掉一线，服务员上来解释说交换机出了故障，当天没有修好...；3、从门缝塞进来的小卡片的问题，酒店应该重视下。', 'star': 1}
{'descr': ' 干净舒适 设施齐备 很方便 唯一欠缺的是环境有点吵', 'star': 3}
{'descr': '总体感觉还行，卫生、环境、服务质量属于这个档次。', 'star': 5}
{'descr': '酒店不错，交通很方便，也挺干净', 'star': 3}
{'descr': '房間有一股怪味,大概是厠所發出的,給人感覺就不是很乾淨.', 'star': 1}
{'descr': '方便就是一切', 'star': 3}
{'descr': '还不错吧，比较实惠。就是无窗，就是为什么要我写20个字啊，麻烦。', 'star': 5}
{'descr': '已入住', 'star': 3}
{'descr': '旁边就是工地，早晨工地的施工声音把我吵醒就再也睡不着了，很烦躁', 'star': 1}
{'descr': '房间隔音太差，总是有不良卡片塞进门缝，早上窗外很吵，被吵醒就睡不着了', 'star': 1}
{'descr': ' 洒店服务好房间舒适清洁', 'star': 3}
{'descr': '内容', 'star': 3}
{'descr': '不错房间挺开净', 'star': 3}
{'descr': '性价比不错，总体来说比较干净舒适，虽然房间比较小，但是这个价位在上海的确不贵，而且离五角场商业圈近，吃饭购物都方便。', 'star': 3}
{'descr': '卫生环境很不好，墙上有点脏，也许是特价房就这待遇？', 'star': 3}
{'descr': '设施不错，环境也不错', 'star': 3}
{'descr': '非常不错  环境好 服务态度也可以 就是价格再便宜一点就好了！！', 'star': 5}
{'descr': '没有原来说好的房间了，到了之后让你往别的高的房间去住', 'star': 1}
{'descr': '居然无窗~也没标注下~前台某人服务态度很差~~~走到地铁站也要十分多钟~~~坐公车还算方便~客房服务更换用品时间比较适宜', 'star': 1}
{'descr': '价格还比较划算，但是环境一般，房间比较小，还算是干净。', 'star': 5}
{'descr': '很好。', 'star': 3}
{'descr': '价格很实惠 房间也挺好 住的特价大床房 虽然没有窗但是很安静 唯一恼火的就是老是有人从门缝里丢广告卡片', 'star': 5}
{'descr': '一般般，但离我办事的地方特别的近，所以就选择了！', 'star': 5}
{'descr': ' 还不错 ', 'star': 3}
{'descr': '酒店太靠近高架桥，噪音比较明显，房间布局太紧促，卫生间占整个房间的1/3，床大，所以可以活动的空间就很小。', 'star': 1}
{'descr': '128元的会员价确实挺超值的，客房也挺干净的，只是前台工作人员不是很热情', 'star': 5}
{'descr': '还不错，服务态度很好，房间条件也不错，以后还可以作为选择。', 'star': 5}
{'descr': '还行，空调噪音较大。', 'star': 3}
{'descr': '酒店离高架比较近，有些房间比较吵。前后换了5间房间，才找到个比较满意的，不过服务员的态度不是一般的好，这个赞;另外，我在办入住手续的时候，好像是有位酒店的阿姨打扫房间，发现客人留下的手机，就交到了前台，这个赞；不赞的是，晚上有人发名片大小的小广告，内容我就不说了，你们懂的，设想一下，坐在房间好好的，门突然一响，很烦，一晚上几次塞小广告的；交通呢，门口就是车站，但是不管是三号线大柏树站还是江滩镇站都', 'star': 5}
{'descr': '可以可以可以可以可以可以可以可以可以可以可以可以', 'star': 5}
{'descr': '格林豪泰上海大柏树店前台服务一般客小', 'star': 3}
{'descr': '还可以…卫生有待改进', 'star': 3}
{'descr': '其实都还可以，唯一的缺点就是附近太没人气，想吃个东西也要走很远。', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '位置有点偏，房间还是蛮温馨的，早餐太差了。有待改进！', 'star': 1}
