{'descr': '价格公道，很不错', 'star': 5}
{'descr': '好，很好，非常好', 'star': 5}
{'descr': '还不错', 'star': 5}
{'descr': '很好，满意', 'star': 5}
{'descr': '挺好', 'star': 5}
{'descr': '壁纸需要换新的了，服务员态度热情加分^_^', 'star': 4}
{'descr': '今晚上就这个', 'star': 1}
{'descr': '服务太差，黑店，建议大家不要入住', 'star': 1}
{'descr': '酒店前台服务很热情，房间进去很暖和，卫生干净，以后还会选择这家酒店', 'star': 0}
{'descr': '有点味，不过还行吧。明亮', 'star': 3}
{'descr': '窗户很高像是住进了地下室！', 'star': 3}
{'descr': '房间还可以，没有无线网，生活用品太次，价格一般', 'star': 3}
{'descr': '很糟糕的一家店，看外边的牌子挺大的，结果完全不一样，酒店里的人员很杂，管理业很混乱，抽着一支烟的前台让人看了很不舒服，最糟糕的是房间里很大的霉味，传单和被褥也不干净，房间灯光昏暗，卫生间洗澡地漏糟糕……三个字，脏乱差很适合这家店', 'star': 3}
{'descr': '没有住，下次再出差到附近再订', 'star': 3}
{'descr': '价格和服务成正比，还是不错的！', 'star': 4}
{'descr': '主要是离家近，老家来人订过一次，不会再去第二次了，卫生太差了。', 'star': 1}
{'descr': '距离新发地长途客运站走路15分钟，相对车站旁边的其他宾馆来说是鹤立鸡群，个人感觉是唯一比较靠谱的酒店。但酒店房间没有空调遥控器，每次打开需要叫服务员，很麻烦，建议改善。服务员的态度很好，值得入住。', 'star': 5}
