{'短评内容': '房间很好，设施不错，交通便利', '短评打分': 5}
{'短评内容': '房间不错，交通也方便', '短评打分': 5}
{'短评内容': '不提供早餐，不能加床，可以带孩子，酒店位置在市区，交通方便，没有停车场', '短评打分': 5}
{'短评内容': '房间太小桌子都没有', '短评打分': 5}
{'短评内容': '性价比很高的一家酒店，价格很实惠，面积也比较大，就是wifi不好', '短评打分': 5}
{'短评内容': '长假出行的好去处', '短评打分': 5}
{'短评内容': '卫生不好，服务态度差，前台那语气简直了，马桶还坏了！！！', '短评打分': 1}
{'短评内容': '房间宽敞干净整洁！', '短评打分': 4}
{'短评内容': '每次出差必选，便宜实惠，条件也不差，干净还算卫生', '短评打分': 5}
{'短评内容': '出差常用，很方便的酒店，温馨舒服', '短评打分': 5}
{'短评内容': '网络太不好用', '短评打分': 5}
{'短评内容': '无线连接太麻烦了，我是没连上。不过房间很大。', '短评打分': 5}
{'短评内容': '办理入住手续效率低，酒店方只安排前台一个工作人员接待，且还是生手，周六周末本来客人就多，导致客人和前台人员都有怨言，希望酒店方改进。酒店方位置较偏，建议有乘车指南，方便引导客人出行。', '短评打分': 3}
{'短评内容': '不错不错值得推荐。。', '短评打分': 3}
{'短评内容': '很好，环境也不错。', '短评打分': 5}
{'短评内容': '当时不知道，位置偏了点，房间干净整洁，热水充足，前台服务人员态度好', '短评打分': 5}
{'短评内容': '不错，真的很不错。今天比7天要好。', '短评打分': 3}
{'短评内容': '酒店很好。', '短评打分': 3}
{'短评内容': '酒店不错', '短评打分': 3}
{'短评内容': ' 房间挺干净，挺宽敞。', '短评打分': 3}
{'短评内容': '酒店好过七天', '短评打分': 3}
{'短评内容': '房间很大，很清新。卫生也不错，大床很大，舒服。吃饭的地方也不少，住的心境开朗。交通也方便。总体说性价比很不错。', '短评打分': 5}
{'短评内容': '还可以吧，希望能更干净一点，这样才有竞争力。。。。。。。。。。。。。。。。', '短评打分': 5}
