{'短评内容': '有早餐 有停车场  很方便  在古城区 景色不错', '短评打分': 5}
{'短评内容': '一般一般一般，不如住客栈', '短评打分': 4}
{'短评内容': '不想多说什么', '短评打分': 3}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店环境，外观很好，房间内部卫生，设施建设需进一步加强，早餐也需要进一步提升。位置很好，岀外游玩比较方便。', '短评打分': 3}
{'短评内容': '水小也没热水，', '短评打分': 3}
{'短评内容': '不是第一次住了，看网上评价这么低，本来还想为店家辩护一下，但这个服务啊！入住时要求二楼房间，和我说都是续住的，没有空房，入住后特意看了一下，房间都空着。实在理解不了，你们应该搞清楚，开门做生意，是要尽量满足客人要求，提供好服务的，这家店的服务再不改善，实在不推荐入住。当然店家如果觉得由旅行社生意就行，其他人爱住不住，那就随意吧', '短评打分': 3}
{'短评内容': '不是第一次住了，看网上评价这么低，本来还想为店家辩护一下，但这个服务啊！入住时要求二楼房间，和我说都是续住的，没有空房，入住后特意看了一下，房间都空着。实在理解不了，你们应该搞清楚，开门做生意，是要尽量满足客人要求，提供好服务的，这家店的服务再不改善，实在不推荐入住。当然店家如果觉得由旅行社生意就行，其他人爱住不住，那就随意吧', '短评打分': 3}
{'短评内容': '酒店坐落在古城内，位置还是比较好。但是设施这块很陈旧了。服务态度很好。也很客气。。。', '短评打分': 5}
{'短评内容': '酒店设施极差，房间破旧味道极重。另外特别提醒各位，酒店里的洗脚服务千万不能要，就是卖淫活动而且女人极老。', '短评打分': 3}
{'短评内容': '不会再住第二次了。1.无线网络用不了，一问说坏了好多天  2.房间有霉味，一楼的光线暗  3.早餐种类极少   4.服务差，入住等了很久，给的手撕发票不连号，强烈要求之后才找了连号的，且不提供收据，还说有发票就不给收据，要收据就不给发票。我住过几百家酒店第一次听说。 260的标间就是这水准，太失望了。', '短评打分': 2}
{'短评内容': '环境不错，服务态度也很好，下次还回来！', '短评打分': 3}
{'短评内容': '自己开车的话挺方便，有停车场。步行到洋人街也很近。酒店有点旧，管理也一般。热水充足。对得起这个价格。', '短评打分': 5}
