{'短评内容': '价格实惠，很好', '短评打分': 5}
{'短评内容': '房间整洁，188，稍贵一些，不过，有早餐，比较方便', '短评打分': 5}
{'短评内容': '很好！很安静！适合出差住，下次来还住这', '短评打分': 5}
{'短评内容': '位置服务态度都好', '短评打分': 4}
{'短评内容': '位置服务都好', '短评打分': 4}
{'短评内容': '服务好', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': '交通方便 位置绝佳 出差旅行 必备酒店', '短评打分': 4}
{'短评内容': '酒店服务好，设施可以，位置靠近高新区，交通方便，值得入住！', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': ' 设施老旧  不怎么样  价格不合理 房间不干净', '短评打分': 1}
{'短评内容': '性价比不高。酒店很旧。。厕所用品很旧。。。就是离托福考点比较近。', '短评打分': 1}
{'短评内容': '态度还行，而且连餐厅都是一个客房改的，房间条件确实差了点，而且酒店在一条繁华街边，晚上很吵。我第二天要考试，也没太多心情纠结。不过这个价格这样条件算了。性价比不是很高。', '短评打分': 1}
{'短评内容': '以经入住302房间。', '短评打分': 3}
{'短评内容': '床也很脏，门也是破的房间卫生设施都很差床底下根本就不能看，价格也很贵简直连一般的招待所都不如，很差。', '短评打分': 1}
{'短评内容': '设施比较老，最倒霉的是空调不制热，睡到天亮感觉喉咙痛，回到家就感冒发作了', '短评打分': 5}
{'短评内容': '房间很干净，整洁，布置也比较温馨。对面有餐厅，吃饭也方便。', '短评打分': 5}
{'短评内容': '饭店一般，价格还可以，服务不错！！！！！', '短评打分': 5}
{'短评内容': '我们订了一间双床套房，结果给了一间四床的，房间和设施简陋，简直与招待所一样，性价比极差。我们因急于办事，无暇另找酒店，只得将就一夜。不过，我们掉落的假牙（价值2000余元），经联系，很快为我们快递到家，这个必须表示感谢。', '短评打分': 3}
{'短评内容': '房间干净入住三晚', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '房间还行，位置还可以离我办事的地方倒是挺近的。价格还是有些高了，而且酒店其实感觉还是挺一般的和快捷酒店都差不多。', '短评打分': 1}
{'短评内容': '房间干净，有停车位，值得推荐', '短评打分': 3}
{'短评内容': '卫生做的还不错，服务也比较不错很热情，位置还是比较好找而且离我要去比较近去市区也很方便周围逛街购物也很方便，价格应该说还可以吧，唯一的一点感觉床睡的不舒服。', '短评打分': 5}
{'短评内容': '停车方便，早餐可以，服务较好。', '短评打分': 5}
