{'短评内容': '周边环境好，距离大海近', '短评打分': 5}
{'短评内容': '挺好的点赞', '短评打分': 5}
{'短评内容': '不提供早餐 门锁安全系数不高 房间里面有气味 空调也很陈旧 卫生条件差 第一次去都找不到前台很陈旧 不建议入住', '短评打分': 2}
{'短评内容': '距离机场很近很方便，无早餐，建议自备。环境还行，蛮干净的。有泳池，喜欢游泳的可以去游泳，泳池水还挺干净。', '短评打分': 5}
{'短评内容': '环境最好，美丽', '短评打分': 4}
{'短评内容': '首先说说酒店的房间，我住的是8楼的海景套房，我朋友住的是7楼的，房间很大的那种，有个很大的阳台可以看到大海，小区绿化得也好，拍了很多相片都特别漂亮。这次是觉得离机场比较近所以选择这家，因为是凌晨4点多的飞机，没想到房间性价比这么高，早知道就提前多订几天，不在大东海住那么久了。房间特别适合常住度假，因为有个厨房能做东西吃。服务也好，老板是海南人。特别耿直！房间价格经济。值得推荐！！', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '到三亚的第一站，到时已经凌晨了，就近入住。小店设施还好。关键是离机场近，还便宜。省下的钱足够再住一个晚上了', '短评打分': 5}
{'短评内容': '一个人的话，可以了', '短评打分': 4}
{'短评内容': '老板人很好，住的很安心，到西岛，亚龙湾，天涯海角都交通便利，门口就是清澈的三亚湾游泳很爽，周边小吃很多而且很便宜。总之就是赞，三亚的头两个晚上就这么度过！', '短评打分': 5}
{'短评内容': '服务一般，环境不错，设备老旧', '短评打分': 1}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '房间设施挺旧的！但是周边环境挺好，到海边很近！老板人很不错！', '短评打分': 4}
{'短评内容': '等飞机的，还不错，卫生，装修方面还行', '短评打分': 4}
{'短评内容': '那边的环境都挺好的，尤其是那边的工作人员很热情哦，下次还得去住那。', '短评打分': 5}
{'短评内容': '抱着蛮大希望来的 结果真的不怎么样 在机场附近 临街 汽车的声音和飞机轰鸣声特别大  根本睡不着啊 周围没有超市和餐厅 设施也很简陋 床特别的硬 加被子要收费 唯一的好处就是离海边近 在房间里能看见海~', '短评打分': 1}
{'短评内容': '美特友度假公寓环境不错，住的两室一厅，房间很大，就是买东西不太方便。离市区，第一市场要二三十分钟车程。', '短评打分': 3}
{'短评内容': '位置不错，房间很宽敝，做为渡假很不错了，非常适宜全家居住。', '短评打分': 3}
{'短评内容': '环境不错，交通也很方便，离机场很近，让人很有家的感觉。', '短评打分': 5}
{'短评内容': '不错。地方大，就是有小蚂蚁。', '短评打分': 3}
{'短评内容': '酒店环境好，有自己沙滩，不错，和适合情侣2人度假', '短评打分': 5}
{'短评内容': '酒店挺不错的,环境很好,希望下次去住时会有一次性的鞋子', '短评打分': 5}
{'短评内容': '位子远了一点，不过挺安静的，适合度假.旁边吃东西不是很方便，有个烧烤店还行', '短评打分': 5}
{'短评内容': '装修1般地方较大 ~~~~~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 1}
{'短评内容': '强烈推荐！环境好，干净，舒适，在房间内就可以看到大海，步行100米即可到达海边，还有游泳池，水也很干净，每天有人清洁泳池，总体感觉很好，下次如果再去三亚，还会定此酒店！由于地处三亚湾，在郊区，去大东海和大亚湾就比较远，离市区也比较远，不过打车也就20元左右，交通还算便捷。感觉附近吃饭不是很方便，要走大约1公里外，有小饭店和烧烤摊，价钱也还算合理。门口有三轮车摩的，收费一人1元，不过他们总是没完没了', '短评打分': 5}
{'短评内容': '很好 酒店把我的蜜月房租出去了 免费给我升级到两室一厅一厨一卫的套房  而且是正对大海的 哈哈 可惜遗憾的是没有宽带 公寓楼下有泳池 保安还可以 小区没什么住户 交通不是很便利 但可接受 ', '短评打分': 5}
{'短评内容': '很好 房间很宽敞 也很干净 但是我住的房间的卫生间门是坏的 还有那个床翻个身都有声音 不太好 早上的时候外面的车声音很大 ', '短评打分': 5}
{'短评内容': '就是一般的家庭公寓，离海很近。但附近找不到解决肚子的饭店。服务还算可以吧。', '短评打分': 1}
{'短评内容': '酒店环境不错，距离海边很近，价格比较适中。。。\n\n开始住在6楼的一个房间，里面很破，衣柜和地板都发霉了，住了两天后其他房间有位置，后来调到8楼，里面就好多了，还是不错的。。。\n\n建议入住前先确认好房间，可以看到房间的图片的，家庭旅馆每个房间都不一样，住到破和价格就不成比例了，就很贵了。。。', '短评打分': 5}
{'短评内容': '环境、交通都非常不错，下次还住~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '总体还不错··就是有点远了···环境很好', '短评打分': 5}
{'短评内容': '环境很不错，一家大少来是个很不错的地方，但是里面的设备强差人意，！\n不过总的来说，还是可以的！', '短评打分': 5}
{'短评内容': '离凤凰机场10多分钟路程。\n酒店服务，环境都不错。价位也合理。\n酒店有接机服务，早上8点到晚上8点。\n交通的话出门都有公交去市里和一些景点。还算方便。\n前台服务也挺热情。\n希望以后可以有一次性拖鞋。\n', '短评打分': 5}
{'短评内容': '风景是不错，没早餐，周围除了看海没别的，交通不方便，房间几乎没什么设施，比较简陋', '短评打分': 1}
