{'短评内容': '房间卫生特别不错，清洁也很及时，设施非常好，周边环境也很安静 ，酒店服务人员态度也非常不错，有贵宾的感觉，干净卫生，明亮宽敞，廊灯和房灯一应俱全，大床很宽1.8米的大床，松软舒适。非常不错', '短评打分': 5}
{'短评内容': '住宿非常好', '短评打分': 5}
{'短评内容': '挺好的卫生还行', '短评打分': 5}
{'短评内容': '脏乱差，传说中的战斗机，建议大家别住这家。特别是行李比较多的朋友，双层楼梯爬上去的，空调不能用，大床房是单人床拼起来的，中间不平，又硬，卫生间里面一股子骚味，估计是没有消毒和清洁，房间一股子霉味，！多的不说了，说多了都是泪，态度恶劣，爱住不住！', '短评打分': 2}
{'短评内容': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', '短评打分': 5}
{'短评内容': '及格水平  价位对应服务', '短评打分': 5}
{'短评内容': '价格便宜.服务好.卫生干净', '短评打分': 5}
{'短评内容': '价格便宜.卫生干净.服务好', '短评打分': 5}
{'短评内容': '房间卫生，卫生间干净，卫生间镜子一尘不染，感觉自己都帅了。有wifi,   客服人员热情，有什么问题都热心解答。可以洗澡，虽然卫生间不大。有热水，我这次水很烫，这点也非常好。一次性牙刷香皂梳子牙膏等。有空调。有电视。有座式电热水器。。不过我感觉隔音一般，能听见隔壁屋子孩子闹。', '短评打分': 5}
{'短评内容': '房间挺大的，卫生也可以，就是隔音效果差点，其于的都不错', '短评打分': 5}
{'短评内容': '周边环境挺好的，尤其是交通特别方便。', '短评打分': 4}
{'短评内容': '隔音很差，环境很吵', '短评打分': 1}
{'短评内容': '差', '短评打分': 3}
{'短评内容': '卫生干净', '短评打分': 5}
{'短评内容': '与网吧完美融合，仿佛置身于网吧。与大自然亲密接触，潮虫好久不见。', '短评打分': 2}
{'短评内容': '一般般 凑活吧 床不大舒服', '短评打分': 3}
{'短评内容': '环境挺干净的，洗澡热水充足，老板态度也好', '短评打分': 3}
{'短评内容': '因为想睡个好觉我得去温杯热牛奶    因为空腹不能喝牛奶我还得去吃份夜宵', '短评打分': 3}
{'短评内容': '房间干净，比较舒适，经济实惠', '短评打分': 3}
{'短评内容': '就是一家能上网的小旅馆，一无是处，脏，吵，小，差！！！', '短评打分': 3}
