{'短评内容': '房间很棒，这个价位真的超值！', '短评打分': 5}
{'短评内容': '五星四星等酒店住过无数，就没见过这么好的服务与房间', '短评打分': 5}
{'短评内容': '房间很干净宽敞，徽式风格，非常的典雅，在这一区域经济型酒店里面绝对是扛把子了吧。门口的招牌合肥市政府驻京办，吓不吓到你，所以就放心住吧，绝对的安全舒适。推荐！！！', '短评打分': 5}
{'短评内容': '酒店房间很大，还提供免费的酸奶和水果，矿泉水几乎无限供应。早餐可以送到房间，非常方便。离地铁也比较近，推荐！', '短评打分': 5}
{'短评内容': '正值雨季，刚到门口就有服务生阿姨帮助收伞提行李，感觉暖暖的！中式风格，有品质感.倒了三趟地铁挨浇直到入房间这刻值了！', '短评打分': 5}
{'短评内容': '不错就房源少了', '短评打分': 5}
{'短评内容': '在北京这地方性价比算不错的！住着也还不错！这是3年后的第二次入住！', '短评打分': 4}
{'短评内容': '酒店还可以，周边环境较差。', '短评打分': 4}
{'短评内容': '不错，古色古香', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '住的舒适度高', '短评打分': 4}
{'短评内容': '很中式的房间，周围吃的很多，购物也方便，卫生很棒～一如既往地好～', '短评打分': 5}
{'短评内容': '周边配套方便', '短评打分': 5}
{'短评内容': '酒店非常不错，古典中国风，房间很干净。别致，下次出行还会选择！', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
