{'短评内容': '服务挺好，可以免费停车，还有早餐供应', '短评打分': 5}
{'短评内容': '干净，温馨，实惠', '短评打分': 5}
{'短评内容': '总体上还是可以的', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '停车不是很方便，可能路面正在施工。被子挺厚的比较舒服。', '短评打分': 4}
{'短评内容': '环境很好，离市中心近，周围吃的玩的都多，非常方便！', '短评打分': 5}
{'短评内容': '一直入住', '短评打分': 4}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '还可以啊，没什么不好的，除了离马路近，其他没什么。', '短评打分': 5}
{'短评内容': '方便快捷方便快捷方便快捷方便快捷方便快捷', '短评打分': 5}
{'短评内容': '还行 经济实惠', '短评打分': 4}
{'短评内容': '房间送两瓶水，够喝了。但房间很温馨，干净。', '短评打分': 5}
{'短评内容': '物美价廉，很不错的选择。', '短评打分': 5}
{'短评内容': '订的特价房，由于房源紧张，最后由携程与如家沟通，还是给了最低价。赞', '短评打分': 5}
