{'短评内容': '一般 感觉四星级不值 电梯有种奇怪的颤抖 一个人晚上乘坐肯定很害怕 而且地铁也不通 说三人房但实际就是标间加了床垫', '短评打分': 3}
{'短评内容': '服务方式比较灵活，地理位置好', '短评打分': 5}
{'短评内容': '并没水果', '短评打分': 5}
{'短评内容': '停车场大，但是车也多，要找一找才好停。夏天带孩子可以一起玩水，这点很棒。前台服务员素质有高有低，差的很差，好的很好。', '短评打分': 5}
{'短评内容': '还好吧，不是特别理想', '短评打分': 4}
{'短评内容': '房间设施齐全', '短评打分': 5}
{'短评内容': '设施陈旧 环境嘈杂', '短评打分': 3}
{'短评内容': '环境嘈 设施陈旧杂性价比一般', '短评打分': 3}
{'短评内容': '酒店有点老了，不过还不错，房间大', '短评打分': 5}
{'短评内容': '还是可以的', '短评打分': 5}
{'短评内容': '不错，旧点，但方便', '短评打分': 4}
{'短评内容': '好评！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '好评！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '好评！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！', '短评打分': 5}
{'短评内容': '很不错的一家碧桂园老牌酒店，位置不算特别的好吧，离闹市还有几公里的路程！', '短评打分': 5}
{'短评内容': '整體不錯， 早餐豐富。 交通方便, 地點便利, 接近花卉世界, 適合商務出差。 希望能改進房間的清潔度', '短评打分': 4}
{'短评内容': '舒适！安静！温馨！', '短评打分': 5}
{'短评内容': '挺好，挺舒服的！免费升了级?', '短评打分': 5}
{'短评内容': '挺好，挺舒服的！免费升了级?', '短评打分': 5}
{'短评内容': '这个酒店位置有点偏，还赶上有个培训长期包房，所以房间较少，也比较吵，其他还可以', '短评打分': 5}
{'短评内容': '酒店房间不错，不过送的早餐就给15元，小了点，最小都要25元啦。房间有点小贵。', '短评打分': 5}
{'短评内容': '方便,舒适,干净,下次再住', '短评打分': 3}
{'短评内容': '价格贵了西，设备差了些，地方偏了些。广交会没办法。', '短评打分': 1}
{'短评内容': '周边环境不错··房间有点旧···附件吃饭的地方不多··········', '短评打分': 5}
{'短评内容': '早餐是15元抵用券，餐厅不适合外地人。只有一个电梯，由于是通透性大堂，各楼层噪音比较大', '短评打分': 1}
{'短评内容': '其他都还不错，设施也还算新的。就是酒店有点偏，但是是社区型的，还比较方便。早餐人太多', '短评打分': 5}
{'短评内容': '房间还行,就是吃饭不方便.1楼茶楼吃饭信价比低.', '短评打分': 5}
{'短评内容': '酒店档次高，环境好，广式早餐样式多，酒店有露天泳池。', '短评打分': 3}
{'短评内容': '+酒店环境非常好，客房大，床睡着很舒服', '短评打分': 5}
{'短评内容': '住商務套房以上層次有附加電腦會有比較好的感觀及便利.', '短评打分': 5}
{'短评内容': '酒店的设施标配都比较新，入住也很舒适。', '短评打分': 5}
{'短评内容': '地理位置也比较方便，房间也舒适，早餐的种类味道都很不错。', '短评打分': 5}
{'短评内容': '酒店看上去都是干干净净的，卫生很好管理的很不错。', '短评打分': 5}
{'短评内容': '酒店以欧式的装饰风格布局，一些设施家具也都是欧式的。入住体验还不错。', '短评打分': 5}
{'短评内容': '酒店的服务态度很好，员工都非常热情。见面都有礼貌的微笑打招呼。效率也比较高。', '短评打分': 5}
{'短评内容': '毕竟是社区的会所，一般一般......', '短评打分': 1}
{'短评内容': '酒店早餐很不错，种类多，可供选择，肠粉啊，粤式早餐都有。', '短评打分': 5}
{'短评内容': '房间里是欧式的装修风格，而且设施看起来比较新，房间面积也很大，住起来蛮舒服的。', '短评打分': 5}
{'短评内容': '交通方便，好打车，酒店内部也很干净。', '短评打分': 5}
{'短评内容': '服务态度好，都会主动和我们打招呼的，很好。', '短评打分': 5}
{'短评内容': '房间够大，而且是2张1.5m的床，非常舒服，设施较旧，二楼有早茶很便宜但味道不是很好。最好的是旁边就是花卉市场，中意看花、树、石的朋友就很饱眼福了！', '短评打分': 5}
