{'短评内容': '酒店很不错,房间很干净,住得很舒适,下次再来', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '位置不错，床特别舒服，酒店服务很好！！早餐不太好吃，洗手池无热水。马桶是电动的，总体来说满意，希望早餐改进！', '短评打分': 4}
{'短评内容': '很不错哦，喜欢，通风很好', '短评打分': 5}
{'短评内容': '房间设计的很舒适，很喜欢超大窗，阳光灿烂', '短评打分': 5}
{'短评内容': '就商务出差而言，满分，设备齐，服务态度好，速度快。出门就有饭店，相当方便。', '短评打分': 5}
{'短评内容': '酒店性价比不高，房间很小，空调制冷太差了，温度根本讲不下来。', '短评打分': 3}
{'短评内容': '京东服务可以的，酒店的环境尚可', '短评打分': 4}
{'短评内容': '大连出差首选，性价比合适，服务好，位置方便，周边吃的也多。', '短评打分': 5}
{'短评内容': '设施较为陈旧', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '半夜马桶出了问题', '短评打分': 4}
{'短评内容': '冬天房价还是很便宜的199，夏天这样的房间就要双倍的钱了，帮朋友定的闪住，去了就要身份证，不要再给押金，退房也快，就把卡放在前台就可以走人了，很方便，酒店对面就是很多饭店，有火锅，有当地菜，有烤串，想吃什么口味的都有的选择，打车去火车站10块钱，去机场34，5块钱，去码头，也是十块钱，去家乐福走路6分钟就到，总之很方便，性价比高。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '每次都住，还不错', '短评打分': 4}
{'短评内容': '环境好，服务也好，房间大，非常适合', '短评打分': 5}
{'短评内容': '环境好，干净整洁，房间也大，非常适宜', '短评打分': 5}
{'短评内容': '交通方便，条件一般', '短评打分': 3}
{'短评内容': '住了好几次了，推荐！', '短评打分': 5}
{'短评内容': '酒店很漂亮，虽然开店时间久了，但内部装潢很新，14F以上更是去年才使用的，推荐', '短评打分': 5}
{'短评内容': '酒店很漂亮，虽然开店时间久了，但内部装潢很新，14F以上更是去年才使用的，推荐', '短评打分': 5}
{'短评内容': '酒店很好，房间非常大。日本马桶很好用。推荐一下', '短评打分': 5}
{'短评内容': '硬件不错，软件有待提高。来到酒店没有服务员搬行李，客房打扫不彻底，空调无法正常使用。总体上看不符合四星标准。', '短评打分': 1}
{'短评内容': '这次大连的旅游很庆幸选择了文园酒店，酒店服务很好，也比较干净，早餐品种也比较丰富。尤其是双床房，床很宽，很舒服。交通比较便利，离家乐福很近，周围吃饭的地方也很多，下次去大连还会选择文园酒店。', '短评打分': 5}
{'短评内容': '这次大连的旅游很庆幸选择了文园酒店，酒店服务很好，也比较干净，早餐品种也比较丰富。酒店比较便利，离家乐福很近，周围吃饭的地方也很多，下次去大连还会选择文园酒店。', '短评打分': 5}
{'短评内容': '房间设施还行，地处繁华区域，进餐方便', '短评打分': 3}
{'短评内容': ' 酒店还不错，但是行政房间的设施安排，顶多算是标准豪华大床了，级别定高了！', '短评打分': 3}
{'短评内容': '环境不错，很安静，位置也可以，对面是个烧烤海鲜大排档，早餐尚需加强。', '短评打分': 5}
{'短评内容': '安静 舒适 服务不错 性价比可以  客房打扫需要更及时', '短评打分': 5}
