{'短评内容': '床垫太软，早餐需改进', '短评打分': 4}
{'短评内容': '房间还是那么舒服，好好休息了一下', '短评打分': 5}
{'短评内容': '很大 很干净 服务也不错', '短评打分': 5}
{'短评内容': '酒店的环境和设置都不错的。', '短评打分': 5}
{'短评内容': '酒店挺不错的，无愧于洲际品牌', '短评打分': 5}
{'短评内容': '一如既往的好，品牌酒店硬件没话说够档次，酒店前台工作人员服务热情，业务素质好，酒店早餐丰盛，如去屯溪老街逛逛也不远，值得推荐！', '短评打分': 5}
{'短评内容': '很好用 价格不贵 还会再买', '短评打分': 5}
{'短评内容': '订房快捷，房间与实际相符', '短评打分': 5}
{'短评内容': '很好的体验啦，一共43个字，什么时候才能评论玩呢，很纠结这个问题，总之每次都会选择这里，原因很简单，这里最贵', '短评打分': 5}
{'短评内容': '周边有点落寞，但酒店很好，价格实惠。服务卫生都可以。', '短评打分': 5}
{'短评内容': '房间很好，早餐很好', '短评打分': 5}
{'短评内容': '房间很好，早餐很好', '短评打分': 5}
{'短评内容': '房间很好，早餐很好', '短评打分': 5}
{'短评内容': '环境很好，设施不错，服务不错！', '短评打分': 4}
{'短评内容': '不错~', '短评打分': 4}
{'短评内容': '酒店位置优越，空气清新，整体服务都有所提高和进步。加油！你们一定会更棒！', '短评打分': 4}
{'短评内容': '酒店位置不错，在市政府旁，紧邻新安江，离老街也不远。酒店号称黄山最高的。整体性价比还不错。无论自己出来还是跟家人，都适合住！下次还会考虑住这里', '短评打分': 5}
{'短评内容': '黄山最好的酒店 没有之一', '短评打分': 5}
{'短评内容': ' 酒店不错，免费升级到行政楼层，江景晚上很美丽', '短评打分': 5}
