{'短评内容': '确实一般', '短评打分': 3}
{'短评内容': '酒店位置还可以，价格也不算高，内部设施也行，就是wifi一点信号都没有，停车比较方便。预定是没有早餐的，但是还是提供免费早餐，能吃饱，赞！酒店外部正在装修，现场有些凌乱。', '短评打分': 4}
{'短评内容': '服务态度一般', '短评打分': 3}
{'短评内容': '这个价位还可以，位置离武康中学很久，总台服务很不错，态度各方面都很好，房间大小合适，不过有股烟味，隔音效果一般般，总体还是满意的。', '短评打分': 5}
{'短评内容': '还可以，停车很方便', '短评打分': 5}
{'短评内容': '网上订的632（每间158），可到店要求付912（每间228）。和她说了，前台说不知道艺龙是怎么回事。难道艺龙和酒店没协调好？', '短评打分': 3}
{'短评内容': '物美价廉', '短评打分': 5}
{'短评内容': '房间不错干净，就有点旧，卫生间也可以，吃饭隔壁有家土菜馆，价格不算贵，宾馆还有洗浴中心，不过没去。老板客气，预定是不含早餐，不过还是给了早餐券，简单实惠，管饱，总体感觉不错，交通也方便，这个价算值了。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '干净卫生的经济型酒店，就是早餐太差了点', '短评打分': 4}
{'短评内容': '低端一些，设备齐全，档次不够，价格可以再低些。', '短评打分': 1}
{'短评内容': '酒店位置貌似有点偏，但是德清也不是很大，所以也还好。房间很大，单人房的床也很大，只是不能上网。窗外的小区很不错，一幢幢小楼背后是座座青山，也是一道风景。', '短评打分': 5}
{'短评内容': '离商业中心很近，购物餐饮很方便。房间，床单，卫生间比较干净。\n不足的是：床比较硬，毛巾比较旧，淋浴房门把手是坏的。\n不过总的来说，性价比还是比较高的。', '短评打分': 5}
{'短评内容': '大厅不起眼但进入房间后还是不错的，房大且干净功能齐全，性价比可以。', '短评打分': 3}
{'短评内容': '强烈推荐！绝对是四星级的待遇，却只有二星级的价格，里面的条件简直太好了！为何价格真便宜，只缘宾馆在德清。', '短评打分': 5}
