{'短评内容': '位置很好，干净整洁，有窗户，通风好，经济实惠的旅店，性价比高，老板人挺好。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店基本设备都还不错。比如热水器。不是电的。比较安全。电视机也有很多台。可惜遥控器就跟不上设备。手按了很多次都没反应。还有毛巾也是。反正我是不敢用。被单就感觉脏单薄。对热水器是非常满意的。总的来说还是性价比可以。如果其他方面做的好一些。在贵一点。也值得。', '短评打分': 4}
{'短评内容': '被单很单薄。浴室没有门。一洗头发，热气就整个房间腾云驾雾。房间在一楼外面比较吵。电视机遥控器反应非常迟钝。除了这几点问题待改善。其他的都性价比很高。总的来说还是推荐入住的。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '恩', '短评打分': 5}
{'短评内容': '都还好，周围有点乱', '短评打分': 4}
{'短评内容': '环境一般', '短评打分': 2}
{'短评内容': '位置还可以，环境还行。', '短评打分': 5}
{'短评内容': '周边环境不行，特别吵，也不隔音', '短评打分': 4}
{'短评内容': '交通很方便，就是酒店太简陋了点。', '短评打分': 5}
{'短评内容': '特别好哈哈，距离吃的地方特别近。', '短评打分': 5}
{'短评内容': '还不错，路途有些远', '短评打分': 4}
{'短评内容': '卫生还可以，但价格有点贵，而且给我的那个发票，拿到学校里面去报，根本报不了', '短评打分': 1}
{'短评内容': '太偏了，环境太差，总之不会再去了。到了尽然不知道又预定这个东东', '短评打分': 1}
{'短评内容': '  这家店的老板服务态度很好，下雨天还借用了雨伞，房间环境还不错！唯一的不足就是网络不太好，只能聊QQ，打不开网页，不知道怎么回事！下次还会住那的！离新模范马路的地铁站不是太远。', '短评打分': 5}
{'短评内容': '外面看起来比较破，房间里装修还可以，比较干净，总体一般，但是性价比还是不错的', '短评打分': 3}
{'短评内容': ' 房间很干净一家人住很舒服，条件优越，价格实惠。', '短评打分': 3}
