{'短评内容': '房间卫生好，服务态度很好，愉快', '短评打分': 5}
{'短评内容': '整体还好吧 就是感觉很乱 需要加强 卫生也需要提高 不过出行也蛮方便的 以后还会住哪里的 希望以后努力哦', '短评打分': 4}
{'短评内容': '不知道', '短评打分': 5}
{'短评内容': '酒店位置好，其他的不知道', '短评打分': 5}
{'短评内容': '6666666', '短评打分': 5}
{'短评内容': '很方便的酒店，价格合适，交通便利。', '短评打分': 5}
{'短评内容': '来多次了，周边环境和设施还不错，边上就是西三环主路，晚上睡觉还是有些影响的。', '短评打分': 5}
{'短评内容': '宽敞，干净，算不上安静但是也可以接受，不是第一次住了，很不错', '短评打分': 5}
{'短评内容': '就是没窗户呢？？？', '短评打分': 5}
{'短评内容': '太差，没窗户，设施也很差，房间很小很小', '短评打分': 2}
{'短评内容': '酒店还算干净整洁，房间大小也合适', '短评打分': 4}
{'短评内容': '很一般，没有电梯，没有早餐。', '短评打分': 2}
{'短评内容': '挺好的 很干净 适合年轻人呀 下次还会去', '短评打分': 5}
{'短评内容': '房间没有窗户，但空间挺大，设备较新，客服态度很好', '短评打分': 5}
{'短评内容': '酒店地理位置极好，离西客站很近。周边小吃很多，价格合理。', '短评打分': 5}
{'短评内容': '最值得说说的就是六号院的食堂，经济实惠方便！', '短评打分': 5}
{'短评内容': '三环边上的酒店，在一个小区里，不过房间不错挺干净的', '短评打分': 5}
{'短评内容': '还算干净卫生~交通很方便旁边挨着华联超市！', '短评打分': 5}
{'短评内容': '服务态度很好。前台接待很漂亮。房间打扫很干净。', '短评打分': 5}
{'短评内容': '除了没有电梯，其他都好！尤其是服务态度，让人满意。', '短评打分': 5}
{'短评内容': '在北京这样大都市这种价格算不错的了，就是没电梯，但是服务员会帮忙拎行李。房间还不错，就是空调有点差，制热效果太差了', '短评打分': 5}
{'短评内容': '三环边上的酒店，在一个小区里，不过房间不错挺干净的', '短评打分': 5}
{'短评内容': '不错不错 在六里桥还能很安静 很好  房子的隔音还算不错 唯一的缺憾就是没有窗户 呵呵', '短评打分': 5}
{'短评内容': '房间有些小，设施很简单，不过安全性还是不错的；没想到没有电梯，好在楼层不高', '短评打分': 3}
{'短评内容': '环境还可以，值得推荐', '短评打分': 3}
{'短评内容': '极差', '短评打分': 3}
{'短评内容': '服务态度很好。前台接待很漂亮。房间打扫很干净。', '短评打分': 5}
{'短评内容': '这间酒店总体来说还可以，就是没吃饭的地，幸好周边有不少', '短评打分': 5}
{'短评内容': '还算干净卫生~交通很方便旁边挨着华联超市！预定时只剩下一间，没有窗，房间内空气很差，我想标间应该还不错', '短评打分': 5}
{'短评内容': '在莲花池犀利6号院   一般出租车从西站都不去\n黑心的摩托车大爷 还说要五十过去  \n完了 直接联系酒店 打公车过去了\n、环境格调都不错\n就是地方  唉  有点小', '短评打分': 5}
{'短评内容': '离西站很近，房间一般，性价比不高，当天没有预订，是临时上网预订的，设施有待提高，服务还可以，下雨出行有雨伞借。', '短评打分': 5}
{'短评内容': '去到那里有点早，本来定的是商务房，但是说还没有退好房给我们。给我们的是标准间。装修还好。就这样了，可以', '短评打分': 5}
{'短评内容': '到西客站很方便，周边环境好，服务不错，有机会再去。', '短评打分': 5}
{'短评内容': '房间不通风，噪音大，难以入睡，换风机声音烦死人了。', '短评打分': 1}
{'短评内容': '房间不通风，用来通风的机器震动频率高，难以入睡。', '短评打分': 1}
{'短评内容': '不错。各方面到还可以，总体感觉还可以吧，哈。价格也不算贵。', '短评打分': 5}
{'短评内容': '垃圾真的是垃圾中的战斗机，我奉劝大家不要去，还商务四星我感觉像招待所四星，打扫房间的服务员跟一群未成年一样，地不扫，床单不整理，随便抓了几下就是打扫房间了，再也不会去了，真的位置一般，去哪里都堵车！还100%好评？我都要昏了，也不知道怎么拿到的商务四星，估计是自己刷的！', '短评打分': 1}
{'短评内容': '卫生间设计很好', '短评打分': 3}
{'短评内容': '交通便利，环境温馨，房间略小，服务细致贴心。夏天还给准备蚊香器哦，虽然没蚊子，但可见其细致。一点点遗憾，夏天再准备个小冰箱吧，方便客人存放一些食物。下次还可以住这里。', '短评打分': 5}
{'短评内容': '地理位置优越 但部分房型门有窗户 且价格偏高', '短评打分': 5}
{'短评内容': '正对莲花池公园，距离北京西站非常近，交通很方便。房间较具现代感，干净整洁，设施也很齐全，对得起这个价位。\n', '短评打分': 5}
{'短评内容': '服务人员态度很好，都是微笑服务，房间收到也很干净，出行也很方便。', '短评打分': 5}
{'短评内容': '我觉得是一家挺不错的商务酒店，性价比挺高，值得推荐。', '短评打分': 5}
{'短评内容': '服务人员态度挺热情，卫生设施方面也不错，价格也挺便宜，下次还愿意来住。', '短评打分': 5}
{'短评内容': '酒店住过几次，感觉还不错，卫生很到位，设施基本都有，价格也不贵。', '短评打分': 5}
{'短评内容': '房间不是很大，但是挺新挺干净的，位置也挺好，出行挺方便的。', '短评打分': 5}
{'短评内容': '酒店离西客站挺近的，服务卫生方面还不错，价格也挺合理的。', '短评打分': 5}
{'短评内容': '房间挺大挺干净，设施也挺新挺齐全，整体感觉挺舒适。', '短评打分': 3}
{'短评内容': '酒店还不错，安全性很好，服务卫生也很到位，住的挺舒适。', '短评打分': 5}
{'短评内容': '价格挺便宜的，设施也挺齐全，就是隔音一般点。', '短评打分': 3}
{'短评内容': '价格合理，干净整洁，设施完善，值得推荐一下。', '短评打分': 3}
