{'短评内容': '感谢京东，如此便捷。', '短评打分': 5}
{'短评内容': '好好好。', '短评打分': 5}
{'短评内容': '基本满意………', '短评打分': 5}
{'短评内容': '酒店设施超陈旧', '短评打分': 1}
{'短评内容': '酒店设施较老旧。服务较差，订了四间房居然有一间空调坏了。找服务员，他们硬说等会就凉。可是等了一整晚都不凉。服务和设施跟这价格不匹配。', '短评打分': 4}
{'短评内容': '家里人来住，环境不错，效果好', '短评打分': 4}
{'短评内容': '一般般吧，7楼隔音差，为什么都是镜子，晚上慎得慌', '短评打分': 5}
{'短评内容': '性价比超高，卫生可以，服务也不错。', '短评打分': 5}
{'短评内容': '交通方便。', '短评打分': 5}
{'短评内容': '交通方便。', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 5}
{'短评内容': '还不错，便宜', '短评打分': 4}
{'短评内容': '地理位置方便，就在嘉应桥北、宪梓大道北交汇处；价格适宜（但按照5.1的价格，268还是偏贵）；房间翻新过，不过淋浴间还是用拉帘隔开，应该弄淋浴门才比较上档次。', '短评打分': 5}
{'短评内容': '酒店的隔音较差,窗外的汽车声,还有楼下的迪士高声音很吵,不过逛街很方便.', '短评打分': 5}
{'短评内容': '酒店比我想象的要好些，房间干净也比较大，热水充足，价格挺实惠的。', '短评打分': 3}
{'短评内容': '酒店服务不错，吃早餐也很方便。就是大冷天的没有暖气，被子显得有点单薄。', '短评打分': 5}
{'短评内容': '房间不错，挺干净。地点也方便', '短评打分': 3}
{'短评内容': '整体感觉良好，地处于市中心地区。房间装修不错，我入住的房间比较大，间隔也不错。电视是网络电视，有很多电影点播。不错！', '短评打分': 5}
{'短评内容': '房间干净整洁，服务态度周到，餐饮品味较高，总体效果好', '短评打分': 5}
{'短评内容': '没车位 隔音效果差 ', '短评打分': 3}
{'短评内容': '房间还可以，就是价格贵了，不值这价，不知是不是黄金周的原因', '短评打分': 3}
{'短评内容': '停车和交通方便。设备陈旧。吃饭不便。缺乏特色和性格，大概老板认为步入正轨后关注降低，或者其他业务令他无暇管理。', '短评打分': 5}
{'短评内容': '位置方便，服务态度好。设备陈旧，吃饭不便。', '短评打分': 5}
{'短评内容': '一切都不错，环境都很好，就是床有点硬...', '短评打分': 3}
{'短评内容': '离出差的地方蛮近。。。性价比还可以~！！！！！！', '短评打分': 5}
{'短评内容': '性价比还可以。。。就是住的房间上网收费。。。', '短评打分': 5}
{'短评内容': '真的很不错，服务态度很好，作为客家人的我很满意家乡酒店的服务，下次还是会选择来到。之前的负面影响大家不要轻易相信，柏丽真的不错的，交通也很便利。', '短评打分': 5}
{'短评内容': '前台服务员态度挺好的，新的住房也挺大挺舒适的', '短评打分': 3}
{'短评内容': '跟网上的图片相差甚远.两星都没有.旧.小.不值', '短评打分': 3}
{'短评内容': '市中心的酒店，只是设备有些陈旧，隔音效果一般！', '短评打分': 5}
{'短评内容': '还不错，就是设施陈旧了一点。地点地处中心，周围吃饭购物都挺方便的哦', '短评打分': 5}
