{'短评内容': '早餐没有！加不了床，不适合带小孩，位置不错，停车场有的！', '短评打分': 3}
{'短评内容': '很不错的爱久一直住这里性价比比较高', '短评打分': 5}
{'短评内容': '位置还好，其它一般，总体经济实惠', '短评打分': 4}
{'短评内容': '经济型的房间', '短评打分': 4}
{'短评内容': '太垃圾   当夜服务人员有病', '短评打分': 1}
{'短评内容': '房间有虫子。太差了', '短评打分': 1}
{'短评内容': '很方便，。嗯好的', '短评打分': 5}
{'短评内容': '很方便，性价比很高', '短评打分': 5}
{'短评内容': '很好很好很好很好很好很好很好很好很好很好很好很好', '短评打分': 5}
{'短评内容': '也对得起那个房价了', '短评打分': 4}
{'短评内容': '没有吹风机，有待改进，卫生需加强', '短评打分': 5}
{'短评内容': '一夜睡不着，洗澡间水漫到床边上了，还有走廊的灯光一直刺眼。。。', '短评打分': 1}
{'短评内容': '性价比比较，适合工薪阶层。', '短评打分': 4}
{'短评内容': '说实话真的不行，马桶就在床边上，洗澡的地方很小，枕头有点发黑的', '短评打分': 2}
{'短评内容': '位置不错，交通便捷，对得起这个价格', '短评打分': 3}
{'短评内容': '环境太嘈杂，房间又小', '短评打分': 1}
{'短评内容': '在财大考试，中午3个多小时到这睡一觉，房间太小，说是大床房，但只能算个单间吧…', '短评打分': 3}
{'短评内容': '酒店卫生不错，设施有点少。', '短评打分': 5}
{'短评内容': '这样的价格住到这样的酒店还算不错吧，卫生还不错。', '短评打分': 4}
{'短评内容': '总体效果还好，就是要太比较晚才会安静下来', '短评打分': 4}
{'短评内容': '总体还可以，噪音有点大，就是要到好晚才会安静下来，楼上楼下喧哗声音有点大.价格还是蛮实惠的，下次还来住。', '短评打分': 4}
{'短评内容': '太小。一点都不方便。连烧水都不行。。。。', '短评打分': 1}
{'短评内容': '卫生干净、交通便利、价格实惠、唯一的不足就是隔音有点差...', '短评打分': 5}
{'短评内容': '住的复式房，房间面积很小，但是有个跃层，下面是卫生间，上面是床，还是很精致的。离五角场很近，蛮不错的', '短评打分': 5}
{'短评内容': '住在一楼，隔音不是太好，有餐厅…整体感觉挺温馨的…复式房间设计想法新颖。', '短评打分': 3}
{'短评内容': '属于很实惠的旅店， 麻雀虽小五脏俱全， 里面热水 空调 电视 网络 独立卫生和淋浴 都有了， 对于旅行者或长期租房 都是不错的选择 ', '短评打分': 5}
{'短评内容': '还不错。一直在这住下来了，在上海还算不太贵', '短评打分': 5}
{'短评内容': '新的酒店，装修的味道还是有点...设施都算齐备...价格也还可以.出差还算不错吧', '短评打分': 5}
{'短评内容': '环境不错，地理位置也很好，宾馆也很干净，很好找，就是房间有点小，不过一个人住可以的，性价比比较高，推荐', '短评打分': 5}
{'短评内容': '很好的酒店 下次还会入住 没有什么不好的很好的酒店 下次还会入住 没有什么不好的很好的酒店 下次还会入住 没有什么不好的', '短评打分': 5}
{'短评内容': '屋子有点小，但是很卫生干净，性价比不错，值得推荐。就是隔音效果差了点', '短评打分': 5}
{'短评内容': '屋子有点小，但是很卫生干净，性价比不错，值得推荐。', '短评打分': 5}
{'短评内容': '地段不错，紧邻五角场创智天地大学区，环境不算吵闹。单人房空间比较高挑，淋浴水热又大，唯一觉得缺少一个写字桌有点不方便', '短评打分': 5}
{'短评内容': '麻雀虽小,五脏俱全', '短评打分': 3}
{'短评内容': '房间小了点，服务不怎么好。', '短评打分': 3}
{'短评内容': '价格还算实惠，房间也挺干净，但是前台态度不是很好,总得来说值得这个价', '短评打分': 5}
{'短评内容': '房间整洁干净，服务也挺好的 周边交通也很方便', '短评打分': 5}
{'短评内容': '房间挺干净整洁的，价格便宜，周边交通便利', '短评打分': 5}
{'短评内容': '酒店小巧但很干净', '短评打分': 3}
{'短评内容': '还不错，环境挺好的，值得再住。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '酒店很干净，舒适，满意！', '短评打分': 3}
{'短评内容': '位置离五角场下沉式广场稍显远，不过价位低、卫生好，还是可以接受的。不足在于旁边就是施工地，想睡懒觉几乎不太可能吧。', '短评打分': 5}
{'短评内容': '这个隔音效果真的是。。。', '短评打分': 3}
{'短评内容': '卫生状况不错！毕竟开业没多久的。唯一缺憾的是一楼的房间没有防盗网，心理上不能接受。', '短评打分': 5}
{'短评内容': '楼上楼下的设计很温馨，很喜欢，下次还会选择这家\n\n就是前台服务不好，借吹风都木有\n\n希望能有改善', '短评打分': 5}
{'短评内容': '复式榻榻米很新颖很别致', '短评打分': 3}
{'短评内容': '不错，但房间太少，增加一些家具更好', '短评打分': 3}
{'短评内容': '很好，比较满意', '短评打分': 3}
{'短评内容': '感觉还错。蛮经济的', '短评打分': 3}
{'短评内容': '前台服务很好，问她定了一间比较安静的房间，她也能满足我们的条件', '短评打分': 5}
{'短评内容': '还行吧 挺不错的 恩 ……     ………………', '短评打分': 5}
{'短评内容': '房间很小，洗澡间和马桶，床挤在一块，感觉不太好 。不过这价格要是自己掏腰包的话还过得去吧', '短评打分': 5}
{'短评内容': '房间有点小，但是前台服务很不错！以后还会去！', '短评打分': 5}
{'短评内容': '不错，床很舒服，卫生也很干净，下次还会再来', '短评打分': 5}
{'短评内容': '条件一般，不过有车接送', '短评打分': 3}
{'短评内容': '还是挺有特色的。房间虽然小，但是布局还不错。', '短评打分': 5}
{'短评内容': '隔音效果不好，走廊半夜还有人跑来跑去', '短评打分': 3}
{'短评内容': '很干净   ', '短评打分': 3}
{'短评内容': '好小啊!但是挺干净的!', '短评打分': 3}
{'短评内容': '～我好像理解了“爱久”之意…还没进门就听到奇妙的声音。设施一般，不好不坏。', '短评打分': 3}
{'短评内容': '我住的单人间，很好，虽然小，空调、热水一应俱全，走廊墙上都是画，很温馨！', '短评打分': 3}
