{'短评内容': '挺不错的，房间宽敞', '短评打分': 5}
{'短评内容': '就是个老式居民楼的某层。。。太简陋。。热水不好使，手纸就给一小卷，电视看不了。。。床头没有插头。。位置还算可以吧', '短评打分': 3}
{'短评内容': '酒店的设施非常齐全，有一种家的温馨感，强烈推荐', '短评打分': 5}
{'短评内容': '位置极好 去海边和商业街都很近 老板娘十分亲切', '短评打分': 5}
{'短评内容': '宾馆设施齐全，老板人品很好，是你旅游休闲的最佳选择！', '短评打分': 5}
{'短评内容': '很不错，地理位置服务都不错。干净', '短评打分': 5}
{'短评内容': '环境不错，很干净', '短评打分': 5}
{'短评内容': '还可以吧，不过这种公寓酒店是在一栋高层里面混居模式，吧台也没有，只是在相隔好几个楼层有一个小办公室办手续，领钥匙入住以后就感觉没人管了，安全感很缺乏，建议单身女性最好不要选择这样的酒店居住。', '短评打分': 4}
{'短评内容': '公寓式旅店，有种居家的感觉，还是很不错的。。服务也还可以，好评把。', '短评打分': 4}
{'短评内容': '一次性拖鞋、擦脸毛巾竟然也收钱 电视还不好用…', '短评打分': 2}
{'短评内容': '还是不错的，房间属于家庭房，适合一家子一起居住，比较大，但是，酒店的位置不是很好找', '短评打分': 3}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '自己住在这栋楼上，来了朋友 就订在这，方便。只是一个睡觉的地方而已。', '短评打分': 3}
{'短评内容': '不错。', '短评打分': 5}
{'短评内容': '很不错，很喜欢，很舒适', '短评打分': 5}
