{'descr': '挺好的，周边环境还可以，吃饭方便', 'star': 5}
{'descr': '卫生，服务比较周到。', 'star': 5}
{'descr': '早餐15块，还好。', 'star': 5}
{'descr': '在北京的经济型酒店里房间算大的，周边吃饭出行都方便。', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '1五个字的时候', 'star': 5}
{'descr': '整体来说就是他们的那种装修风格，老旧但还算干净。房门是坏的半夜有风就会响，一个人住还有点怕怕的，而且隔音效果不太好。只能说凑合！', 'star': 5}
{'descr': '总体还行，但是由于房价比较便宜，给的房间位置临近街道，噪音较大另外，房间隔音效果也一般，早晨隔壁洗澡的声音很大如果需要安静房间的话，不太推荐但是房间的卫生，设施和位置都不错，楼下有好多饭店', 'star': 5}
{'descr': '大家住的时候别靠大街，会比较吵！', 'star': 5}
{'descr': '，服务和房间还行，停车的地方小了点。', 'star': 3}
{'descr': ' 房间很棒，很大，很干净。周围很安静，距地铁1站地。挺值的', 'star': 3}
{'descr': '很干净,房间很大,也很安静，酒店服务人员很热情。\n房间比如家、汉庭都要大很多,相对来说其他经济酒店房间过于经济让人压抑。\n如果能提供更丰富的洗浴用品就更好了。', 'star': 5}
{'descr': '这是我去过的最干净，最优雅的宾馆，附近也有很多小吃，真的很不错值得推荐！不足之处希望改进有几个灯是坏的，维修人员服务周到迅速去检修！希望前台的工作人员态度好点！其他的地方真的很棒！', 'star': 5}
{'descr': '房间挺新的，面积也较大住这比较舒服比较干净整洁。\n房间隔音效果不是很好，卫生间地漏下水慢。\n在这住将近一个星期想要几个衣架被告知没有多余的，\n网线很短且没有无线。这几点改进的话会更好。', 'star': 5}
{'descr': '酒店很干净，物超所值，交通也很方便，旁边的饭店也很经济实惠，吃饭很方便。卫生间的水很冲，不用带洗发水，不是那种小瓶的，足够用，很好。比上次住的那家虽然同等价位，但是设备、服务好太多了。', 'star': 5}
{'descr': '环境和价位都挺好的，就是离市区有些远，不过卫生倒是挺干净的，很满意', 'star': 5}
{'descr': '很好的酒店，很干净，在北京性价比很高了，就是离地铁稍微有点原。', 'star': 5}
{'descr': '很好 非常干净    周围也有很多吃饭的地方  ', 'star': 5}
{'descr': '干净，方便，就是临街房间太吵，建议安装双层隔音玻璃，加上早餐就更好了！', 'star': 5}
{'descr': '房间很大，也很安静，全新装修，各方面都比较满意。想去森林公园的强烈推荐住这家，性价比，距离，各方面都比别的酒店有优势。', 'star': 5}
{'descr': '性价比很好，房间大，干净', 'star': 3}
{'descr': '干净，无异味，价格合理！交通也比较方便！', 'star': 5}
{'descr': '酒店很干净，设施都比较新，虽是临街房间，但是没有感觉到吵，入住很舒服！下次还会选择！', 'star': 5}
{'descr': '酒店好像是新开的，蛮干净的，睡得挺踏实，周边有饭店  交通也挺便利，就是远点', 'star': 5}
{'descr': '很不错  不是第一次住了   以后还是这', 'star': 5}
{'descr': '这个酒店真是不错很干净环境也很好，这个价位非常非常值，值得一住。我们去水立方玩做81路很方便的，下次还会再来的。谢谢了', 'star': 5}
{'descr': '酒店很新  住的很不错的  就是离地铁站有一段距离的', 'star': 5}
{'descr': '酒店是新建的，设施什么的都很新，管理也还不错。', 'star': 5}
{'descr': '干净卫生，服务态度热情，周围吃饭游玩挺方便', 'star': 5}
{'descr': '酒店环境和设施都很好 离鸟巢和水立方很近 下次继续住 ', 'star': 5}
{'descr': '酒店不错，宽大，干净，价格也合理，', 'star': 3}
{'descr': '很不错的酒店，虽然只住了一晚，但很干净、整齐、卫生、没有异味。下次一定还会去住。而且价格很公道。', 'star': 5}
{'descr': '酒店环境很好价格合理推荐', 'star': 3}
{'descr': '下次还去，很不错的', 'star': 3}
{'descr': '酒店设施还不错,就是临街的房间有点儿吵', 'star': 3}
{'descr': '很好   非常干净   周围也有很多吃饭的地方', 'star': 5}
{'descr': '去年新开业的酒店，设施比较新，显得很干净！！性价比高。！！！！', 'star': 5}
{'descr': '.酒店环境挺好。', 'star': 3}
{'descr': '前台的服务人员态度不好，帐都算不明白，但酒店的环境设施还不错，对得起价格', 'star': 5}
{'descr': '酒店环境不错，就是前台的工作人员服务态度不好', 'star': 5}
{'descr': '第一次在网上预订酒店，感觉不错。设施很新很全，而且服务也很周到，以后有机会还会再来，24小时热水，一天的疲意顿消；双标有空调宽带，性价比很高。唯一的缺点是地方比较偏，在5环外，但交通很方便地铁8号线林萃桥出站，大概10分钟左右的路程。太晚回来的话，赶不上8号线末班，北土城打车过来27块。第一天入住，总体感觉很好。', 'star': 5}
{'descr': '价格合理 标间卫生 各种设备齐全 工作人员服务周到有礼貌 很不错的酒店。', 'star': 5}
{'descr': '酒店感觉挺不错的，比一般的快捷酒店也高级一些，就是地方偏了一点，晚上就不能出去了', 'star': 5}
{'descr': '房间很好，就是好像刚装修，有些味道；离8号地铁2站路，酒店周围环境相对单调', 'star': 5}
{'descr': '感觉不错，房间很好，就是有点吵，停车不是很方便', 'star': 5}
{'descr': '房间很干净离奥运村林带附近空气好', 'star': 3}
{'descr': '房间大 洗澡水够热够大 暖气够足 除了离市区稍远 一切都很好', 'star': 5}
{'descr': '酒店设施很好，环境也可以，自己开车来很方便。', 'star': 5}
{'descr': '酒店环境很好，房间宽敞明亮，洗澡水很大，很舒服。', 'star': 5}
{'descr': '环境很好，房间很舒服！', 'star': 3}
{'descr': '很干净，很安静，比较舒适！', 'star': 3}
{'descr': '酒店很干净，服务态度好，在旁边饭店就餐还可以打折（格林豪泰房客），周边交通也方便，美中不足的就是房间里装修的味道稍稍有些重。', 'star': 3}
{'descr': '条件不错，就是离地铁有点远，卫生间有味，服务可以', 'star': 5}
{'descr': '很干净，服务也不错。紧邻网球中心和奥林匹克公园，环境很好。', 'star': 5}
{'descr': '环境不错，卫生很好，服务也棒，就是临街，晚上有飞速驶过车子压路面和喇叭声。不过其他都不错。设施很新啊。', 'star': 3}
{'descr': '房间有异味', 'star': 2}
