{'短评内容': '很方便，房间大，赞一个！！！', '短评打分': 5}
{'短评内容': '以前做飞机的时候看到了这家酒店，一直想试试看，不错，去机场非常方便有大巴，飞机太早，可惜不知道早餐如何，还会再预定的', '短评打分': 5}
{'短评内容': '挺好的 卫生好 服务好 ', '短评打分': 5}
{'短评内容': '大半夜找了半个小时', '短评打分': 1}
{'短评内容': '除了地理位置方便，服务，房间都差到没边，都懒得吐槽', '短评打分': 4}
{'短评内容': '到房间的时候有烟头在烟灰缸，床褥不敢入睡，穿衣服窝了一夜', '短评打分': 2}
{'短评内容': '房间找个插头都难！家具什么的都是旧的！整个房间给人感觉就是旧和不方便！房间暖气还有股很重的灰尘味！下次绝不住这家店！', '短评打分': 4}
{'短评内容': '地理位置很好！去中关村办事住这里不错，楼下就是商场，购物也挺方便，两路地铁口非常近，交通便利。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '还行', '短评打分': 3}
{'短评内容': '唉，体验不好', '短评打分': 2}
{'短评内容': '差，差，差真的太差了1、一进房间一股冷气，中央空调开了半天没一点暖风，前台居然说活该被冻2、卫生非常差，设施陈旧，灯泡好几个不亮，房间黑乎乎的，马桶居然还有尿渍', '短评打分': 2}
{'短评内容': '一个字豪华，另一个字满意！', '短评打分': 5}
{'短评内容': '非常好很舒服', '短评打分': 5}
{'短评内容': '地理位置好地铁站100米，房间还是很大的；但是内部环境卫生间太小，入住环境一般人员较杂', '短评打分': 3}
{'短评内容': '马云因为最近的事心烦意乱，所以去求见一位德高望重的禅师。禅师沉默不言，意味深长的拿出一个电热水袋充电，充满之后，突然爆炸。马云若有所思的说：禅师的意思是这次的难关会像这热水袋一样不攻自破？禅师摇摇头，说：这是我在淘宝买的。', '短评打分': 5}
{'短评内容': '马云因为最近的事心烦意乱，所以去求见一位德高望重的禅师。禅师沉默不言，意味深长的拿出一个电热水袋充电，充满之后，突然爆炸。马云若有所思的说：禅师的意思是这次的难关会像这热水袋一样不攻自破？禅师摇摇头，说：这是我在淘宝买的。', '短评打分': 5}
