{'短评内容': '前台 李卫敏 王苏强 招待热情，服务周到', '短评打分': 5}
{'短评内容': '不错不错，环境很好，酒店很干净，金鸡湖旁，服务态度很好', '短评打分': 5}
{'短评内容': '这几年来苏州都住的这家，慢慢觉得设施开始旧了，淋雨喷头有点坏。但地理位置优越，停车方便还免费，价格也便宜。总体还是满意的。', '短评打分': 5}
{'短评内容': '房间还不错，位置也可以，住了很多次，周边环境还是很繁华，商店很多，推荐入住，收费有点高', '短评打分': 4}
{'短评内容': '真的要骂人，早上退房的时候等了十分钟发票电脑打不开，太离谱，这不是第一次，假如电脑不稳定就不要关，由于赶时间，请前台寄到公司但是这种感觉就很差了。周边环境很好但是管理不及格。', '短评打分': 3}
{'短评内容': '整体是可以但是细节不成，图二是房间内的帘子，坏了也不管，沐浴室的水龙头后面出水也就这样，另外每天都有塞名片进房间，这些都是管理问题', '短评打分': 3}
{'短评内容': 'I came to Suzhou to sight-see and visit a former colleague. I am from the US and I would compare this hotel to the mid-range chains like Holiday Inn and Best Western. The price was less than $100 usd/', '短评打分': 4}
{'短评内容': '地理位置不错，房间烟味很大，毛巾不是很干净', '短评打分': 4}
{'短评内容': '位置好，停车方便', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '本来定是双床，没想到是这样的双床，完全是套房改的，两张大床很不错。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
