{'短评内容': '早餐还可以，', '短评打分': 5}
{'短评内容': '住宿条件挺好的，没去餐厅吃饭，不知道怎么样。', '短评打分': 5}
{'短评内容': '干净卫生，前台服务态度不错，值得入住。干净卫生，前台服务态度不错，值得入住。干净卫生，前台服务态度不错，值得入住。', '短评打分': 5}
{'短评内容': '普通', '短评打分': 4}
{'短评内容': '不错挺好的', '短评打分': 5}
{'短评内容': '环境不错，就是床挺硬，睡着不舒服', '短评打分': 5}
{'短评内容': '前台服务真的很热情，房间舒适&hellip;卫生整洁&hellip;赞！', '短评打分': 5}
{'短评内容': '可以的可以的 服务很好', '短评打分': 5}
{'短评内容': '服务态度很好  卫生干净&hellip;&hellip;', '短评打分': 5}
{'短评内容': '\\(≧▽≦)/\\(≧▽≦)/\\(≧▽≦)/', '短评打分': 5}
{'短评内容': '干净舒适', '短评打分': 5}
{'短评内容': '酒店卫生、服务都不错，值得推荐。', '短评打分': 5}
{'短评内容': '前台的服务人员挺到位的，住的环境也还不错，没太多噪音，', '短评打分': 5}
{'短评内容': '很好', '短评打分': 4}
{'短评内容': '尚可', '短评打分': 3}
{'短评内容': '如家一贯的风格，房间小而精致，前台接待有些迟缓，操作不是很熟练。房间窗户紧邻马路，晚上噪音比较大。', '短评打分': 5}
{'短评内容': '干净，温暖，给人家的感觉，下次还会选择的。', '短评打分': 5}
{'短评内容': '干净，很舒服，下次还会推荐个我的好朋友的，还会再来的！', '短评打分': 5}
