{'短评内容': '酒店正在装修  找啊找找不到门，前台挺好的，办理也快', '短评打分': 5}
{'短评内容': '环境很好，位置方便，交通方便，酒店的床很舒服，枕头和床垫都是乳胶。', '短评打分': 5}
{'短评内容': '先来分析一下吧。酒店地理位置很好找就在吉祥下走5分钟就到！外观破旧，我们去的时候应该正在装修。不得不说的是，客房里面非常好，完全不像200+不到300的价格！！一切都很智能！干净卫生！各方面都很好！诚意满满的推荐', '短评打分': 5}
{'短评内容': '住着还行', '短评打分': 5}
{'短评内容': '酒店非常干净，设备也很智能，都是自动启停，这个价格性价比很高了', '短评打分': 5}
{'短评内容': '这次真心不怎么样，房间卫生已经让其打扫，但根本没收拾，已同前台收银反应了，但好像没多大效果，卫生间下水道还堵塞，总之很糟糕', '短评打分': 3}
{'短评内容': '酒店住着舒服，服务很到位，招待员很热情。', '短评打分': 5}
{'短评内容': '取消订单了 坐地涨价吧', '短评打分': 5}
{'短评内容': '还可以，不算贵。', '短评打分': 5}
{'短评内容': '不错，所有的朋友都说酒店可以，就是早餐太少了，因为旅行团多，所以早上8点就没有多少品种的早餐了，希望跟踪一下……', '短评打分': 5}
{'短评内容': '还不错，离客户近', '短评打分': 5}
{'短评内容': '还不错把', '短评打分': 4}
{'短评内容': '非常好！干净卫生服务周到设施齐全！非常满意！', '短评打分': 5}
{'短评内容': '交通方便，早餐巨差', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '整体感觉不错', '短评打分': 3}
{'短评内容': '性价比不错', '短评打分': 4}
{'短评内容': '性价比不错', '短评打分': 3}
{'短评内容': '环境尚可、较干净，交通方便', '短评打分': 3}
{'短评内容': '去深圳龙岗就住这里吧，价格合理，条件好，性价比高', '短评打分': 5}
{'短评内容': ' ...not bad just a little noise due to KTV...thanks EL', '短评打分': 3}
{'短评内容': '环境不错 服务态度高 价格适中 唯一不足是离市区太远', '短评打分': 3}
{'短评内容': '还不错，酒店很干净，价格也还可以，六楼有餐厅，也很方便。交通也比较方便，临近地铁站和机场大巴的站点，值得推荐。', '短评打分': 5}
{'短评内容': '酒店环境和硬件设施非常不错，价格非常有诱惑，物超所值啊', '短评打分': 5}
{'短评内容': '非常干净卫生，房间设施差不多四星以上！早餐很差，快捷酒店模式！\n', '短评打分': 5}
{'短评内容': '酒店挺干净的，就是早餐不行，太简单了', '短评打分': 3}
{'短评内容': '酒店很新，前台服务态度很好，性价比很高的一间酒店。下次在附近的话，还会入住的。', '短评打分': 3}
{'短评内容': '这家酒店都还可以，出行也方便，就在深惠路边，唯一不足的是靠路边的房间有点吵。', '短评打分': 5}
{'短评内容': '非常不错的商务酒店，酒店员工对待客人的态度都非常亲切，有宾至如归的感觉。房间设施也不错，卧具舒适，在深惠路上自驾地铁出行都很方便。房间窗台有隐患，窗户可以开到很大的角度，如果有小朋友爬上比较危险', '短评打分': 5}
{'短评内容': '酒店很新，也很干净，只是靠大路那边有些吵；但是我还会推介给朋友。', '短评打分': 5}
{'短评内容': '特意要求了远离大路那一边的房间,很安静.', '短评打分': 5}
{'短评内容': '酒店环境还不错！', '短评打分': 3}
