{'descr': '挺好的环境，位置可以，方便！', 'star': 5}
{'descr': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', 'star': 5}
{'descr': '房间干净卫生', 'star': 5}
{'descr': '网络太差，服务不好，问题不理睬对顾客反应', 'star': 1}
{'descr': '别的不说，无线网太差了，服务不到位，住进来第一天就给前台打电话说网差，走时都还没得到改善', 'star': 2}
{'descr': '服务员很热情，服务挺好', 'star': 5}
{'descr': '服务非常好，进出有服务员就连保安都与客人礼貌的打招呼，很温馨，特别要提的是这里的早餐，早餐简单但决不糊弄，厨师做的饼非常可口，有在家吃早饭的感觉，如有机会还会选择，推荐。', 'star': 4}
{'descr': '不错，价格便宜，卫生可以，交通方便', 'star': 4}
{'descr': '总体性价比不错，服务员态度热情，房间不大，但是比较新、干净，一个人住还可以。 ', 'star': 5}
{'descr': '房间里为什么没饮料啊', 'star': 3}
{'descr': '下次还会选择。一直住的', 'star': 3}
{'descr': '离工厂近，一直住这家', 'star': 3}
{'descr': '挺安静，房间很大，不错，周围环境很好，睡得也很好，感觉非常不错。后面是加油站，可以去附近转，周边有长途车，小客车，交通也方便，而且还有早餐，服务也很周到，挺不错的。房间很干净，睡觉很好，墙纸特别精美，太好了', 'star': 3}
{'descr': '挺好的，环境好，静，屋里吃的也多', 'star': 3}
{'descr': '酒店总体来说还是不错，空间稍微小一点，到比较这样优惠的价格还是很超值了', 'star': 5}
{'descr': '酒店很干净，我住的是512房间。抽水马桶里面放水会有黑的东西。已经多次冲放。不知是什么。请店家检查一下。', 'star': 5}
{'descr': '酒店服务太差！环境不好！再也不去了！太恶心了！', 'star': 3}
{'descr': '宾馆还可以，蛮干净的，坐轻轨和平路站下走10分钟就能到。', 'star': 5}
{'descr': '就是位置离大连市中心有点远，快轨到火车站要1小时，其他还好。PS:酒店位置根据百度地图找过去就是个悲剧，最好提前打电话问问怎么走。', 'star': 5}
{'descr': '为什么我预定了两间大床房，也结完账了，可是返现只返了一间房间的呢？', 'star': 5}
{'descr': '环境挺好的', 'star': 3}
{'descr': '干净，舒适，温馨，很不错。周围交通方便，购物便利，如果有可能还会再来！', 'star': 5}
{'descr': '酒店装修还算可以，商务标间面积宽敞，离轻轨和公交，到大连都非常方便。顶个', 'star': 5}
{'descr': '总体来说还是不错的，服务很好，卫生也很好，离金州火车站很近，在金州火车站坐公交就可以直接到发现王国和金石滩，很方便，快轨四十分种左右就能到大连站，很安静，睡得很好！', 'star': 5}
{'descr': '很干净，店员很热情。隔音超棒，晚上睡觉没有杂音', 'star': 5}
{'descr': '很好，下次来还会选择住在这里很好，下次来还会选择住在这里很好，下次来还会选择住在这里很好，下次来还会选择住在这里很好，下次来还会选择住在这里', 'star': 5}
{'descr': '很好，隔音很好，很干净，附近环境也行，下次还来。', 'star': 5}
{'descr': '服务很好，房间很隔音也很干净', 'star': 3}
{'descr': '非常干净，赞一个', 'star': 3}
{'descr': '非常干净，赞一个', 'star': 3}
{'descr': '酒店位置确实有点偏僻，但是室内环境温馨。有家的感觉。而且卫生间的淋浴超级舒服，值得推荐。下次还会入住。', 'star': 5}
{'descr': '酒店位置确实有点偏僻，但是室内环境温馨。有家的感觉。而且卫生间的淋浴超级舒服，值得推荐。下次还会入住。', 'star': 5}
{'descr': '不错~环境很好，但是就是位置比较偏僻。很干净', 'star': 5}
{'descr': '不错~环境很好，但是就是位置比较偏僻。很干净', 'star': 5}
{'descr': '房间小，设施一般，价格跟趟，唯服务不错！', 'star': 3}
{'descr': '房间小，设施一般，价格跟趟，唯服务不错！', 'star': 3}
{'descr': '这个酒店的服务实在是太差了 我和我男朋友的洗面奶落那了 酒店管理人员上上去看了半天 啥也没说 我让他们给我寄回来的 不知道是刚买的洗面奶的问题还是怎么着的 洗面奶的含量竟然不剩一半 真是够了 还是我自己拿的邮费 至于吗', 'star': 1}
{'descr': '这个酒店的服务实在是太差了 我和我男朋友的洗面奶落那了 酒店管理人员上上去看了半天 啥也没说 我让他们给我寄回来的 不知道是刚买的洗面奶的问题还是怎么着的 洗面奶的含量竟然不剩一半 真是够了 还是我自己拿的邮费 至于吗', 'star': 1}
{'descr': '很好，就是床有点软，可能去的晚热水放了20分钟才有，早餐不给力。', 'star': 5}
{'descr': '很好，就是床有点软，可能去的晚热水放了20分钟才有，早餐不给力。', 'star': 5}
{'descr': '干净，安全，服务周到，性价比高，隔声好，水多，灰常舒服！下次还会住', 'star': 5}
{'descr': '干净，安全，服务周到，性价比高，隔声好，水多，灰常舒服！下次还会住', 'star': 5}
{'descr': '环境挺温馨', 'star': 3}
{'descr': '环境挺温馨', 'star': 3}
{'descr': '比较干净，价格也比较实惠，很适合出差的工薪阶层', 'star': 5}
{'descr': '比较干净，价格也比较实惠，很适合出差的工薪阶层', 'star': 5}
{'descr': '不错，单独的卫生间，有热水。', 'star': 3}
{'descr': '不错，单独的卫生间，有热水。', 'star': 3}
{'descr': '还可以吧 就是房间小了点而已 房间很干净', 'star': 5}
{'descr': '还可以吧 就是房间小了点而已 房间很干净', 'star': 5}
