{'短评内容': '住的时候没有空调，热死', '短评打分': 4}
{'短评内容': '最热的时候，没有空调，睡觉是问题啊', '短评打分': 3}
{'短评内容': '前台效率', '短评打分': 3}
{'短评内容': '环境卫生一般', '短评打分': 4}
{'短评内容': '墙纸都没铺好 灯管还有缺的  空调是中央空调行啊是大厦的中央空调不归你们管呵呵呵日了狗   被子床铺很硬都快像石头了  还有电视图片上是液晶的吧  结果呵呵呵老的台式  灯也是忽明忽暗的   房间里抽纸都没有  毛巾很硬  房间也有股怪味  想想定的房间也不算便宜吧 双标198一间，这都什么玩意儿  就这种破地方也配得上叫酒店？脸呢  楼下大厅一直有股劣质香水味   特别恶心', '短评打分': 1}
{'短评内容': '墙纸都没铺好 灯管还有缺的  空调是中央空调行啊是大厦的中央空调不归你们管呵呵呵日了狗   被子床铺很硬都快像石头了  还有电视图片上是液晶的吧  结果呵呵呵老的台式  灯也是忽明忽暗的   房间里抽纸都没有  毛巾很硬  房间也有股怪味  想想定的房间也不算便宜吧 双标198一间，这都什么玩意儿  就这种破地方也配得上叫酒店？脸呢  楼下大厅一直有股劣质香水味   特别恶心', '短评打分': 1}
{'短评内容': '酒店位置好，周边也不错，经济实惠。', '短评打分': 5}
{'短评内容': '很一般，楼上KTV很吵的', '短评打分': 3}
{'短评内容': '不错不错不错不错不错。', '短评打分': 3}
{'短评内容': '特不满意', '短评打分': 1}
{'短评内容': '就是有点吵，就是有点吵，就是有点吵，就是有点吵，就是有点吵，就是有点吵，就是有点吵，就是有点吵，就是有点吵，就是有点吵', '短评打分': 5}
