{'短评内容': '一般，就是房价真是和过山车一样啊，翻了五六倍', '短评打分': 3}
{'短评内容': '你睇我陪你，特破，替丁忒你而写，dog 这屋，贴心，第一，ti', '短评打分': 5}
{'短评内容': '价格适宜，环境不错，转行方便', '短评打分': 5}
{'短评内容': '一般般，服务态度不好', '短评打分': 1}
{'短评内容': '还可以，只是一楼手机信号差', '短评打分': 4}
{'短评内容': '环境还行吧房间很大周边啥都有', '短评打分': 4}
{'短评内容': '不咋样，', '短评打分': 3}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还可以，离蓬莱海洋极地世界很近，很方便。', '短评打分': 5}
{'短评内容': '酒店比较干净，服务热情。性价比高。就是附属餐厅有点不上档次', '短评打分': 5}
{'短评内容': '住宿环境很干净，服务好，就是有点微偏远，从酒店到蓬莱阁打车10块', '短评打分': 3}
{'短评内容': '服务好，价格也可以接受！总体来数还是很好的！', '短评打分': 5}
