{'短评内容': '交通方便，旁边的米粉好吃，可以江边散步', '短评打分': 5}
{'短评内容': '酒店位于漓江旁边，风景优美，但是酒店设施稍微旧点，但是很干净，', '短评打分': 4}
{'短评内容': '就是前台那个男生态度一般般……', '短评打分': 5}
{'短评内容': '旧了', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '国庆价格两倍多的价格，酒店外面施工，吵得厉害，没有隔音，设施有点旧。其实干净卫生才是硬道理，但愿能做得更好。', '短评打分': 3}
{'短评内容': '环境比较差，空调打不热，四周比较吵', '短评打分': 2}
{'短评内容': '有一间房间有带麻将桌，很是方便。给个赞！  不过服务员好像对自己酒店的房型都不清楚，同样价格的两间房间结构和设施都不一样。。。还好我们是4个人同行，有一件房间有麻将桌也就够了。', '短评打分': 4}
{'短评内容': '总体来说还不错，临近漓江边，交通方便', '短评打分': 5}
{'短评内容': '下次选其他的吧 有选择的话', '短评打分': 3}
{'短评内容': '不想说什么 东西陈旧', '短评打分': 3}
{'短评内容': '安静，下楼就是漓江可游泳，进出方便。\n回头9号再住', '短评打分': 5}
{'短评内容': '酒店很不错，推荐！！下次来了还是这家！', '短评打分': 3}
{'短评内容': '满意。超值。很不错的选择哦！', '短评打分': 3}
{'短评内容': '位于漓江旁，距离民航大厦也没多远，所以，下了飞机大巴步行很快就能到酒店。沿着河堤走能尽情地饱览漓江的美景，算是不错的酒店。内部设置也不错，有旅行部，对于我这种喜欢自助游的人来说很方便去参加一日游。房间布置也不错，我尤其喜欢窗户边的小沙发，可惜窗户外面是居民楼，如果是漓江那自然是别样的风情。', '短评打分': 5}
{'短评内容': '环境不错，性比价也可以，出行也很方便。里面设施也还行，仅仅淋浴处没有用玻璃隔开是用一布帘隔的，下面水往外淌。', '短评打分': 5}
{'短评内容': '酒店设施就是一般的标配 应该有三星以上 距离机场大巴走路需要五分钟以上 拖行李的话还是不太方便 周边有广电等单位 感觉还是挺安全的 就是小店杂货铺什么的少 都需要走上一小段才能买到', '短评打分': 5}
{'短评内容': '房间大，但有噪音', '短评打分': 3}
{'短评内容': '位置很好，方便出行，服务态度不错，出门就是漓江。但是房间有点儿小，只是将就一下还是不错的，毕竟便宜啊', '短评打分': 5}
{'短评内容': '酒店地处民航大厦附件，适合赶早班飞机的游客入住。且濒临漓江，可以在入住的同时欣赏一下漓江两岸的风景。只是桂林的天气变幻无常，下大雨时可就不太好玩了。\n\n另外，该酒店必须要用现金支付押金，据说信用卡系统没有预授权取消的功能，这对于挂四星的酒店来讲好像很难让人接受。', '短评打分': 5}
{'短评内容': '房间还算干净，空调会无厘头的自动关机，浴室不怎么好用，洗澡水会满地流', '短评打分': 5}
{'短评内容': '房间比较干净，服务一般，空调会自动关机，门口就是璃江，', '短评打分': 5}
{'短评内容': '网上说酒店搞活动送刘三姐门票,可入住后酒店解释说他们买票的人不在,回老家了,真让人苦笑不得,典型的欺诈吗!', '短评打分': 1}
{'短评内容': '酒店环境很好，干净整洁。但是，酒店的服务有待改进。退房慢还算错账。业务不熟练。', '短评打分': 5}
